Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,23.174999,23.360001,22.500000,23.139999,16.723543,5022000
2009-01-05,22.995001,23.285000,22.500000,22.830000,16.499510,5570200
2009-01-06,23.014999,23.480000,22.535000,22.825001,16.495897,6594400
2009-01-07,22.540001,22.680000,21.834999,22.020000,15.914120,7218800
2009-01-08,21.924999,22.660000,21.805000,22.565001,16.307989,5514000
2009-01-09,22.610001,22.650000,21.655001,21.870001,15.805706,7670400
2009-01-12,21.754999,22.004999,20.430000,20.775000,15.014338,10121200
2009-01-13,20.500000,21.139999,19.889999,20.084999,14.515665,11396800
2009-01-14,19.559999,19.735001,18.815001,19.150000,13.839932,9092800
2009-01-15,19.180000,20.040001,18.514999,19.325001,13.966404,9701200
2009-01-16,19.805000,20.750000,19.379999,19.900000,14.381963,10015800
2009-01-20,19.629999,19.725000,16.754999,16.775000,12.123490,17787000
2009-01-21,17.485001,18.299999,17.340000,18.135000,13.106378,17356400
2009-01-22,16.105000,16.750000,11.040000,11.450000,8.275050,92666800
2009-01-23,11.670000,14.220000,11.520000,12.245000,8.849607,71059200
2009-01-26,12.460000,12.545000,9.675000,9.810000,7.089804,53496400
2009-01-27,10.275000,11.375000,9.835000,11.070000,8.000421,48683000
2009-01-28,12.595000,13.080000,11.955000,12.530000,9.055578,40509200
2009-01-29,11.960000,12.315000,11.550000,11.670000,8.434046,19209800
2009-01-30,12.075000,12.075000,11.335000,11.605000,8.387072,15518400
2009-02-02,11.410000,11.840000,10.955000,11.515000,8.322026,19115800
2009-02-03,12.075000,12.600000,10.840000,11.315000,8.177480,35946200
2009-02-04,11.375000,11.710000,10.455000,10.525000,7.606540,27788200
2009-02-05,10.555000,11.930000,10.330000,11.555000,8.350937,22641000
2009-02-06,11.600000,11.875000,10.140000,10.900000,7.877559,45334400
2009-02-09,11.330000,12.010000,11.165000,11.845000,8.560520,19928600
2009-02-10,11.685000,12.085000,11.010000,11.065000,7.996804,23015200
2009-02-11,11.395000,11.500000,10.945000,11.170000,8.072694,14680800
2009-02-12,10.705000,11.175000,10.525000,11.045000,7.982350,17969400
2009-02-13,11.060000,11.060000,10.100000,10.255000,7.506559,17491800
2009-02-17,9.775000,9.985000,8.675000,8.820000,6.456151,31831200
2009-02-18,9.100000,9.310000,8.760000,9.085000,6.650129,21453600
2009-02-19,9.310000,9.360000,8.030000,8.160000,5.973039,24546400
2009-02-20,8.000000,8.830000,7.560000,8.505000,6.225576,39777200
2009-02-23,8.790000,8.875000,7.860000,7.900000,5.782722,21993000
2009-02-24,7.865000,8.375000,7.520000,8.320000,6.090156,39523800
2009-02-25,8.315000,8.375000,7.535000,8.055000,5.896179,27821000
2009-02-26,9.015000,10.040000,8.905000,9.480000,6.939267,39156000
2009-02-27,8.545000,8.890000,8.115000,8.380000,6.134075,34848800
2009-03-02,7.855000,8.260000,7.785000,8.005000,5.859581,22670400
2009-03-03,8.325000,8.325000,6.975000,7.090000,5.189810,34573800
2009-03-04,7.635000,7.740000,6.830000,7.495000,5.486265,23775000
2009-03-05,7.250000,7.270000,6.570000,6.815000,4.988513,30572400
2009-03-06,7.055000,7.090000,6.325000,6.720000,4.918975,27223000
2009-03-09,5.570000,6.245000,5.415000,5.745000,4.205283,38166800
2009-03-10,5.895000,6.615000,5.665000,6.610000,4.838454,31334400
2009-03-11,6.715000,6.910000,6.410000,6.810000,4.984852,23449600
2009-03-12,6.805000,7.565000,6.285000,7.460000,5.460646,27826800
2009-03-13,7.595000,7.960000,6.750000,7.290000,5.336209,28383000
2009-03-16,7.565000,8.280000,7.450000,7.490000,5.482607,24023200
2009-03-17,7.710000,8.090000,7.165000,8.075000,5.910819,21618800
2009-03-18,8.050000,10.545000,7.860000,10.520000,7.700537,44366000
2009-03-19,10.665000,10.925000,9.810000,9.930000,7.268661,35396000
2009-03-20,10.055000,10.055000,9.020000,9.190000,6.726991,22957400
2009-03-23,9.745000,10.850000,9.645000,10.845000,7.938434,26960800
2009-03-24,10.395000,11.460000,10.150000,10.800000,7.905492,25163000
2009-03-25,10.905000,11.100000,9.300000,9.945000,7.279640,31407000
2009-03-26,10.110000,10.485000,9.805000,10.360000,7.583419,21853800
2009-03-27,10.050000,10.285000,9.850000,9.905000,7.250358,19021400
2009-03-30,9.360000,9.435000,8.750000,8.800000,6.441514,19670000
2009-03-31,9.115000,9.750000,9.000000,9.680000,7.085663,18846600
2009-04-01,9.310000,9.520000,8.625000,9.375000,6.862408,24248000
2009-04-02,9.875000,10.500000,9.825000,10.305000,7.543160,22028800
2009-04-03,10.295000,10.565000,9.945000,10.525000,7.704194,17464000
2009-04-06,10.110000,10.525000,10.000000,10.330000,7.561457,12185200
2009-04-07,10.195000,10.325000,9.860000,10.085000,7.382118,15459000
2009-04-08,10.900000,11.045000,10.165000,10.445000,7.645636,16229400
2009-04-09,10.950000,12.490000,10.875000,12.475000,9.131576,28433600
2009-04-13,12.220000,12.930000,11.930000,12.880000,9.428034,22465600
2009-04-14,12.515000,13.150000,11.850000,11.950000,8.747281,24209400
2009-04-15,11.860000,12.595000,11.450000,12.555000,9.190135,14642400
2009-04-16,12.670000,13.660000,12.345000,13.355000,9.775727,23982200
2009-04-17,13.125000,14.640000,13.125000,14.350000,10.504061,24718200
2009-04-20,13.620000,13.730000,12.440000,12.485000,9.138895,33879000
2009-04-21,11.960000,14.690000,11.790000,14.615000,10.698035,36955000
2009-04-22,13.745000,14.815000,13.455000,13.830000,10.123423,27510000
2009-04-23,14.060000,14.470000,13.615000,14.330000,10.489420,17275000
2009-04-24,14.280000,14.625000,13.900000,14.310000,10.474776,17958600
2009-04-27,13.985000,14.330000,13.745000,14.025000,10.266162,16223800
2009-04-28,13.875000,14.195000,13.750000,13.790000,10.094144,15382400
2009-04-29,14.120000,14.835000,13.855000,14.565000,10.661437,18344800
2009-04-30,14.735000,15.225000,14.300000,14.445000,10.573597,24131200
2009-05-01,14.490000,14.870000,14.300000,14.660000,10.730974,12124000
2009-05-04,14.970000,15.265000,14.370000,15.120000,11.067689,19709400
2009-05-05,15.035000,15.875000,14.900000,15.410000,11.279968,14962000
2009-05-06,15.880000,16.895000,15.550000,16.740000,12.253515,25635600
2009-05-07,17.230000,17.620001,16.430000,16.540001,12.107115,20930800
2009-05-08,16.780001,18.830000,16.700001,18.830000,13.783374,21802800
2009-05-11,18.125000,18.170000,16.700001,16.834999,12.323051,19689200
2009-05-12,17.395000,17.559999,16.440001,17.129999,12.538989,16183200
2009-05-13,16.594999,16.620001,15.615000,15.825000,11.583741,19252000
2009-05-14,15.790000,17.165001,15.515000,16.875000,12.352335,15638000
2009-05-15,16.695000,16.700001,16.000000,16.070000,11.763082,14099200
2009-05-18,16.410000,17.865000,16.250000,17.760000,13.114399,20179600
2009-05-19,17.670000,17.910000,17.010000,17.040001,12.582732,16148600
2009-05-20,17.570000,18.440001,17.150000,17.200001,12.700880,19057400
2009-05-21,16.950001,17.230000,16.590000,17.055000,12.593808,13155800
2009-05-22,17.160000,17.575001,16.775000,17.240000,12.730415,11274800
2009-05-26,17.100000,18.219999,17.025000,18.219999,13.454067,13623000
2009-05-27,18.055000,18.150000,16.750000,16.780001,12.390737,15552000
2009-05-28,17.065001,18.049999,17.010000,18.035000,13.317461,14986800
2009-05-29,18.045000,18.045000,17.200001,17.750000,13.107010,15308800
2009-06-01,18.084999,18.809999,17.915001,18.129999,13.387613,16239400
2009-06-02,18.235001,18.865000,18.150000,18.250000,13.476220,12483200
2009-06-03,18.230000,18.230000,16.815001,17.090000,12.619652,16986800
2009-06-04,17.440001,17.660000,16.940001,17.145000,12.660264,15937200
2009-06-05,17.625000,17.625000,16.500000,16.760000,12.375972,14391200
2009-06-08,16.639999,17.080000,16.410000,16.900000,12.479348,10728600
2009-06-09,16.915001,16.995001,16.510000,16.879999,12.464581,9843400
2009-06-10,17.094999,17.125000,16.570000,16.754999,12.372282,9698600
2009-06-11,16.799999,17.299999,16.575001,16.905001,12.483046,7567000
2009-06-12,16.770000,16.860001,16.254999,16.405001,12.113832,7535800
2009-06-15,16.250000,16.290001,15.750000,15.810000,11.674473,8782600
2009-06-16,15.915000,16.125000,15.635000,15.640000,11.548941,7285800
2009-06-17,15.585000,15.660000,14.415000,14.870000,10.980349,13901800
2009-06-18,14.905000,15.345000,14.875000,15.285000,11.286796,9124000
2009-06-19,15.495000,15.660000,15.280000,15.550000,11.482481,9368400
2009-06-22,15.345000,15.345000,14.610000,14.625000,10.799439,10656800
2009-06-23,14.710000,15.300000,14.590000,15.080000,11.135423,9251800
2009-06-24,15.410000,15.855000,15.165000,15.490000,11.438172,8244800
2009-06-25,15.535000,15.990000,15.235000,15.960000,11.785232,7926400
2009-06-26,15.770000,16.020000,15.660000,15.910000,11.748310,5477400
2009-06-29,15.980000,16.115000,15.750000,15.925000,11.759391,6368600
2009-06-30,15.870000,15.940000,15.295000,15.545000,11.478786,7962400
2009-07-01,15.615000,15.850000,15.535000,15.635000,11.545246,7253800
2009-07-02,15.515000,15.580000,14.695000,14.715000,10.865897,9748200
2009-07-06,14.675000,15.000000,14.500000,14.980000,11.061575,8425000
2009-07-07,14.980000,15.000000,14.540000,14.575000,10.762516,9350000
2009-07-08,14.660000,14.905000,14.085000,14.400000,10.633294,13085000
2009-07-09,14.695000,14.730000,14.340000,14.475000,10.688674,7626000
2009-07-10,14.370000,14.450000,14.125000,14.325000,10.577910,7784800
2009-07-13,14.480000,15.340000,14.220000,15.330000,11.320027,12647400
2009-07-14,15.245000,15.770000,15.235000,15.690000,11.585856,10464000
2009-07-15,15.875000,16.360001,15.715000,16.190001,11.955073,15484800
2009-07-16,15.900000,16.129999,15.620000,15.795000,11.663393,10845000
2009-07-17,15.755000,15.880000,15.500000,15.750000,11.630163,6936800
2009-07-20,15.855000,16.440001,15.855000,16.340000,12.065833,8136600
2009-07-21,16.549999,16.680000,16.360001,16.625000,12.276286,9999000
2009-07-22,16.500000,16.875000,16.270000,16.725000,12.350125,5866600
2009-07-23,16.775000,17.950001,16.655001,17.775000,13.125471,11688000
2009-07-24,17.620001,18.075001,17.430000,17.934999,13.243617,6762000
2009-07-27,17.930000,18.459999,17.855000,18.424999,13.605441,7325200
2009-07-28,18.160000,18.620001,18.055000,18.299999,13.513146,7765800
2009-07-29,17.730000,18.040001,17.389999,17.725000,13.088552,12008200
2009-07-30,17.995001,19.200001,17.910000,18.905001,13.959892,13347800
2009-07-31,18.715000,18.985001,18.245001,18.930000,13.978349,9606000
2009-08-03,19.209999,19.495001,19.025000,19.475000,14.380793,7891000
2009-08-04,19.334999,19.950001,19.240000,19.924999,14.713079,8829400
2009-08-05,19.955000,20.254999,19.620001,20.135000,14.868152,10573200
2009-08-06,20.184999,20.264999,19.389999,19.895000,14.690933,9429000
2009-08-07,20.135000,21.045000,20.030001,20.850000,15.396122,10581200
2009-08-10,20.805000,20.855000,20.190001,20.465000,15.111831,6166800
2009-08-11,20.344999,20.530001,20.065001,20.115000,14.853381,7492000
2009-08-12,20.160000,21.264999,20.025000,21.059999,15.551194,10741200
2009-08-13,21.305000,21.370001,20.860001,21.245001,15.687806,5893200
2009-08-14,21.245001,21.360001,20.660000,21.030001,15.529048,6556000
2009-08-17,20.570000,20.584999,19.805000,19.840000,14.748497,9113800
2009-08-18,19.900000,20.309999,19.754999,20.219999,15.030980,5263800
2009-08-19,19.955000,20.504999,19.705000,20.290001,15.083016,5665000
2009-08-20,20.320000,20.865000,19.910000,20.065001,14.915759,11854800
2009-08-21,20.280001,21.100000,20.150000,20.934999,15.562490,11727600
2009-08-24,21.100000,21.315001,20.465000,20.600000,15.313467,6441600
2009-08-25,20.705000,21.030001,20.615000,20.875000,15.517886,7974800
2009-08-26,20.875000,20.995001,20.450001,20.695000,15.384080,7463800
2009-08-27,20.510000,20.660000,20.090000,20.500000,15.239123,7324800
2009-08-28,20.690001,20.745001,20.225000,20.350000,15.127615,6433600
2009-08-31,20.004999,20.355000,19.985001,20.309999,15.097887,7076200
2009-09-01,20.184999,20.344999,19.025000,19.075001,14.179816,13288000
2009-09-02,18.995001,19.705000,18.870001,19.350000,14.384246,8286200
2009-09-03,19.545000,19.650000,18.950001,19.430000,14.443716,7477200
2009-09-04,19.379999,19.535000,18.910000,19.100000,14.198400,8522400
2009-09-08,19.475000,19.639999,19.285000,19.639999,14.599826,8176800
2009-09-09,19.455000,20.125000,19.415001,19.955000,14.833985,8227600
2009-09-10,19.930000,20.420000,19.340000,20.139999,14.971513,6437800
2009-09-11,20.230000,20.525000,19.879999,20.430000,15.187090,7415800
2009-09-14,20.285000,20.910000,19.969999,20.879999,15.521609,6852600
2009-09-15,20.879999,20.965000,20.520000,20.805000,15.465842,7213200
2009-09-16,20.665001,21.695000,20.639999,21.510000,15.989928,10377600
2009-09-17,21.450001,22.035000,21.184999,21.350000,15.870997,8840800
2009-09-18,21.375000,21.655001,21.250000,21.375000,15.889572,8370800
2009-09-21,21.030001,21.320000,20.889999,21.139999,15.714882,7038000
2009-09-22,21.295000,21.520000,21.275000,21.395000,15.904444,5752600
2009-09-23,21.375000,21.674999,20.959999,20.959999,15.581074,6567800
2009-09-24,21.045000,21.309999,20.500000,20.600000,15.313467,7404600
2009-09-25,20.500000,20.924999,20.235001,20.344999,15.123899,5938400
2009-09-28,20.389999,21.280001,20.334999,21.230000,15.781781,6414800
2009-09-29,21.254999,21.915001,21.150000,21.415001,15.919313,11717200
2009-09-30,21.440001,21.700001,21.010000,21.370001,15.885863,9144000
2009-10-01,21.219999,21.375000,20.275000,20.355000,15.131333,10885800
2009-10-02,20.040001,20.760000,19.910000,20.549999,15.276296,8087000
2009-10-05,20.610001,20.860001,20.504999,20.785000,15.450985,8212600
2009-10-06,21.190001,21.860001,21.105000,21.510000,15.989928,7808400
2009-10-07,21.465000,21.695000,21.260000,21.590000,16.049398,5907400
2009-10-08,21.740000,22.245001,21.725000,21.850000,16.242674,7464200
2009-10-09,21.665001,22.525000,21.665001,22.504999,16.729584,7772400
2009-10-12,22.655001,22.959999,22.500000,22.855000,16.989761,7585200
2009-10-13,22.770000,22.834999,22.400000,22.575001,16.781616,8874600
2009-10-14,22.844999,23.090000,22.695000,22.955000,17.064100,7857800
2009-10-15,22.730000,22.910000,22.629999,22.795000,16.945158,6628000
