Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.520000,9.060000,8.520000,8.890000,8.890000,538900
2009-01-05,8.940000,9.350000,8.350000,9.250000,9.250000,826500
2009-01-06,9.330000,9.630000,9.070000,9.600000,9.600000,782100
2009-01-07,9.480000,9.590000,9.200000,9.360000,9.360000,711100
2009-01-08,9.300000,9.350000,8.740000,9.010000,9.010000,801800
2009-01-09,9.040000,9.200000,8.750000,8.820000,8.820000,257400
2009-01-12,8.850000,9.350000,8.850000,9.210000,9.210000,412700
2009-01-13,9.180000,9.670000,9.120000,9.210000,9.210000,678500
2009-01-14,9.000000,9.300000,8.610000,9.030000,9.030000,399900
2009-01-15,9.000000,9.270000,8.640000,9.250000,9.250000,261200
2009-01-16,9.310000,9.310000,8.860000,9.250000,9.250000,476500
2009-01-20,9.290000,9.290000,8.310000,8.360000,8.360000,698000
2009-01-21,8.420000,8.930000,8.300000,8.840000,8.840000,524500
2009-01-22,8.650000,8.880000,8.310000,8.730000,8.730000,493300
2009-01-23,8.510000,8.560000,8.250000,8.410000,8.410000,438800
2009-01-26,8.450000,8.750000,8.280000,8.470000,8.470000,601400
2009-01-27,8.450000,8.610000,7.950000,8.150000,8.150000,638000
2009-01-28,8.240000,8.300000,7.680000,7.820000,7.820000,757000
2009-01-29,7.600000,8.550000,7.480000,7.660000,7.660000,1177700
2009-01-30,7.500000,8.120000,7.500000,7.880000,7.880000,762200
2009-02-02,7.710000,8.150000,7.710000,8.020000,8.020000,644900
2009-02-03,8.050000,8.360000,8.050000,8.270000,8.270000,718100
2009-02-04,8.250000,8.440000,8.060000,8.190000,8.190000,460300
2009-02-05,8.090000,8.580000,8.000000,8.540000,8.540000,566600
2009-02-06,8.510000,8.980000,8.490000,8.850000,8.850000,425400
2009-02-09,8.780000,8.810000,8.420000,8.610000,8.610000,310300
2009-02-10,8.580000,9.190000,8.460000,8.540000,8.540000,765600
2009-02-11,8.550000,8.700000,8.430000,8.580000,8.580000,528700
2009-02-12,8.500000,8.670000,8.310000,8.610000,8.610000,626600
2009-02-13,8.640000,8.950000,8.530000,8.850000,8.850000,389500
2009-02-17,8.580000,8.720000,8.260000,8.420000,8.420000,501100
2009-02-18,8.450000,8.610000,8.020000,8.030000,8.030000,442500
2009-02-19,8.120000,8.250000,7.920000,7.930000,7.930000,395500
2009-02-20,7.870000,8.320000,7.730000,7.810000,7.810000,317200
2009-02-23,7.700000,7.980000,7.700000,7.820000,7.820000,732100
2009-02-24,7.890000,8.150000,7.750000,8.060000,8.060000,753400
2009-02-25,7.990000,8.000000,7.460000,7.550000,7.550000,311900
2009-02-26,7.590000,7.800000,7.200000,7.220000,7.220000,402800
2009-02-27,7.160000,7.400000,6.850000,6.850000,6.850000,485500
2009-03-02,6.810000,6.830000,6.250000,6.280000,6.280000,537400
2009-03-03,6.360000,6.850000,6.350000,6.780000,6.780000,665300
2009-03-04,6.880000,7.200000,6.700000,7.040000,7.040000,433700
2009-03-05,7.000000,7.000000,6.360000,6.420000,6.420000,524000
2009-03-06,6.470000,6.470000,6.100000,6.410000,6.410000,431300
2009-03-09,6.370000,6.490000,6.160000,6.300000,6.300000,327000
2009-03-10,6.380000,7.030000,6.310000,6.880000,6.880000,506700
2009-03-11,6.940000,7.170000,6.580000,6.710000,6.710000,329200
2009-03-12,6.720000,7.530000,6.530000,7.510000,7.510000,603800
2009-03-13,7.460000,7.760000,7.220000,7.590000,7.590000,920800
2009-03-16,7.570000,7.730000,7.250000,7.290000,7.290000,245800
2009-03-17,7.270000,7.650000,7.080000,7.650000,7.650000,247800
2009-03-18,7.570000,8.060000,7.450000,7.970000,7.970000,306200
2009-03-19,8.040000,8.040000,7.500000,7.540000,7.540000,299700
2009-03-20,7.570000,7.710000,6.850000,6.910000,6.910000,639800
2009-03-23,7.090000,7.660000,6.970000,7.660000,7.660000,685400
2009-03-24,7.530000,7.700000,7.470000,7.550000,7.550000,594500
2009-03-25,7.560000,8.050000,7.480000,7.910000,7.910000,795600
2009-03-26,7.910000,8.260000,7.680000,8.200000,8.200000,517400
2009-03-27,8.290000,8.370000,7.910000,8.190000,8.190000,752500
2009-03-30,7.960000,8.170000,7.720000,7.990000,7.990000,464400
2009-03-31,8.000000,8.230000,7.890000,7.930000,7.930000,881200
2009-04-01,7.830000,7.910000,7.620000,7.850000,7.850000,601800
2009-04-02,7.950000,8.390000,7.720000,8.140000,8.140000,425800
2009-04-03,8.100000,8.220000,7.960000,8.090000,8.090000,331700
2009-04-06,8.020000,8.180000,7.950000,8.090000,8.090000,407200
2009-04-07,7.980000,7.980000,7.680000,7.820000,7.820000,657300
2009-04-08,7.850000,8.220000,7.790000,8.210000,8.210000,605000
