Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.933333,5.050000,4.838333,5.000000,4.133896,987600
2009-01-05,5.021667,5.101667,4.875000,4.976667,4.114604,1672200
2009-01-06,5.030000,5.195000,5.021667,5.140000,4.249645,1729200
2009-01-07,5.075000,5.266667,5.013333,5.100000,4.216573,1800000
2009-01-08,5.086667,5.190000,5.056667,5.148333,4.256535,1164000
2009-01-09,5.133333,5.178333,5.023333,5.068333,4.190394,1183200
2009-01-12,5.075000,5.106667,5.011667,5.038333,4.165589,1111800
2009-01-13,5.015000,5.266667,5.005000,5.255000,4.344725,2774400
2009-01-14,5.176667,5.263333,4.970000,4.991667,4.127006,1813200
2009-01-15,4.978333,5.296667,4.890000,5.268333,4.355746,1027200
2009-01-16,5.351667,5.385000,5.181667,5.375000,4.443938,1479600
2009-01-20,5.325000,5.375000,5.141667,5.153333,4.260669,1404000
2009-01-21,5.100000,5.108333,4.868333,5.083333,4.202795,3478800
2009-01-22,5.366667,5.458333,5.083333,5.221667,4.317165,3369000
2009-01-23,5.173333,5.173333,4.883333,4.898333,4.049839,2859600
2009-01-26,4.891667,5.125000,4.891667,4.978333,4.115982,1806600
2009-01-27,4.990000,5.073333,4.871667,4.928333,4.074641,1301400
2009-01-28,4.990000,5.016667,4.941667,4.988333,4.150921,1452000
2009-01-29,4.913333,4.921667,4.713333,4.745000,3.948439,1299000
2009-01-30,4.723333,4.790000,4.561667,4.580000,3.811137,1270200
2009-02-02,4.566667,4.655000,4.411667,4.575000,3.806977,943200
2009-02-03,4.600000,4.673333,4.521667,4.620000,3.844422,1248000
2009-02-04,4.601667,4.751667,4.548333,4.590000,3.819458,893400
2009-02-05,4.568333,4.721667,4.473333,4.663333,3.880479,1158000
2009-02-06,4.688333,4.881667,4.645000,4.821667,4.012235,1225200
2009-02-09,4.813333,4.825000,4.676667,4.721667,3.929022,896400
2009-02-10,4.703333,4.783333,4.500000,4.525000,3.765371,1317000
2009-02-11,4.536667,4.606667,4.408333,4.480000,3.727925,900000
2009-02-12,4.500000,4.670000,4.426667,4.558333,3.793107,1447200
2009-02-13,4.576667,4.690000,4.560000,4.591667,3.820845,882000
2009-02-17,4.433333,4.495000,4.333333,4.376667,3.641937,1035000
2009-02-18,4.395000,4.453333,4.260000,4.323333,3.597557,1689000
2009-02-19,4.366667,4.415000,4.166667,4.206667,3.500477,2154000
2009-02-20,4.143333,4.250000,4.046667,4.180000,3.478287,1847400
2009-02-23,4.291667,4.491667,4.231667,4.250000,3.536537,2152800
2009-02-24,4.325000,4.543333,4.258333,4.483333,3.730698,1909800
2009-02-25,4.441667,4.513333,4.326667,4.368333,3.635003,1248600
2009-02-26,4.463333,4.505000,4.263333,4.285000,3.565661,1117800
2009-02-27,4.246667,4.375000,4.226667,4.255000,3.540697,1574400
2009-03-02,4.213333,4.215000,3.983333,4.011667,3.338212,1432200
2009-03-03,4.061667,4.118333,3.900000,3.978333,3.310474,2833200
2009-03-04,4.041667,4.106667,3.958333,4.023333,3.347920,1983000
2009-03-05,3.940000,3.996667,3.710000,3.746667,3.117698,1317000
2009-03-06,3.775000,3.898333,3.666667,3.738333,3.110764,1718400
2009-03-09,3.685000,3.756667,3.528333,3.548333,2.952660,2527200
2009-03-10,3.628333,3.723333,3.578333,3.658333,3.044194,2115000
2009-03-11,3.673333,3.698333,3.566667,3.590000,2.987331,1564800
2009-03-12,3.581667,3.711667,3.491667,3.680000,3.062224,1860000
2009-03-13,3.700000,3.773333,3.600000,3.668333,3.052516,1095600
2009-03-16,3.695000,3.743333,3.581667,3.591667,2.988719,1255200
2009-03-17,3.600000,3.861667,3.523333,3.856667,3.209233,3125400
2009-03-18,3.875000,4.121667,3.841667,4.093333,3.406169,3103200
2009-03-19,4.153333,4.153333,3.985000,3.998333,3.327116,1210200
2009-03-20,4.031667,4.033333,3.835000,3.883333,3.231423,1567200
2009-03-23,3.890000,4.241667,3.890000,4.241667,3.529602,2113200
2009-03-24,4.173333,4.236667,4.101667,4.118333,3.426971,1556400
2009-03-25,4.143333,4.266667,4.073333,4.221667,3.512959,2391600
2009-03-26,4.276667,4.383333,4.178333,4.381667,3.646101,2367600
2009-03-27,4.313333,4.333333,4.211667,4.253333,3.539309,1582800
2009-03-30,4.216667,4.216667,4.035000,4.130000,3.436681,1842600
2009-03-31,4.165000,4.276667,4.108333,4.196667,3.492155,1306800
2009-04-01,4.131667,4.211667,4.045000,4.195000,3.490769,1167600
2009-04-02,4.301667,4.500000,4.301667,4.371667,3.637778,1644000
2009-04-03,4.351667,4.406667,4.320000,4.400000,3.661354,812400
2009-04-06,4.333333,4.401667,4.253333,4.396667,3.658580,1256400
2009-04-07,4.316667,4.358333,4.253333,4.305000,3.582303,1165800
2009-04-08,4.318333,4.456667,4.318333,4.456667,3.708509,1189200
2009-04-09,4.550000,4.865000,4.550000,4.846667,4.033038,2256600
2009-04-13,4.786667,4.805000,4.611667,4.745000,3.948439,1629000
2009-04-14,4.650000,4.703333,4.521667,4.671667,3.887416,2361600
2009-04-15,4.633333,4.741667,4.555000,4.721667,3.929022,1410600
2009-04-16,4.763333,5.071667,4.670000,5.021667,4.178661,2147400
2009-04-17,4.416667,4.938333,4.218333,4.905000,4.081578,9042000
2009-04-20,4.786667,4.825000,4.625000,4.660000,3.877707,3490800
2009-04-21,4.658333,4.906667,4.625000,4.903333,4.080191,2866200
2009-04-22,4.801667,5.020000,4.773333,4.895000,4.073256,2300400
2009-04-23,4.910000,5.191667,4.843333,5.133333,4.271579,3546000
2009-04-24,5.141667,5.423333,5.103333,5.231667,4.353406,2895600
2009-04-27,5.081667,5.096667,4.891667,4.991667,4.153696,3377400
2009-04-28,4.943333,5.030000,4.906667,4.968333,4.160674,3349800
2009-04-29,5.065000,5.215000,5.010000,5.160000,4.321183,3068400
2009-04-30,5.225000,5.373333,5.150000,5.181667,4.339328,3465600
2009-05-01,5.183333,5.200000,5.073333,5.170000,4.329558,2074200
2009-05-04,5.196667,5.325000,5.141667,5.311667,4.448196,2373000
2009-05-05,5.293333,5.330000,5.136667,5.211667,4.364450,1350000
2009-05-06,5.246667,5.246667,5.013333,5.143333,4.307227,3472800
2009-05-07,5.210000,5.241667,5.128333,5.206667,4.360266,2328000
2009-05-08,5.240000,5.418333,5.240000,5.325000,4.459361,1636200
2009-05-11,5.221667,5.270000,5.168333,5.170000,4.329558,1893000
2009-05-12,5.190000,5.220000,4.981667,5.056667,4.234648,2111400
2009-05-13,4.981667,5.003333,4.756667,4.763333,3.989000,1515600
2009-05-14,4.800000,4.838333,4.698333,4.733333,3.963877,1905600
2009-05-15,4.733333,4.816667,4.671667,4.713333,3.947126,1119000
2009-05-18,4.773333,4.863333,4.715000,4.856667,4.067159,1567200
2009-05-19,4.871667,4.963333,4.815000,4.890000,4.095075,871800
2009-05-20,4.900000,5.073333,4.895000,4.945000,4.141136,1665600
2009-05-21,4.893333,4.963333,4.796667,4.870000,4.078327,951600
2009-05-22,4.888333,4.918333,4.751667,4.765000,3.990396,624000
2009-05-26,4.718333,5.053333,4.710000,5.013333,4.198358,1056000
2009-05-27,4.993333,5.045000,4.908333,4.918333,4.118803,832800
2009-05-28,4.975000,4.978333,4.781667,4.931667,4.129969,960600
2009-05-29,4.943333,4.998333,4.831667,4.998333,4.185797,904800
2009-06-01,5.056667,5.205000,4.980000,5.176667,4.335142,773400
2009-06-02,5.163333,5.286667,5.125000,5.208333,4.361659,1542000
2009-06-03,5.176667,5.221667,5.116667,5.215000,4.367243,951600
2009-06-04,5.231667,5.350000,5.181667,5.291667,4.431447,1094400
2009-06-05,5.320000,5.340000,5.211667,5.290000,4.430050,1458600
2009-06-08,5.250000,5.278333,5.155000,5.181667,4.339328,1333200
2009-06-09,5.195000,5.288333,5.148333,5.270000,4.413301,955800
2009-06-10,5.303333,5.345000,5.110000,5.158333,4.319786,1188000
2009-06-11,5.228333,5.228333,5.090000,5.098333,4.269539,1039800
2009-06-12,5.080000,5.203333,5.005000,5.201667,4.356078,843000
2009-06-15,5.140000,5.151667,4.906667,4.996667,4.184402,1053600
2009-06-16,5.115000,5.313333,4.985000,5.058333,4.236043,1744800
2009-06-17,5.065000,5.218333,5.065000,5.163333,4.323974,1556400
2009-06-18,5.155000,5.353333,5.100000,5.323333,4.457965,2317200
2009-06-19,5.363333,5.420000,5.255000,5.311667,4.448196,2472600
2009-06-22,5.250000,5.250000,5.171667,5.173333,4.332350,1649400
2009-06-23,5.198333,5.215000,5.003333,5.016667,4.201151,1344600
2009-06-24,5.080000,5.325000,5.058333,5.231667,4.381200,1544400
2009-06-25,5.211667,5.400000,5.211667,5.398333,4.520774,1507200
2009-06-26,5.380000,5.386667,5.300000,5.373333,4.499835,2071200
2009-06-29,5.363333,5.525000,5.310000,5.476667,4.586373,1663800
2009-06-30,5.481667,5.500000,5.421667,5.428333,4.545895,1361400
2009-07-01,5.455000,5.766667,5.455000,5.673333,4.751070,2076600
2009-07-02,5.571667,5.701667,5.486667,5.605000,4.693845,1586400
2009-07-06,5.598333,5.628333,5.513333,5.571667,4.665929,793200
2009-07-07,5.571667,5.571667,5.341667,5.363333,4.491462,1368600
2009-07-08,5.371667,5.393333,5.231667,5.310000,4.446799,1397400
2009-07-09,5.346667,5.383333,5.298333,5.311667,4.448196,455400
2009-07-10,5.268333,5.360000,5.245000,5.325000,4.459361,2531400
2009-07-13,5.340000,5.545000,5.285000,5.528333,4.629639,1342200
2009-07-14,5.523333,5.713333,5.520000,5.675000,4.752465,1777800
