Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.025000,8.550000,7.912500,8.505000,8.505000,4069200
2009-01-05,8.382500,8.585000,8.252500,8.337500,8.337500,7444800
2009-01-06,8.532500,8.807500,8.285000,8.650000,8.650000,5938800
2009-01-07,8.437500,8.487500,7.935000,8.000000,8.000000,5647600
2009-01-08,8.072500,8.250000,7.862500,8.227500,8.227500,4781200
2009-01-09,8.160000,8.197500,7.680000,7.882500,7.882500,6386000
2009-01-12,7.850000,7.872500,7.617500,7.712500,7.712500,3714000
2009-01-13,7.560000,7.805000,7.245000,7.407500,7.407500,11997600
2009-01-14,7.342500,7.342500,6.822500,6.965000,6.965000,11250400
2009-01-15,7.035000,7.185000,6.767500,6.922500,6.922500,11600000
2009-01-16,7.097500,7.107500,6.570000,7.032500,7.032500,13016800
2009-01-20,6.970000,7.090000,6.475000,6.517500,6.517500,11439200
2009-01-21,6.772500,6.917500,6.457500,6.892500,6.892500,9241200
2009-01-22,6.712500,6.732500,6.507500,6.620000,6.620000,7372400
2009-01-23,6.477500,6.892500,6.477500,6.772500,6.772500,6079200
2009-01-26,6.800000,7.140000,6.732500,6.875000,6.875000,9273600
2009-01-27,6.880000,6.962500,6.675000,6.850000,6.850000,7326000
2009-01-28,7.027500,7.482500,7.025000,7.347500,7.347500,12048000
2009-01-29,7.285000,7.285000,6.857500,6.900000,6.900000,8058400
2009-01-30,6.960000,7.020000,6.625000,6.652500,6.652500,6169200
2009-02-02,6.625000,6.715000,6.487500,6.660000,6.660000,9271200
2009-02-03,6.797500,7.550000,6.797500,7.500000,7.500000,18879200
2009-02-04,7.505000,7.582500,7.232500,7.332500,7.332500,9054800
2009-02-05,7.197500,7.785000,7.130000,7.680000,7.680000,10538000
2009-02-06,7.482500,7.500000,6.915000,7.260000,7.260000,29706400
2009-02-09,7.200000,7.490000,7.187500,7.230000,7.230000,9272400
2009-02-10,7.227500,7.272500,6.622500,6.712500,6.712500,21502000
2009-02-11,6.792500,7.000000,6.627500,6.807500,6.807500,13372000
2009-02-12,6.730000,6.785000,6.557500,6.770000,6.770000,9430000
2009-02-13,6.752500,6.830000,6.627500,6.715000,6.715000,11282400
2009-02-17,6.647500,6.647500,6.410000,6.485000,6.485000,10872000
2009-02-18,6.595000,6.595000,6.427500,6.442500,6.442500,12310800
2009-02-19,6.572500,6.620000,6.420000,6.482500,6.482500,14269200
2009-02-20,6.387500,6.545000,6.297500,6.512500,6.512500,16829200
