Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,37.380001,37.750000,36.279999,37.270000,34.128448,2065500
2009-01-05,37.139999,38.590000,36.419998,38.119999,34.906792,2023400
2009-01-06,38.430000,38.799999,36.779999,37.970001,34.769436,1971000
2009-01-07,37.490002,37.660000,36.520000,36.689999,33.597324,1635000
2009-01-08,36.509998,37.060001,35.740002,36.650002,33.560699,1884100
2009-01-09,36.650002,37.310001,35.820000,36.889999,33.780468,1591500
2009-01-12,36.990002,36.990002,34.990002,35.230000,32.260395,2125800
2009-01-13,35.270000,35.889999,33.799999,34.349998,31.454569,3429400
2009-01-14,33.840000,34.189999,32.290001,32.439999,29.705570,2667000
2009-01-15,32.400002,32.439999,30.490000,31.650000,28.982162,4938200
2009-01-16,32.439999,33.759998,31.850000,33.279999,30.474764,2932200
2009-01-20,33.139999,33.790001,31.780001,31.969999,29.275181,2833400
2009-01-21,32.369999,33.799999,31.940001,33.759998,30.914307,2556600
2009-01-22,33.119999,35.700001,33.119999,35.310001,32.333649,4284300
2009-01-23,34.740002,37.299999,34.130001,37.150002,34.018562,3270800
2009-01-26,37.360001,38.410000,36.410000,36.880001,33.771317,2580100
2009-01-27,37.060001,39.160000,37.040001,38.930000,35.648506,3127200
2009-01-28,39.669998,42.279999,39.669998,41.369999,37.882847,3764400
2009-01-29,41.139999,41.189999,39.139999,39.689999,36.344440,3503100
2009-01-30,39.939999,40.009998,37.590000,37.930000,34.732803,3027500
2009-02-02,36.720001,41.549999,36.060001,40.130001,36.747360,7410400
2009-02-03,40.450001,43.230000,39.919998,42.540001,38.954216,4455900
2009-02-04,42.560001,43.020000,41.250000,41.939999,38.404797,3563600
2009-02-05,41.990002,44.759998,41.990002,44.669998,40.904690,3677600
2009-02-06,44.240002,45.470001,44.169998,44.549999,40.794804,2983900
2009-02-09,44.349998,46.000000,44.349998,45.799999,41.939419,2652300
2009-02-10,45.590000,46.009998,43.389999,43.560001,39.888241,3117700
2009-02-11,43.160000,44.220001,42.459999,43.509998,39.842449,2529400
2009-02-12,42.990002,44.070000,41.930000,43.950001,40.245358,2249800
2009-02-13,43.750000,43.990002,42.389999,42.750000,39.146526,2230400
2009-02-17,41.540001,42.500000,40.750000,42.029999,38.487206,2358000
2009-02-18,42.090000,42.419998,40.259998,41.660000,38.148403,2380400
2009-02-19,41.869999,42.939999,40.720001,40.930000,37.479935,2385500
2009-02-20,40.889999,41.020000,39.360001,40.540001,37.122810,2790500
2009-02-23,36.740002,36.860001,30.190001,30.830000,28.231279,14971300
2009-02-24,30.969999,32.230000,30.299999,31.360001,28.716599,5090400
2009-02-25,31.340000,31.500000,29.209999,29.360001,26.885181,5753700
2009-02-26,28.860001,28.860001,23.040001,23.639999,21.647331,14650000
2009-02-27,23.670000,25.500000,22.650000,23.670000,21.674810,7998800
2009-03-02,22.639999,22.820000,19.760000,20.000000,18.314163,10079700
2009-03-03,20.639999,21.370001,18.650000,20.030001,18.341635,10382700
2009-03-04,20.700001,21.709999,20.100000,20.990000,19.220707,5598200
2009-03-05,20.650000,20.650000,18.570000,18.770000,17.187843,6227000
2009-03-06,19.219999,19.840000,18.600000,19.540001,17.892933,5648700
2009-03-09,19.400000,20.820000,18.660000,19.969999,18.286690,5687800
2009-03-10,20.480000,21.959999,20.290001,21.610001,19.788450,5383700
2009-03-11,21.959999,22.510000,20.620001,20.780001,19.028410,5394600
