Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.120000,8.670000,7.990000,8.610000,6.486321,8917000
2009-01-05,8.480000,9.070000,8.400000,8.720000,6.569190,12011800
2009-01-06,8.860000,8.900000,8.500000,8.830000,6.652059,7774200
2009-01-07,8.550000,8.550000,7.800000,7.910000,5.958979,11288800
2009-01-08,7.850000,7.990000,7.740000,7.790000,5.868577,9061500
2009-01-09,7.880000,7.900000,7.100000,7.170000,5.401503,11123200
2009-01-12,7.210000,7.340000,6.900000,7.020000,5.288499,12211500
2009-01-13,6.940000,7.260000,6.700000,7.210000,5.431634,13708900
2009-01-14,6.920000,7.100000,6.740000,6.850000,5.160429,12115100
2009-01-15,6.860000,6.860000,5.970000,6.100000,4.595421,17505500
2009-01-16,6.350000,6.500000,5.810000,6.070000,4.572821,16682700
2009-01-20,5.600000,5.800000,4.600000,4.600000,3.465398,28075400
2009-01-21,4.790000,5.020000,4.450000,4.950000,3.729070,22708300
2009-01-22,4.870000,4.950000,4.140000,4.250000,3.201726,18333500
2009-01-23,4.050000,4.750000,4.000000,4.660000,3.510600,15574900
2009-01-26,4.910000,4.910000,4.000000,4.100000,3.088725,12730100
2009-01-27,4.510000,4.650000,4.010000,4.080000,3.073658,13169500
2009-01-28,4.500000,4.730000,4.310000,4.560000,3.435264,20610000
2009-01-29,4.490000,4.490000,4.060000,4.140000,3.118858,15145500
2009-01-30,4.070000,4.210000,3.400000,3.460000,2.606582,19374300
2009-02-02,3.400000,3.450000,2.670000,2.920000,2.199775,27033800
2009-02-03,3.130000,3.160000,2.520000,2.610000,1.966236,21499800
2009-02-04,2.650000,2.790000,2.380000,2.500000,1.883369,15650500
2009-02-05,2.500000,3.200000,2.350000,2.830000,2.131973,28918200
2009-02-06,3.030000,4.550000,3.010000,4.200000,3.164060,47574100
2009-02-09,4.700000,5.040000,4.340000,4.640000,3.495533,32890000
2009-02-10,4.650000,4.670000,3.170000,3.240000,2.440846,47192400
2009-02-11,3.530000,3.790000,3.390000,3.680000,2.772319,26647700
2009-02-12,3.370000,3.610000,3.220000,3.570000,2.689451,21358200
2009-02-13,3.500000,3.680000,3.350000,3.380000,2.546315,13067600
2009-02-17,2.980000,3.230000,2.980000,3.090000,2.327844,21006300
2009-02-18,3.260000,3.400000,2.930000,2.990000,2.252509,17067300
2009-02-19,3.000000,3.140000,2.630000,2.640000,1.988838,11355900
2009-02-20,2.440000,3.020000,2.350000,2.840000,2.139507,23819600
2009-02-23,3.100000,3.150000,2.640000,2.690000,2.026505,16631400
2009-02-24,2.660000,3.390000,2.540000,3.290000,2.478513,28278100
2009-02-25,3.200000,4.100000,2.830000,3.760000,2.832587,38851300
2009-02-26,4.140000,4.470000,3.610000,3.940000,2.968189,38114400
2009-02-27,3.300000,3.950000,3.100000,3.420000,2.576448,34587500
2009-03-02,3.180000,3.800000,3.170000,3.570000,2.689451,20402200
2009-03-03,3.800000,3.900000,3.410000,3.430000,2.583983,13501600
2009-03-04,3.600000,3.790000,3.380000,3.520000,2.651783,11990900
2009-03-05,3.390000,3.490000,2.900000,3.100000,2.335377,15967600
2009-03-06,3.150000,3.350000,2.760000,2.940000,2.214842,16812000
2009-03-09,2.940000,3.340000,2.850000,3.270000,2.463446,16474700
2009-03-10,3.460000,3.850000,3.450000,3.740000,2.817520,18503000
2009-03-11,3.920000,4.000000,3.410000,3.530000,2.659316,17108500
2009-03-12,3.470000,3.810000,3.180000,3.760000,2.832587,27849500
2009-03-13,3.800000,4.000000,3.600000,3.890000,2.930522,13825900
2009-03-16,4.000000,4.290000,3.810000,3.850000,2.976915,16162700
2009-03-17,3.850000,4.150000,3.780000,4.090000,3.162489,12704300
2009-03-18,4.030000,4.950000,3.910000,4.950000,3.827463,26273600
2009-03-19,5.130000,5.190000,4.250000,4.340000,3.355796,20488400
2009-03-20,4.460000,4.480000,3.820000,4.020000,3.108365,17175300
2009-03-23,4.470000,4.630000,4.220000,4.500000,3.479512,22101900
2009-03-24,4.280000,4.920000,4.230000,4.490000,3.471779,20627800
2009-03-25,4.510000,5.000000,4.300000,4.690000,3.626426,17119900
2009-03-26,4.730000,4.900000,4.460000,4.550000,3.518172,13933500
2009-03-27,4.360000,4.750000,4.320000,4.320000,3.340331,11550400
2009-03-30,4.060000,4.200000,3.900000,3.900000,3.015577,11894400
2009-03-31,4.130000,4.300000,3.890000,4.260000,3.293938,11869100
2009-04-01,4.220000,4.620000,4.100000,4.410000,3.409921,13533200
2009-04-02,4.750000,4.780000,4.320000,4.450000,3.440849,14059300
2009-04-03,4.330000,4.560000,4.090000,4.560000,3.525905,11442700
2009-04-06,4.160000,4.320000,4.100000,4.230000,3.270741,11120900
2009-04-07,4.050000,4.140000,3.990000,3.990000,3.085166,8528400
2009-04-08,4.060000,4.110000,3.680000,3.830000,2.961452,9464700
2009-04-09,4.400000,4.470000,3.890000,4.310000,3.332598,24425900
2009-04-13,4.220000,5.130000,4.090000,5.030000,3.889322,24725600
2009-04-14,5.100000,5.370000,4.650000,4.730000,3.657353,24231400
2009-04-15,4.650000,5.010000,4.500000,5.000000,3.866124,13220200
2009-04-16,5.170000,7.040000,5.010000,6.700000,5.180605,74214400
2009-04-17,6.780000,7.600000,6.150000,7.230000,5.590417,62195300
2009-04-20,6.850000,6.850000,5.650000,5.800000,4.484705,28862700
2009-04-21,5.010000,6.540000,4.810000,6.140000,4.747600,53901000
2009-04-22,5.750000,6.930000,5.630000,5.800000,4.484705,42371300
2009-04-23,5.970000,6.150000,5.200000,5.820000,4.500169,37618700
2009-04-24,5.810000,5.950000,5.100000,5.560000,4.299129,49489500
2009-04-27,5.390000,5.480000,4.850000,4.910000,3.796533,28849400
2009-04-28,4.750000,5.200000,4.480000,4.710000,3.641888,27102600
2009-04-29,4.950000,5.060000,4.510000,4.660000,3.603228,26766300
2009-04-30,4.910000,4.920000,4.350000,4.490000,3.471779,26542100
2009-05-01,4.430000,4.690000,4.360000,4.390000,3.394456,14480200
2009-05-04,4.410000,5.600000,4.400000,5.530000,4.275932,47691300
