Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.990000,18.240000,17.889999,18.150000,18.081867,3850500
2010-01-05,18.309999,18.870001,18.230000,18.660000,18.589952,6632500
2010-01-06,18.610001,18.650000,18.059999,18.180000,18.111755,5047300
2010-01-07,17.910000,18.070000,17.780001,18.040001,17.972281,5433200
2010-01-08,18.180000,18.450001,18.030001,18.400000,18.330929,4055600
2010-01-11,18.469999,18.700001,18.129999,18.270000,18.201418,6142400
2010-01-12,16.740000,17.139999,16.559999,16.850000,16.786747,31920900
2010-01-13,16.850000,17.219999,16.730000,17.170000,17.105547,14347600
2010-01-14,17.100000,17.340000,16.980000,17.180000,17.115509,9110400
2010-01-15,17.209999,17.290001,16.950001,17.030001,16.966072,9530400
2010-01-19,16.900000,17.219999,16.879999,17.170000,17.105547,7651400
2010-01-20,16.990000,17.240000,16.620001,17.209999,17.145395,8092800
2010-01-21,17.290001,17.570000,17.129999,17.379999,17.314756,12834900
2010-01-22,17.250000,17.299999,16.700001,16.770000,16.707048,8718600
2010-01-25,16.900000,17.170000,16.670000,16.830000,16.766823,7703100
2010-01-26,16.750000,16.959999,16.660000,16.740000,16.677160,6189100
2010-01-27,16.650000,17.219999,16.650000,17.129999,17.065697,10947600
2010-01-28,17.110001,17.299999,16.420000,16.770000,16.707048,12769100
2010-01-29,16.910000,17.090000,16.260000,16.280001,16.218887,7559700
2010-02-01,16.520000,16.740000,16.320000,16.740000,16.677160,6576700
2010-02-02,16.730000,17.129999,16.570000,17.070000,17.005920,8118000
2010-02-03,16.920000,17.320000,16.790001,17.270000,17.205172,6417200
2010-02-04,17.180000,17.180000,16.820000,16.980000,16.916258,7194600
2010-02-05,16.850000,17.330000,16.830000,17.260000,17.195210,10278500
2010-02-08,17.379999,17.860001,17.010000,17.490000,17.424345,16170700
2010-02-09,16.040001,16.280001,15.700000,15.960000,15.900088,47398100
2010-02-10,16.040001,16.120001,15.750000,15.940000,15.880163,13675500
2010-02-11,15.870000,16.200001,15.850000,16.120001,16.059488,8684100
2010-02-12,16.000000,16.270000,15.920000,16.059999,15.999712,8433000
2010-02-16,16.139999,16.500000,16.030001,16.309999,16.248775,7442600
2010-02-17,16.450001,16.660000,16.379999,16.629999,16.567572,9097200
2010-02-18,16.510000,16.809999,16.500000,16.590000,16.527723,5232700
2010-02-19,16.540001,16.870001,16.490000,16.750000,16.687124,8940100
2010-02-22,16.790001,16.950001,16.330000,16.590000,16.527723,7470800
2010-02-23,16.590000,16.680000,16.219999,16.309999,16.248775,5673100
2010-02-24,16.410000,16.580000,16.330000,16.520000,16.457987,3758900
2010-02-25,16.260000,16.580000,16.219999,16.559999,16.497835,6468700
2010-02-26,16.410000,16.690001,16.379999,16.580000,16.517761,5745500
2010-03-01,16.730000,16.910000,16.629999,16.870001,16.806673,5876000
2010-03-02,16.930000,17.049999,16.690001,16.740000,16.677160,5983900
2010-03-03,16.820000,16.950001,16.760000,16.809999,16.746897,3319500
2010-03-04,16.790001,16.850000,16.650000,16.820000,16.756861,4501100
2010-03-05,16.900000,17.200001,16.850000,17.120001,17.055735,5398600
2010-03-08,17.129999,17.549999,17.110001,17.280001,17.215136,6267100
