Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.740002,53.000000,51.619999,52.709999,41.131115,2033000
2010-01-05,52.590000,53.549999,52.169998,53.480000,41.731987,2474100
2010-01-06,53.430000,54.910000,53.270000,54.820000,42.777607,3035800
2010-01-07,54.619999,57.070000,54.529999,56.750000,44.283646,4276400
2010-01-08,56.439999,57.680000,56.439999,57.419998,44.806458,1441400
2010-01-11,57.570000,57.680000,56.529999,57.070000,44.533344,1595300
2010-01-12,56.709999,56.770000,55.799999,56.180000,43.838856,1208500
2010-01-13,56.410000,56.950001,56.000000,56.709999,44.252422,1129300
2010-01-14,56.549999,56.639999,55.930000,56.549999,44.127575,1430500
2010-01-15,56.450001,56.650002,55.439999,55.740002,43.495510,1661200
2010-01-19,55.720001,56.540001,55.680000,56.299999,43.932491,1349800
2010-01-20,55.740002,55.810001,55.000000,55.540001,43.339447,1396300
2010-01-21,55.480000,55.529999,54.160000,54.180000,42.278206,1973500
2010-01-22,54.029999,54.279999,53.200001,53.330002,41.614925,1363500
2010-01-25,53.820000,54.040001,53.470001,53.820000,41.997265,1522400
2010-01-26,53.380001,54.250000,53.150002,53.310001,41.599304,1608600
2010-01-27,52.930000,53.340000,51.540001,52.470001,40.943832,3563600
2010-01-28,52.619999,52.880001,51.369999,51.389999,40.101086,1948400
2010-01-29,51.790001,52.150002,51.000000,51.250000,39.991844,2658100
2010-02-01,51.570000,52.340000,51.209999,52.230000,40.756542,1360400
2010-02-02,52.259998,54.360001,52.200001,54.250000,42.332821,2981100
2010-02-03,54.820000,57.360001,54.689999,56.340000,43.963711,5723900
2010-02-04,55.810001,56.000000,54.590000,54.639999,42.637138,2338100
2010-02-05,54.570000,54.730000,52.759998,54.430000,42.473274,2440400
2010-02-08,54.500000,54.500000,53.480000,53.529999,41.770977,1676900
2010-02-09,54.290001,54.590000,53.470001,54.220001,42.309414,1586900
2010-02-10,54.299999,54.400002,53.380001,53.770000,41.958260,1067700
2010-02-11,53.680000,54.360001,53.259998,54.110001,42.223583,1460600
2010-02-12,53.849998,54.320000,53.270000,54.290001,42.364040,2179600
2010-02-16,54.779999,54.889999,54.130001,54.869999,42.816620,1504500
2010-02-17,55.080002,55.990002,54.770000,55.840000,43.573536,1310000
2010-02-18,55.880001,56.599998,55.520000,56.360001,43.979313,2861700
2010-02-19,56.169998,56.400002,55.750000,55.919998,43.635971,1126700
2010-02-22,55.980000,56.259998,55.570000,56.220001,43.870071,1579100
2010-02-23,56.040001,56.270000,54.849998,55.240002,43.105331,1138200
2010-02-24,55.259998,56.240002,54.939999,56.139999,43.807644,1374200
2010-02-25,55.150002,56.090000,54.779999,56.000000,43.698391,1230200
2010-02-26,56.209999,57.500000,56.040001,57.250000,44.673809,2616600
2010-03-01,57.119999,59.099998,56.860001,59.060001,46.353397,2434600
2010-03-02,59.209999,59.900002,58.599998,58.779999,46.133617,1822600
2010-03-03,59.080002,59.380001,58.500000,58.790001,46.141487,699100
2010-03-04,58.849998,58.959999,58.119999,58.439999,45.866779,2478400
2010-03-05,58.889999,59.509998,58.439999,59.090000,46.376938,2008300
2010-03-08,59.259998,59.259998,58.639999,59.070000,46.361244,930200
2010-03-09,58.869999,59.590000,58.619999,59.270000,46.518208,1023900
2010-03-10,59.180000,59.500000,58.630001,59.380001,46.604561,980700
2010-03-11,59.150002,59.209999,58.459999,58.830002,46.172882,1556400
2010-03-12,59.290001,59.290001,57.189999,57.860001,45.411568,5307900
2010-03-15,58.160000,58.490002,56.500000,57.619999,45.223202,3164200
2010-03-16,57.770000,58.500000,57.599998,57.759998,45.333092,1578600
2010-03-17,57.930000,58.650002,57.930000,58.439999,45.866779,1957600
2010-03-18,58.740002,58.939999,58.410000,58.549999,45.953114,1536600
2010-03-19,58.070000,59.349998,58.029999,58.070000,45.576370,2280600
2010-03-22,57.869999,59.060001,57.869999,59.000000,46.306297,1469900
2010-03-23,59.189999,59.980000,59.000000,59.900002,47.012669,3117300
2010-03-24,59.980000,59.980000,58.970001,59.099998,46.384785,1359600
2010-03-25,59.549999,59.549999,57.910000,57.919998,45.458652,1605800
2010-03-26,58.299999,58.790001,58.049999,58.610001,46.000210,1872600
2010-03-29,59.049999,59.430000,58.139999,58.340000,45.788288,1505600
2010-03-30,58.240002,58.560001,58.000000,58.220001,45.694115,855100
2010-03-31,58.110001,58.259998,57.299999,57.410000,45.058395,1268100
2010-04-01,57.810001,58.259998,57.459999,58.000000,45.521442,1323400
2010-04-05,58.259998,59.250000,58.200001,59.230000,46.486816,1313800
2010-04-06,58.939999,59.750000,58.799999,59.720001,46.871391,969800
2010-04-07,59.619999,59.689999,58.970001,59.369999,46.596699,1587900
2010-04-08,59.240002,59.470001,58.919998,59.250000,46.502525,1233700
2010-04-09,59.500000,60.730000,59.439999,60.419998,47.420780,2001300
2010-04-12,60.669998,61.000000,60.340000,60.369999,47.381557,1327300
2010-04-13,60.349998,61.250000,60.099998,61.070000,47.930935,1641400
2010-04-14,61.270000,62.020000,60.759998,61.900002,48.582371,1687500
2010-04-15,61.709999,62.099998,61.119999,61.220001,48.048676,1504500
2010-04-16,61.009998,61.770000,59.689999,60.459999,47.452183,1784300
2010-04-19,60.439999,60.849998,59.599998,60.470001,47.460052,967400
2010-04-20,60.959999,61.880001,60.959999,61.740002,48.456802,2622100
2010-04-21,61.910000,62.049999,61.500000,62.029999,48.684395,1503100
2010-04-22,61.630001,63.009998,60.990002,63.000000,49.445705,1274400
2010-04-23,62.950001,63.599998,62.070000,62.840000,49.320129,1650800
2010-04-26,63.130001,64.139999,62.919998,63.299999,49.681168,2442900
2010-04-27,64.699997,66.269997,63.919998,64.360001,50.513100,5054400
2010-04-28,64.379997,65.089996,63.500000,64.599998,50.701466,3908300
2010-04-29,65.209999,65.500000,64.720001,65.070000,51.070347,1884800
2010-04-30,64.989998,64.989998,62.130001,62.150002,48.778584,3026100
2010-05-03,62.750000,63.549999,62.200001,63.310001,49.689014,2377200
2010-05-04,62.439999,62.509998,61.029999,61.430000,48.213497,2004300
2010-05-05,61.020000,61.419998,59.759998,60.009998,47.099003,2064800
2010-05-06,59.700001,60.980000,55.750000,58.419998,45.851086,3211800
2010-05-07,58.099998,59.150002,55.950001,56.119999,44.045925,3467400
2010-05-10,59.689999,61.270000,59.029999,61.230000,48.056507,3433200
2010-05-11,60.369999,62.849998,60.310001,61.450001,48.229187,2812300
2010-05-12,61.880001,63.130001,61.730000,62.610001,49.139610,2253900
2010-05-13,62.560001,63.759998,61.700001,61.759998,48.472496,2886900
2010-05-14,61.380001,61.500000,59.660000,60.330002,47.350147,1992300
2010-05-17,60.599998,60.759998,58.660000,60.110001,47.177490,1716100
2010-05-18,60.959999,61.470001,58.860001,59.040001,46.337685,2595700
2010-05-19,58.630001,59.189999,56.860001,57.680000,45.270290,3155100
2010-05-20,56.299999,56.340000,53.419998,54.220001,42.554703,4316400
2010-05-21,53.060001,55.590000,52.880001,55.380001,43.465137,4374900
2010-05-24,55.389999,55.450001,54.360001,54.500000,42.774460,2061200
2010-05-25,52.799999,54.970001,52.020000,54.880001,43.072701,3242100
2010-05-26,55.230000,56.450001,54.439999,54.840000,43.041313,2035100
2010-05-27,55.900002,57.150002,55.900002,57.090000,44.807232,2302000
2010-05-28,56.770000,56.770000,55.240002,55.790001,44.041496,1665900
2010-06-01,55.450001,56.610001,54.849998,54.889999,43.331024,2122900
2010-06-02,55.060001,57.320000,54.759998,57.250000,45.194054,2313700
2010-06-03,57.570000,58.520000,56.860001,57.610001,45.478237,1621800
2010-06-04,56.570000,56.759998,54.849998,55.070000,43.473110,3412300
2010-06-07,55.070000,55.330002,53.040001,53.290001,42.067955,2448100
2010-06-08,53.500000,54.310001,53.070000,54.139999,42.738960,1648100
2010-06-09,54.500000,55.090000,52.570000,52.869999,41.736404,3126000
2010-06-10,53.970001,54.299999,53.400002,54.080002,42.691597,3843800
2010-06-11,53.500000,55.250000,53.360001,54.959999,43.386284,1479300
2010-06-14,55.610001,56.549999,55.110001,55.310001,43.662579,1519400
2010-06-15,55.450001,57.419998,55.419998,57.299999,45.233524,2095500
2010-06-16,56.669998,57.150002,56.200001,56.820000,44.854591,1284100
2010-06-17,57.040001,57.139999,55.209999,55.630001,43.915207,2104700
2010-06-18,55.860001,56.279999,55.400002,55.990002,44.199390,1834000
2010-06-21,57.110001,57.110001,54.959999,55.270000,43.631001,1718500
2010-06-22,54.779999,55.490002,52.230000,52.270000,41.262749,3616500
2010-06-23,52.090000,52.610001,50.740002,52.180000,41.191711,4517500
2010-06-24,52.040001,52.889999,51.310001,52.160000,41.175926,2235800
2010-06-25,52.299999,52.400002,51.099998,52.060001,41.096981,2211700
2010-06-28,51.959999,52.529999,51.540001,51.750000,40.852257,1274700
2010-06-29,51.349998,51.349998,49.669998,50.419998,39.802326,3489600
2010-06-30,50.310001,51.169998,49.900002,50.520000,39.881275,2882600
2010-07-01,50.340000,50.610001,48.759998,50.119999,39.565502,3223300
2010-07-02,50.150002,50.470001,49.299999,49.580002,39.139229,1528400
2010-07-06,50.060001,50.750000,49.009998,49.619999,39.170799,1966900
2010-07-07,49.639999,51.770000,49.639999,51.759998,40.860153,1707000
