Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,37.009998,37.299999,36.639999,37.299999,27.950954,8171000
2010-01-05,37.099998,37.160000,36.619999,37.000000,27.726151,10843200
2010-01-06,36.160000,37.290001,35.919998,36.720001,27.516331,8945400
2010-01-07,36.689999,37.000000,36.470001,36.939999,27.681185,5040700
2010-01-08,36.919998,37.070000,36.650002,36.990002,27.718662,6139800
2010-01-11,37.000000,37.139999,36.900002,37.049999,27.763620,4947500
2010-01-12,36.840000,36.970001,36.599998,36.740002,27.531319,4646300
2010-01-13,36.650002,37.160000,36.599998,37.080002,27.786106,4526600
2010-01-14,37.160000,37.250000,36.880001,37.110001,27.808582,5686500
2010-01-15,36.930000,37.049999,36.459999,36.599998,27.426405,8691800
2010-01-19,36.619999,36.869999,36.360001,36.740002,27.531319,5621700
2010-01-20,36.599998,37.049999,36.509998,36.950001,27.688684,5939000
2010-01-21,37.150002,37.270000,36.220001,36.450001,27.314013,7951700
2010-01-22,36.310001,36.799999,35.970001,35.990002,26.969299,6976400
2010-01-25,36.220001,36.869999,35.980000,36.669998,27.478851,6138000
2010-01-26,36.549999,36.700001,36.110001,36.169998,27.104191,6565500
2010-01-27,36.150002,36.830002,36.099998,36.700001,27.501343,6706500
2010-01-28,36.750000,37.000000,36.369999,36.400002,27.276539,5611100
2010-01-29,36.520000,37.060001,36.000000,36.049999,27.014263,8441900
2010-02-01,36.290001,36.410000,36.009998,36.380001,27.261549,6073200
2010-02-02,36.349998,36.840000,36.220001,36.779999,27.561287,7675600
2010-02-03,36.000000,36.189999,34.230000,34.619999,25.942688,23408700
2010-02-04,34.720001,35.099998,33.439999,33.450001,25.065935,17080600
2010-02-05,33.450001,33.680000,33.000000,33.310001,24.961027,12632300
2010-02-08,33.900002,33.900002,33.270000,33.290001,24.946039,11686000
2010-02-09,33.549999,33.840000,33.410000,33.610001,25.185837,7249200
2010-02-10,33.549999,33.610001,33.029999,33.299999,24.953537,6630100
2010-02-11,33.250000,33.599998,33.040001,33.599998,25.178339,5881800
2010-02-12,33.380001,33.630001,33.230000,33.490002,25.095907,5645700
2010-02-16,33.549999,34.080002,33.349998,34.080002,25.643705,5406500
2010-02-17,33.689999,34.570000,33.650002,34.189999,25.726469,7799400
2010-02-18,34.330002,34.750000,34.230000,34.689999,26.102699,5142100
2010-02-19,34.650002,34.950001,34.520000,34.860001,26.230618,4701500
2010-02-22,35.299999,35.310001,34.709999,34.750000,26.147858,5983800
2010-02-23,34.619999,34.810001,34.040001,34.759998,26.155371,7834900
2010-02-24,34.959999,35.580002,34.599998,35.500000,26.712189,7894500
2010-02-25,35.240002,36.130001,34.959999,36.020000,27.103460,11441400
2010-02-26,35.950001,36.070000,35.180000,35.240002,26.516541,7104100
2010-03-01,35.230000,35.450001,34.869999,35.419998,26.651991,6868000
2010-03-02,35.500000,35.770000,35.200001,35.240002,26.516541,8807600
2010-03-03,35.150002,35.970001,35.020000,35.360001,26.606846,10597300
2010-03-04,35.410000,35.580002,34.930000,35.000000,26.335955,8401500
2010-03-05,35.160000,35.259998,34.930000,34.990002,26.328428,7074800
2010-03-08,35.110001,35.139999,34.610001,34.740002,26.140322,7873600
