Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,113.269997,114.360001,113.080002,113.809998,81.399338,761100
2011-01-04,114.089996,114.589996,111.010002,111.680000,79.875938,802200
2011-01-05,111.330002,112.290001,111.040001,111.989998,80.097656,537900
2011-01-06,111.989998,112.220001,110.260002,110.709999,79.182152,527600
2011-01-07,111.019997,111.519997,109.010002,109.510002,78.323906,515100
2011-01-10,109.070000,109.889999,108.260002,109.209999,78.109337,566200
2011-01-11,109.120003,110.050003,108.209999,109.160004,78.073563,472700
2011-01-12,110.900002,112.110001,110.279999,111.169998,79.511169,678700
2011-01-13,111.160004,111.500000,110.300003,111.449997,79.711418,511200
2011-01-14,111.440002,112.599998,111.230003,112.500000,80.462402,619600
2011-01-18,112.669998,113.459999,111.500000,113.269997,81.013115,519000
2011-01-19,112.989998,113.379997,112.129997,112.470001,80.440933,799400
2011-01-20,112.370003,113.230003,111.309998,112.230003,80.269302,784300
2011-01-21,112.779999,113.160004,111.889999,112.830002,80.698425,534400
2011-01-24,112.949997,113.820000,112.309998,113.059998,80.862938,452200
2011-01-25,111.959999,114.690002,111.959999,114.650002,82.000137,687200
2011-01-26,114.760002,115.650002,113.510002,115.540001,82.636673,633500
2011-01-27,116.019997,116.830002,115.059998,116.169998,83.087265,620900
2011-01-28,116.349998,116.809998,113.430000,113.779999,81.377892,513300
2011-01-31,114.300003,116.349998,114.269997,115.930000,82.915634,639100
2011-02-01,116.580002,116.839996,113.879997,115.529999,82.629517,592500
2011-02-02,115.209999,116.309998,114.440002,114.650002,82.000137,537400
2011-02-03,114.820000,116.989998,114.690002,115.459999,82.579468,804400
2011-02-04,115.139999,115.500000,112.919998,113.800003,81.392189,797300
2011-02-07,114.019997,115.040001,113.790001,114.750000,82.071655,557000
2011-02-08,114.639999,114.980003,114.269997,114.750000,82.071655,553600
2011-02-09,114.750000,115.169998,114.089996,115.050003,82.286224,457500
2011-02-10,114.529999,115.800003,114.269997,115.410004,82.543701,467900
2011-02-11,115.080002,116.220001,113.949997,116.000000,82.965675,501900
2011-02-14,115.779999,116.500000,115.050003,116.089996,83.030045,386700
2011-02-15,114.860001,116.500000,114.860001,116.080002,83.022903,372000
2011-02-16,116.250000,117.370003,115.129997,115.830002,82.844101,452800
2011-02-17,116.360001,116.650002,115.370003,115.690002,82.743958,376500
2011-02-18,115.900002,116.720001,115.500000,116.070000,83.015762,443500
2011-02-22,115.070000,116.699997,114.910004,115.129997,82.343452,612400
2011-02-23,115.360001,115.959999,113.970001,114.709999,82.043053,772700
2011-02-24,114.430000,115.230003,113.470001,114.690002,82.028732,1204000
2011-02-25,115.379997,118.110001,115.139999,118.110001,84.474792,1232500
2011-02-28,118.410004,121.360001,117.820000,121.029999,86.563255,1083700
2011-03-01,121.110001,121.650002,116.949997,117.099998,83.752419,915600
2011-03-02,117.099998,117.120003,115.010002,115.480003,82.593758,851000
2011-03-03,116.620003,117.570000,116.199997,117.440002,83.995590,678400
2011-03-04,117.339996,118.430000,114.839996,115.029999,82.271904,1213400
2011-03-07,115.730003,115.900002,113.169998,113.860001,81.435097,867200
2011-03-08,114.449997,115.849998,114.279999,114.970001,82.228996,744100
2011-03-09,114.940002,116.680000,114.160004,116.419998,83.266060,798600
2011-03-10,115.029999,115.949997,114.559998,115.239998,82.422112,696000
2011-03-11,114.839996,117.790001,114.459999,117.650002,84.145790,706300
2011-03-14,116.720001,117.320000,115.500000,115.910004,82.901329,494300
2011-03-15,113.330002,117.360001,113.000000,116.080002,83.022903,784900
2011-03-16,116.129997,116.129997,114.360001,115.370003,82.515099,943600
2011-03-17,116.940002,117.199997,115.269997,116.980003,83.666611,710000
2011-03-18,118.279999,118.570000,117.059998,117.449997,84.002739,910000
2011-03-21,118.769997,118.919998,117.720001,118.089996,84.460487,618000
2011-03-22,118.199997,118.650002,116.739998,117.209999,83.831100,537400
2011-03-23,116.559998,116.959999,114.360001,115.839996,82.851242,900200
2011-03-24,116.330002,116.959999,114.970001,116.940002,83.637962,721700
2011-03-25,116.980003,117.980003,116.519997,117.400002,83.966957,338500
2011-03-28,117.680000,118.089996,116.849998,117.650002,84.145790,513300
2011-03-29,117.300003,118.419998,116.239998,118.089996,84.460487,430000
2011-03-30,118.050003,118.300003,117.059998,118.199997,85.183342,525700
2011-03-31,117.970001,120.330002,117.970001,120.080002,86.538177,621400
2011-04-01,120.849998,121.389999,120.029999,120.860001,87.100311,595000
2011-04-04,120.959999,121.150002,119.199997,119.750000,86.300362,550100
2011-04-05,119.580002,120.849998,119.290001,119.959999,86.451706,380800
2011-04-06,120.349998,120.389999,119.599998,120.099998,86.552597,378900
2011-04-07,119.739998,120.180000,118.910004,119.300003,85.976074,599900
2011-04-08,119.910004,120.000000,117.570000,118.010002,85.046410,623300
2011-04-11,118.379997,119.559998,118.209999,118.419998,85.341873,468100
2011-04-12,117.959999,118.830002,117.830002,118.400002,85.327461,478800
2011-04-13,119.730003,119.730003,118.529999,119.000000,85.759850,639500
2011-04-14,118.580002,119.849998,118.400002,119.449997,86.084152,1525700
2011-04-15,119.839996,121.309998,119.730003,121.099998,87.273277,1082400
2011-04-18,119.669998,120.139999,118.820000,119.349998,86.012093,729900
2011-04-19,119.410004,120.150002,118.919998,119.879997,86.394081,544700
2011-04-20,121.330002,122.519997,120.120003,122.220001,88.080429,491100
2011-04-21,122.309998,123.190002,121.430000,122.989998,88.635338,399500
2011-04-25,122.970001,125.370003,122.510002,124.750000,89.903717,567000
2011-04-26,125.199997,126.360001,124.570000,125.839996,90.689247,489100
2011-04-27,125.500000,126.699997,125.269997,126.629997,91.258598,459300
2011-04-28,126.599998,130.000000,126.029999,128.470001,92.584618,1064600
2011-04-29,128.759995,128.990005,126.400002,126.610001,91.244186,956000
2011-05-02,127.790001,128.210007,125.690002,127.180000,91.654976,771200
2011-05-03,127.000000,128.240005,125.430000,127.070000,91.575684,625300
2011-05-04,126.940002,127.849998,126.300003,126.980003,91.510811,718700
2011-05-05,126.959999,129.080002,126.169998,127.800003,92.101776,639000
2011-05-06,129.139999,129.139999,125.459999,126.089996,90.869423,628200
2011-05-09,126.160004,127.230003,125.290001,126.699997,91.309052,410600
2011-05-10,127.089996,129.119995,127.059998,128.940002,92.923325,508500
2011-05-11,129.139999,129.139999,127.620003,128.270004,92.440506,761800
2011-05-12,127.529999,127.800003,126.360001,127.550003,91.921608,579000
2011-05-13,127.830002,127.830002,126.430000,126.930000,91.474800,621100
2011-05-16,126.730003,128.210007,126.199997,127.050003,91.561272,396300
2011-05-17,126.739998,127.680000,126.269997,127.680000,92.015289,514600
2011-05-18,127.660004,128.339996,126.680000,128.000000,92.245888,369100
2011-05-19,128.350006,129.350006,127.839996,129.059998,93.009804,359700
2011-05-20,129.000000,129.240005,127.099998,127.099998,91.597282,621100
2011-05-23,125.610001,126.559998,124.919998,125.000000,90.083885,767300
2011-05-24,126.089996,127.059998,125.099998,126.860001,91.424355,776100
2011-05-25,126.559998,128.080002,125.419998,127.430000,91.835121,388800
2011-05-26,126.830002,129.850006,126.639999,129.470001,93.305313,555400
2011-05-27,129.929993,130.000000,128.580002,130.000000,93.687271,408300
2011-05-31,130.550003,133.100006,129.880005,133.070007,95.899734,1239400
2011-06-01,132.460007,132.720001,129.669998,129.720001,93.485466,813400
2011-06-02,129.979996,131.100006,128.559998,128.759995,92.793617,736900
2011-06-03,127.779999,131.830002,127.510002,131.240005,94.580894,839100
2011-06-06,130.580002,131.270004,129.729996,129.970001,93.665619,806400
2011-06-07,130.990005,133.839996,130.809998,132.279999,95.330383,1010600
2011-06-08,131.899994,133.509995,131.539993,132.619995,95.575394,887600
2011-06-09,132.770004,132.880005,131.009995,132.630005,95.582619,883700
2011-06-10,132.139999,132.539993,129.820007,130.000000,93.687271,981300
2011-06-13,130.639999,131.520004,130.029999,131.000000,94.407921,992300
2011-06-14,131.759995,132.710007,131.279999,132.660004,95.604225,1047400
2011-06-15,131.559998,132.000000,129.429993,130.300003,93.903450,981200
2011-06-16,130.300003,130.600006,127.000000,128.729996,92.772011,1565300
2011-06-17,129.850006,130.119995,128.339996,129.080002,93.024231,1332400
2011-06-20,128.919998,132.179993,128.919998,131.740005,94.941193,896900
2011-06-21,132.000000,132.779999,130.979996,131.770004,94.962814,686000
2011-06-22,131.360001,132.960007,131.229996,131.490005,94.761063,878800
2011-06-23,129.910004,130.000000,126.449997,127.610001,91.964836,1524800
2011-06-24,127.720001,128.889999,126.739998,127.500000,91.885590,1191000
2011-06-27,127.820000,128.169998,127.089996,127.559998,91.928802,739900
2011-06-28,127.669998,128.130005,126.419998,127.349998,92.424500,833800
2011-06-29,128.000000,128.350006,127.129997,127.849998,92.787369,920100
2011-06-30,128.339996,128.970001,127.750000,128.399994,93.186546,1006000
2011-07-01,128.809998,132.899994,128.419998,132.559998,96.205650,857400
2011-07-05,132.240005,134.550003,131.789993,134.389999,97.533783,716000
2011-07-06,133.490005,135.589996,132.910004,135.539993,98.368416,746300
2011-07-07,136.000000,137.850006,135.830002,137.539993,99.819901,949300
2011-07-08,136.139999,137.460007,135.289993,137.330002,99.667511,795000
2011-07-11,135.770004,136.320007,134.240005,134.509995,97.620865,798900
2011-07-12,134.199997,137.229996,133.990005,134.880005,97.889420,1258700
2011-07-13,135.759995,135.759995,132.000000,132.130005,95.893585,1756900
2011-07-14,132.860001,132.919998,130.470001,130.910004,95.008156,879200
2011-07-15,131.429993,132.949997,130.720001,132.710007,96.314537,710300
2011-07-18,132.259995,132.539993,130.929993,132.300003,96.016968,642400
2011-07-19,133.190002,135.389999,132.509995,135.389999,98.259529,655200
2011-07-20,135.470001,137.729996,134.750000,137.710007,99.943314,755100
2011-07-21,138.320007,139.910004,137.839996,139.029999,100.901283,807100
2011-07-22,139.020004,139.559998,138.210007,139.509995,101.249641,552700
2011-07-25,137.449997,138.949997,137.179993,138.009995,100.161034,574900
2011-07-26,138.000000,138.350006,137.220001,137.619995,99.877983,540100
2011-07-27,137.270004,137.669998,134.300003,134.360001,97.512024,760900
2011-07-28,131.149994,134.779999,131.009995,132.979996,96.510475,866100
2011-07-29,132.350006,134.710007,130.910004,134.190002,97.388649,1132000
2011-08-01,135.710007,135.789993,132.240005,132.839996,96.408890,1070600
2011-08-02,132.360001,133.570007,129.169998,129.389999,93.905037,880200
2011-08-03,129.699997,129.970001,125.059998,128.300003,93.113968,1219900
2011-08-04,126.800003,127.860001,123.580002,123.650002,89.739220,1590900
2011-08-05,125.139999,125.139999,120.500000,121.459999,88.149811,1518200
2011-08-08,119.320000,121.010002,115.910004,116.349998,84.441223,2997700
2011-08-09,118.269997,125.709999,117.400002,125.570000,91.132675,3101200
2011-08-10,122.629997,131.679993,122.589996,125.669998,91.205246,3243400
2011-08-11,126.300003,133.309998,125.540001,131.089996,95.138809,1550700
2011-08-12,132.240005,134.139999,128.770004,129.300003,93.839699,1057200
2011-08-15,130.160004,132.789993,129.979996,132.399994,96.089539,1331500
2011-08-16,131.149994,133.949997,130.229996,132.889999,96.445137,1078400
2011-08-17,133.619995,135.220001,132.410004,133.500000,96.887871,732900
2011-08-18,125.779999,128.580002,125.260002,128.179993,93.026863,5223300
2011-08-19,127.820000,128.729996,124.949997,125.500000,91.081841,1934600
2011-08-22,127.820000,128.000000,124.589996,126.570000,91.858421,1342500
2011-08-23,126.650002,128.949997,125.629997,128.880005,93.534889,990300
2011-08-24,128.429993,131.240005,127.400002,131.070007,95.124290,1170300
2011-08-25,132.080002,133.809998,127.230003,128.649994,93.367966,1027300
2011-08-26,127.730003,130.600006,124.620003,130.589996,94.775909,915300
2011-08-29,132.039993,133.800003,131.589996,133.690002,97.025780,895800
2011-08-30,134.130005,135.610001,131.169998,134.800003,97.831352,925800
2011-08-31,136.169998,136.949997,134.600006,136.380005,98.978043,1601800
2011-09-01,136.419998,136.660004,134.000000,134.559998,97.657158,1255100
2011-09-02,131.589996,135.199997,130.600006,134.360001,97.512024,1293200
2011-09-06,130.649994,135.259995,130.649994,133.320007,96.757240,1679000
2011-09-07,134.220001,136.690002,132.309998,136.440002,99.021614,1305900
2011-09-08,135.990005,137.929993,135.130005,136.639999,99.166771,851200
2011-09-09,135.020004,136.119995,131.740005,132.320007,96.031502,893000
2011-09-12,130.679993,133.740005,130.679993,133.720001,97.047539,892300
2011-09-13,134.500000,134.710007,131.990005,133.259995,96.713699,928300
2011-09-14,133.770004,133.889999,129.529999,130.399994,94.638031,1736900
2011-09-15,131.229996,131.539993,129.149994,130.139999,94.449348,1138700
2011-09-16,130.639999,131.240005,127.660004,130.179993,94.478355,1888000
2011-09-19,128.300003,128.339996,126.220001,126.290001,91.655190,1470100
2011-09-20,127.000000,127.709999,125.839996,126.120003,91.531830,739500
2011-09-21,125.309998,126.760002,118.529999,118.750000,86.183044,2283800
2011-09-22,115.669998,117.620003,113.250000,115.279999,83.664665,2295900
2011-09-23,114.510002,117.550003,114.269997,117.349998,85.166977,1278300
2011-09-26,118.400002,118.760002,116.290001,118.529999,86.023361,1080300
2011-09-27,120.650002,121.519997,119.540001,120.250000,87.271652,1616200
2011-09-28,118.889999,120.480003,116.709999,117.059998,85.592140,1311400
2011-09-29,119.300003,119.320000,116.610001,118.400002,86.571922,793300
2011-09-30,116.839996,118.440002,114.010002,114.050003,83.391289,1034600
2011-10-03,114.300003,116.690002,110.739998,110.779999,81.000305,1384800
2011-10-04,109.400002,117.410004,107.540001,116.989998,85.540947,1300000
2011-10-05,116.669998,116.800003,110.000000,115.550003,84.488052,1174300
2011-10-06,114.879997,118.949997,114.190002,118.860001,86.908249,1046600
2011-10-07,120.080002,120.550003,115.739998,115.970001,84.795158,1118000
2011-10-10,117.949997,121.220001,117.720001,121.099998,88.546112,1159900
2011-10-11,122.070000,122.070000,117.779999,118.500000,86.645058,766600
2011-10-12,119.320000,121.980003,118.220001,120.110001,87.822243,940800
2011-10-13,119.430000,120.250000,117.330002,119.129997,87.105690,678100
2011-10-14,120.830002,122.230003,119.940002,121.830002,89.079865,663100
2011-10-17,120.309998,120.660004,116.910004,117.220001,85.709137,992200
2011-10-18,117.459999,121.050003,116.860001,120.730003,88.275566,1219600
2011-10-19,120.199997,122.400002,120.040001,120.830002,88.348709,974900
2011-10-20,121.169998,121.690002,118.339996,120.489998,88.100075,912300
2011-10-21,121.720001,124.500000,121.239998,124.449997,90.995552,864000
2011-10-24,124.610001,128.059998,124.099998,127.099998,92.933197,820100
2011-10-25,126.019997,128.119995,124.809998,127.029999,92.882011,1292900
2011-10-26,128.259995,128.429993,125.510002,128.039993,93.620491,1074400
2011-10-27,130.610001,136.399994,130.279999,135.639999,99.177475,1199100
2011-10-28,134.399994,135.410004,130.940002,133.089996,97.312981,930900
2011-10-31,132.190002,134.490005,129.619995,133.690002,97.751709,1071900
2011-11-01,126.050003,130.270004,125.139999,125.430000,91.712112,1790100
2011-11-02,128.179993,129.399994,126.269997,128.970001,94.300522,862200
2011-11-03,129.710007,129.710007,125.099998,129.039993,94.351669,1022900
2011-11-04,127.180000,130.419998,126.769997,130.320007,95.287613,1228400
2011-11-07,130.360001,132.229996,128.270004,130.300003,95.272964,573700
2011-11-08,130.940002,131.429993,127.070000,131.250000,95.967598,724700
2011-11-09,127.949997,129.220001,124.480003,124.919998,91.339211,799200
2011-11-10,127.010002,127.010002,124.379997,125.129997,91.492767,608500
2011-11-11,126.589996,129.509995,125.870003,129.320007,94.556427,474700
2011-11-14,128.229996,128.690002,126.430000,126.690002,92.633408,493900
2011-11-15,126.320000,128.750000,126.000000,127.930000,93.540085,531500
2011-11-16,127.239998,127.919998,125.540001,125.650002,91.872978,755800
2011-11-17,125.400002,125.400002,121.570000,122.290001,89.416229,975900
2011-11-18,123.260002,123.360001,121.389999,123.239998,90.110840,743700
2011-11-21,121.190002,121.669998,119.000000,120.660004,88.224396,884300
2011-11-22,120.610001,121.639999,119.379997,119.449997,87.339653,469100
2011-11-23,118.519997,119.029999,116.580002,116.949997,85.511688,747400
2011-11-25,116.760002,120.269997,116.250000,118.099998,86.352562,264300
2011-11-28,121.800003,122.389999,118.120003,119.419998,87.317749,812600
2011-11-29,119.959999,120.349998,117.970001,118.809998,86.871704,528400
2011-11-30,122.080002,125.089996,120.949997,124.849998,91.288040,1125800
2011-12-01,124.400002,124.760002,122.129997,123.889999,90.586128,717200
2011-12-02,125.239998,126.540001,123.660004,124.010002,90.673843,483200
2011-12-05,125.760002,125.760002,122.339996,123.059998,89.979225,814000
2011-12-06,122.970001,123.220001,121.730003,122.580002,89.628250,351300
2011-12-07,122.059998,125.040001,121.629997,124.750000,91.214897,442000
2011-12-08,124.129997,124.629997,121.599998,121.959999,89.174927,447000
2011-12-09,122.430000,126.680000,121.599998,125.639999,91.865677,720200
2011-12-12,124.559998,124.559998,122.260002,123.070000,89.986534,768100
2011-12-13,123.570000,125.120003,121.930000,122.720001,89.730644,472400
2011-12-14,122.000000,126.690002,122.000000,125.250000,91.580505,832600
2011-12-15,126.629997,128.940002,125.900002,128.490005,93.949547,784900
2011-12-16,129.360001,131.550003,128.520004,128.960007,94.293190,1121500
2011-12-19,129.419998,129.429993,126.870003,127.070000,92.911263,882400
