Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,52.910000,54.160000,52.549999,52.730000,45.334995,548700
2012-01-04,52.680000,53.720001,52.270000,53.500000,45.997005,402800
2012-01-05,52.779999,53.759998,52.320000,53.580002,46.065788,618800
2012-01-06,53.680000,54.410000,53.250000,53.470001,45.971210,710800
2012-01-09,53.730000,53.910000,52.669998,53.430000,45.936836,465600
2012-01-10,54.349998,55.470001,54.279999,55.090000,47.364029,592100
2012-01-11,54.799999,55.619999,54.520000,55.369999,47.604763,297400
2012-01-12,55.700001,57.700001,55.180000,57.490002,49.427437,773300
2012-01-13,56.950001,56.990002,55.709999,56.799999,48.834202,404000
2012-01-17,57.970001,58.450001,57.119999,57.340000,49.298481,525600
2012-01-18,57.000000,58.520000,56.910000,58.509998,50.304398,729700
2012-01-19,58.630001,61.230000,58.619999,60.090000,51.662811,1048200
2012-01-20,60.000000,60.099998,59.490002,59.639999,51.275925,883500
2012-01-23,59.770000,61.049999,59.549999,60.090000,51.662811,756300
2012-01-24,60.009998,63.480000,58.400002,62.660000,53.872375,1455100
2012-01-25,62.700001,62.810001,61.439999,62.090000,53.382328,895100
2012-01-26,62.700001,63.889999,62.660000,63.020000,54.181896,919900
2012-01-27,63.070000,64.000000,62.950001,63.250000,54.379646,728200
2012-01-30,62.700001,64.050003,62.540001,63.419998,54.525799,661200
2012-01-31,63.790001,64.459999,63.130001,64.309998,55.290977,835400
2012-02-01,65.160004,66.599998,65.000000,66.400002,57.087887,930700
2012-02-02,66.620003,66.620003,65.570000,65.669998,56.460243,684900
2012-02-03,66.809998,67.760002,66.510002,66.989998,57.595127,768700
2012-02-06,66.440002,67.550003,66.000000,67.500000,58.033600,540500
2012-02-07,67.449997,67.849998,66.559998,66.900002,57.517746,769900
2012-02-08,67.129997,67.879997,66.339996,66.730003,57.371597,356600
2012-02-09,66.919998,68.510002,65.660004,66.510002,57.182476,580600
2012-02-10,65.459999,66.000000,64.580002,65.230003,56.081970,889300
2012-02-13,65.809998,66.540001,65.639999,66.139999,56.864330,509200
2012-02-14,65.769997,66.010002,64.459999,65.250000,56.099159,948100
2012-02-15,65.599998,65.839996,64.199997,64.709999,55.634876,1422500
2012-02-16,64.790001,66.459999,64.660004,66.379997,57.070667,512900
2012-02-17,66.690002,67.000000,66.089996,66.279999,56.984699,404000
2012-02-21,66.519997,66.620003,65.290001,65.769997,56.546234,342500
2012-02-22,65.989998,66.610001,65.290001,66.190002,56.907337,417500
2012-02-23,66.080002,66.839996,65.860001,66.580002,57.242634,414200
2012-02-24,66.540001,67.050003,66.029999,66.139999,56.864330,442500
2012-02-27,65.500000,67.339996,65.040001,66.889999,57.509171,475700
2012-02-28,66.879997,67.540001,66.339996,66.730003,57.371597,284600
2012-02-29,66.889999,67.620003,66.410004,66.519997,57.191044,728100
2012-03-01,66.949997,68.260002,66.669998,67.699997,58.205551,445200
2012-03-02,67.449997,67.919998,65.650002,65.919998,56.675186,652200
2012-03-05,65.239998,65.260002,61.779999,62.400002,53.648849,1142000
2012-03-06,63.380001,63.380001,59.410000,60.049999,51.628426,1018900
2012-03-07,60.110001,61.820000,60.090000,61.500000,52.875069,872000
2012-03-08,62.389999,63.180000,62.029999,62.930000,54.104519,426300
2012-03-09,62.939999,63.599998,62.570000,63.049999,54.207687,347300
2012-03-12,62.990002,63.040001,62.330002,62.750000,53.949760,344300
2012-03-13,62.820000,63.660000,62.419998,63.660000,54.907150,794200
2012-03-14,63.650002,64.000000,63.369999,63.910000,55.122776,550200
2012-03-15,64.000000,64.669998,63.840000,64.599998,55.717903,671700
2012-03-16,64.790001,64.989998,64.029999,64.370003,55.519524,650100
2012-03-19,64.180000,64.949997,63.540001,64.379997,55.528156,359900
2012-03-20,63.880001,64.250000,63.180000,64.019997,55.217644,432700
2012-03-21,64.250000,64.769997,63.950001,64.279999,55.441898,470400
2012-03-22,63.590000,63.959999,62.930000,63.430000,54.708763,488300
2012-03-23,63.529999,63.549999,62.330002,62.669998,54.053261,696900
2012-03-26,63.279999,64.389999,63.270000,64.389999,55.536781,409300
