Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,5.750000,5.890000,5.740000,5.800000,5.042953,246293200
2012-01-04,5.710000,5.880000,5.620000,5.810000,5.051646,243711200
2012-01-05,5.750000,6.350000,5.710000,6.310000,5.486386,547780000
2012-01-06,6.210000,6.300000,6.060000,6.180000,5.373354,299630600
2012-01-09,6.260000,6.370000,6.190000,6.270000,5.451605,240614400
2012-01-10,6.440000,6.660000,6.440000,6.630000,5.764618,354292100
2012-01-11,6.600000,6.900000,6.520000,6.870000,5.973292,354039600
2012-01-12,6.990000,7.020000,6.660000,6.790000,5.903734,362099600
2012-01-13,6.490000,6.690000,6.410000,6.610000,5.747228,337048400
2012-01-17,6.630000,6.820000,6.440000,6.480000,5.634195,294196500
2012-01-18,6.500000,6.800000,6.460000,6.800000,5.912428,302497700
2012-01-19,7.210000,7.290000,6.750000,6.960000,6.051543,491008100
2012-01-20,6.950000,7.080000,6.830000,7.070000,6.147186,236630700
2012-01-23,7.130000,7.370000,7.110000,7.250000,6.303692,339942200
2012-01-24,7.110000,7.350000,7.060000,7.290000,6.338470,228810300
2012-01-25,7.200000,7.370000,7.150000,7.350000,6.390640,249340100
2012-01-26,7.450000,7.500000,7.230000,7.300000,6.347164,265938800
2012-01-27,7.210000,7.350000,7.200000,7.290000,6.338470,230914000
2012-01-30,7.130000,7.150000,7.020000,7.070000,6.147186,231240100
2012-01-31,7.170000,7.190000,7.050000,7.130000,6.199354,212736300
2012-02-01,7.250000,7.440000,7.210000,7.360000,6.399333,318811000
2012-02-02,7.430000,7.490000,7.330000,7.450000,6.477585,232425400
2012-02-03,7.660000,7.890000,7.630000,7.840000,6.816681,364195700
2012-02-06,7.790000,7.970000,7.770000,7.970000,6.929713,236316000
2012-02-07,7.950000,7.990000,7.800000,7.850000,6.825377,253694200
2012-02-08,7.960000,8.150000,7.930000,8.130000,7.068829,436439700
2012-02-09,8.310000,8.350000,8.100000,8.180000,7.112304,480206700
2012-02-10,8.050000,8.120000,7.980000,8.070000,7.016661,254420800
2012-02-13,8.270000,8.310000,8.210000,8.250000,7.173166,308490200
2012-02-14,8.150000,8.170000,7.950000,7.980000,6.938406,384682800
2012-02-15,8.010000,8.120000,7.770000,7.780000,6.764513,372981400
2012-02-16,7.710000,8.130000,7.660000,8.090000,7.034050,337131800
2012-02-17,8.040000,8.080000,7.920000,8.020000,6.973187,355445600
2012-02-21,8.030000,8.200000,8.000000,8.110000,7.051441,333407700
2012-02-22,8.060000,8.130000,7.950000,7.950000,6.912324,228867800
2012-02-23,7.970000,8.050000,7.900000,8.020000,6.973187,144231800
2012-02-24,8.050000,8.090000,7.880000,7.880000,6.851460,163128200
2012-02-27,7.790000,8.050000,7.670000,8.040000,6.990575,298930800
2012-02-28,8.050000,8.150000,8.000000,8.120000,7.060133,193443200
2012-02-29,8.160000,8.240000,7.970000,7.970000,6.938258,266720500
2012-03-01,8.090000,8.170000,8.050000,8.120000,7.068840,197850100
2012-03-02,8.110000,8.210000,8.100000,8.130000,7.077547,143887500
2012-03-05,8.090000,8.130000,7.950000,7.970000,6.938258,196328300
2012-03-06,7.780000,7.790000,7.660000,7.710000,6.711916,262871200
2012-03-07,7.810000,8.020000,7.770000,8.020000,6.981786,328331900
2012-03-08,8.070000,8.120000,8.000000,8.060000,7.016607,160282000
2012-03-09,8.120000,8.190000,8.010000,8.050000,7.007903,195281400
2012-03-12,8.010000,8.060000,7.910000,7.990000,6.955668,165298900
2012-03-13,8.070000,8.500000,8.050000,8.490000,7.390944,385984100
2012-03-14,8.660000,8.900000,8.560000,8.840000,7.695633,488077000
2012-03-15,8.980000,9.250000,8.850000,9.240000,8.043851,489593000
2012-03-16,9.410000,9.800000,9.330000,9.800000,8.531362,582294100
2012-03-19,9.780000,10.100000,9.510000,9.530000,8.296312,669479900
2012-03-20,9.630000,9.970000,9.590000,9.810000,8.540068,451213900
2012-03-21,9.960000,10.030000,9.740000,9.820000,8.548768,326573800
2012-03-22,9.660000,9.770000,9.520000,9.600000,8.357249,264520500
2012-03-23,9.470000,9.850000,9.400000,9.850000,8.574887,283110900
2012-03-26,10.010000,10.040000,9.850000,9.930000,8.644529,241605700
2012-03-27,9.870000,9.900000,9.580000,9.600000,8.357249,250069600
2012-03-28,9.620000,9.780000,9.580000,9.750000,8.487832,234021500
2012-03-29,9.630000,9.680000,9.430000,9.530000,8.296312,253625800
2012-03-30,9.610000,9.640000,9.350000,9.570000,8.331134,250234500
2012-04-02,9.540000,9.780000,9.410000,9.680000,8.426892,179229000
2012-04-03,9.670000,9.670000,9.410000,9.490000,8.261489,190453400
2012-04-04,9.350000,9.360000,9.150000,9.200000,8.009030,228560600
2012-04-05,9.140000,9.400000,9.110000,9.230000,8.035146,180868100
2012-04-09,9.040000,9.040000,8.830000,8.930000,7.773985,211427600
2012-04-10,8.970000,9.090000,8.500000,8.540000,7.434468,377220000
2012-04-11,8.780000,8.910000,8.720000,8.860000,7.713047,252563700
2012-04-12,8.930000,9.180000,8.910000,9.170000,7.982917,223979900
2012-04-13,9.080000,9.080000,8.680000,8.680000,7.556347,282354600
2012-04-16,8.870000,8.930000,8.620000,8.790000,7.652106,217284500
