Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,35.169998,35.840000,35.130001,35.820000,31.794031,2879900
2013-01-03,35.860001,35.919998,35.520000,35.570000,31.572145,1634300
2013-01-04,35.669998,36.020000,35.509998,35.980000,31.936062,1519700
2013-01-07,35.750000,35.950001,35.480000,35.799999,31.776289,1510200
2013-01-08,35.680000,35.770000,35.509998,35.680000,31.669783,1156100
2013-01-09,35.820000,36.049999,35.669998,36.020000,31.971563,1275400
2013-01-10,36.110001,36.540001,35.840000,36.540001,32.433121,2171800
2013-01-11,36.630001,37.360001,36.560001,37.000000,32.841423,2055400
2013-01-14,36.880001,37.290001,36.779999,37.189999,33.010059,1832100
2013-01-15,36.880001,36.910000,36.180000,36.759998,32.628380,2906600
2013-01-16,36.630001,37.029999,36.540001,37.000000,32.841423,2182100
2013-01-17,37.090000,37.250000,36.950001,37.049999,32.885788,2086500
2013-01-18,37.180000,37.240002,36.820000,37.060001,32.894676,1935800
2013-01-22,37.000000,37.770000,36.939999,37.680000,33.444981,2578900
2013-01-23,37.779999,37.930000,37.540001,37.709999,33.471622,3572300
2013-01-24,37.720001,37.820000,37.189999,37.230000,33.045563,1352500
2013-01-25,37.279999,37.389999,37.090000,37.200001,33.018948,1239300
2013-01-28,37.189999,37.310001,36.770000,36.840000,32.699390,1368900
2013-01-29,36.799999,36.959999,36.470001,36.900002,32.752647,1267700
2013-01-30,36.900002,37.220001,36.790001,37.169998,32.992306,1730800
2013-01-31,37.220001,37.349998,36.790001,37.110001,32.939049,1250600
2013-02-01,37.310001,37.750000,37.270000,37.660000,33.427235,1512300
2013-02-04,37.419998,37.660000,36.939999,36.959999,32.805904,1547400
2013-02-05,37.180000,37.490002,37.090000,37.279999,33.089939,1199000
2013-02-06,37.160000,37.509998,36.970001,37.400002,33.196457,1650800
2013-02-07,37.310001,37.400002,36.959999,37.080002,32.912422,1560600
2013-02-08,37.209999,37.619999,37.150002,37.619999,33.391731,1285800
2013-02-11,37.529999,37.720001,37.340000,37.560001,33.338470,1134700
2013-02-12,36.040001,37.099998,35.209999,36.500000,32.397606,3131100
2013-02-13,36.630001,37.490002,36.599998,37.200001,33.018948,2232600
2013-02-14,37.060001,37.070000,36.560001,36.980000,32.823662,2472000
2013-02-15,36.900002,36.939999,36.400002,36.490002,32.388737,2522400
2013-02-19,36.500000,36.990002,36.360001,36.990002,32.832535,2953600
2013-02-20,36.970001,37.490002,36.919998,37.259998,33.072193,2389600
2013-02-21,37.130001,37.240002,36.310001,36.549999,32.441986,2740900
2013-02-22,36.560001,37.020000,36.009998,37.000000,32.841423,2180700
2013-02-25,37.070000,37.349998,36.720001,36.720001,32.592892,2393800
2013-02-26,36.830002,37.150002,36.590000,37.040001,32.876919,1937300
2013-02-27,37.099998,37.869999,36.990002,37.700001,33.462738,2099300
2013-02-28,37.700001,37.860001,37.459999,37.650002,33.418358,1848100
2013-03-01,37.459999,37.730000,36.869999,37.660000,33.427235,1426400
2013-03-04,37.549999,37.770000,37.340000,37.770000,33.524879,1044200
2013-03-05,37.889999,38.279999,37.820000,38.279999,33.977551,2044200
2013-03-06,38.389999,38.439999,38.139999,38.410000,34.092945,1231200
2013-03-07,37.500000,37.930000,37.049999,37.529999,33.311836,6178400
2013-03-08,37.720001,38.160000,37.520000,37.910000,33.649143,4262900
2013-03-11,37.910000,38.470001,37.689999,38.450001,34.128441,3797500
2013-03-12,38.290001,38.639999,38.139999,38.480000,34.155075,2050500
2013-03-13,38.349998,38.580002,38.160000,38.509998,34.378239,1459400
2013-03-14,38.570000,38.669998,38.430000,38.570000,34.431801,1724500
2013-03-15,38.490002,38.840000,38.139999,38.299999,34.190781,10380900
2013-03-18,37.939999,38.259998,37.610001,37.700001,33.655151,2464100
2013-03-19,37.849998,38.099998,37.610001,38.000000,33.922966,2090000
2013-03-20,38.310001,38.509998,38.099998,38.439999,34.315746,1556100
2013-03-21,38.169998,38.520000,38.169998,38.430000,34.306839,1930700
2013-03-22,38.500000,38.630001,38.200001,38.570000,34.431801,1016100
2013-03-25,38.750000,39.139999,38.380001,38.490002,34.360394,1119800
2013-03-26,38.660000,39.029999,38.580002,39.020000,34.833534,1882800
2013-03-27,38.700001,39.160000,38.700001,39.020000,34.833534,1148500
2013-03-28,39.090000,39.660000,38.970001,39.619999,35.369152,1972200
2013-04-01,39.709999,39.880001,39.490002,39.700001,35.440575,4006800
2013-04-02,39.759998,39.990002,39.700001,39.980000,35.690544,3014700
2013-04-03,40.049999,40.290001,39.689999,39.900002,35.619114,4949100
2013-04-04,39.889999,40.000000,39.580002,39.730000,35.467354,1895000
2013-04-05,39.340000,39.430000,38.849998,39.049999,34.860306,2039800
2013-04-08,38.990002,39.160000,38.880001,39.160000,34.958523,1155400
2013-04-09,39.270000,39.270000,38.910000,39.090000,34.896027,1520500
2013-04-10,39.250000,40.049999,39.150002,40.040001,35.744106,2642600
2013-04-11,40.119999,41.020000,39.939999,41.000000,36.601093,3823600
2013-04-12,40.439999,40.770000,40.259998,40.750000,36.377918,1944500
2013-04-15,40.580002,40.590000,40.110001,40.119999,35.815514,2922900
2013-04-16,40.349998,40.689999,39.959999,40.650002,36.288658,1801200
2013-04-17,40.430000,40.430000,39.669998,40.110001,35.806599,1465200
2013-04-18,40.160000,40.279999,39.709999,40.250000,35.931564,1558800
2013-04-19,40.480000,40.939999,40.270000,40.810001,36.431499,1953700
2013-04-22,40.860001,41.060001,40.320000,40.599998,36.244022,1283000
2013-04-23,40.779999,41.070000,40.549999,40.959999,36.565388,1467600
2013-04-24,41.000000,41.139999,40.779999,40.930000,36.538612,1398100
2013-04-25,41.080002,41.250000,40.959999,41.060001,36.654675,1232300
2013-04-26,40.990002,41.060001,40.720001,40.790001,36.413635,2152500
2013-04-29,40.840000,40.889999,40.470001,40.669998,36.306511,3682700
2013-04-30,42.000000,42.299999,40.560001,42.049999,37.538452,3956500
2013-05-01,41.930000,42.439999,41.840000,42.099998,37.583088,2415100
2013-05-02,42.090000,42.450001,42.070000,42.330002,37.788399,1842000
2013-05-03,42.500000,42.950001,42.430000,42.720001,38.136566,1546500
2013-05-06,42.810001,42.810001,42.419998,42.540001,37.975876,1011000
2013-05-07,42.549999,42.720001,42.330002,42.630001,38.056217,1149200
2013-05-08,42.630001,43.689999,42.520000,43.570000,38.895367,2633100
2013-05-09,43.430000,44.000000,43.369999,43.790001,39.091755,1903800
2013-05-10,43.810001,44.000000,43.590000,43.790001,39.091755,1146800
2013-05-13,43.650002,43.790001,43.570000,43.720001,39.029278,1522500
2013-05-14,43.740002,44.020000,43.650002,43.970001,39.252445,2316300
2013-05-15,43.910000,44.360001,43.900002,44.320000,39.564903,1485000
2013-05-16,44.299999,44.770000,44.290001,44.509998,39.734516,1586300
2013-05-17,44.540001,45.110001,44.509998,45.080002,40.243366,1475900
2013-05-20,45.049999,45.299999,44.919998,45.259998,40.404041,1790400
2013-05-21,45.290001,45.820000,45.200001,45.290001,40.430836,1347000
2013-05-22,45.340000,45.750000,44.980000,45.180000,40.332626,2104600
2013-05-23,44.910000,45.360001,44.849998,45.240002,40.386181,1642300
2013-05-24,44.990002,45.250000,44.560001,45.160000,40.314766,1090700
2013-05-28,45.450001,45.950001,45.369999,45.799999,40.886101,1532800
2013-05-29,45.459999,45.529999,44.939999,45.070000,40.234432,1565100
2013-05-30,45.130001,45.869999,45.090000,45.779999,40.868244,1109700
2013-05-31,45.580002,45.669998,44.880001,44.900002,40.082668,3218500
2013-06-03,44.889999,45.230000,44.410000,44.910000,40.091606,1775900
2013-06-04,44.900002,44.980000,44.000000,44.320000,39.564903,2073000
2013-06-05,44.230000,44.450001,43.340000,43.369999,38.716831,1791300
2013-06-06,43.310001,44.139999,43.029999,44.130001,39.395283,1638600
2013-06-07,44.360001,44.709999,44.240002,44.529999,39.752369,1431900
2013-06-10,44.580002,44.770000,44.330002,44.709999,39.913059,1323900
2013-06-11,44.259998,44.950001,44.070000,44.580002,39.797001,1604300
2013-06-12,44.570000,44.660000,43.810001,43.849998,39.339458,1449000
2013-06-13,43.849998,44.770000,43.599998,44.709999,40.111004,961400
2013-06-14,44.290001,44.470001,43.459999,43.639999,39.151054,1586700
2013-06-17,43.980000,44.470001,43.689999,44.020000,39.491970,1731900
2013-06-18,44.110001,44.330002,43.950001,44.330002,39.770088,1198700
2013-06-19,44.380001,44.520000,43.759998,43.770000,39.267689,919900
2013-06-20,43.430000,43.660000,42.549999,42.619999,38.235989,1497600
2013-06-21,42.869999,42.900002,42.160000,42.639999,38.253933,1900500
2013-06-24,42.369999,42.869999,42.090000,42.529999,38.155228,1949400
2013-06-25,42.910000,43.070000,42.430000,43.009998,38.585876,1538400
2013-06-26,43.410000,43.410000,42.770000,42.950001,38.532028,2113300
2013-06-27,43.110001,43.150002,42.889999,43.009998,38.585876,2139400
2013-06-28,42.680000,43.270000,42.680000,42.840000,38.433357,4006700
2013-07-01,43.139999,43.650002,43.080002,43.410000,38.944721,1378600
2013-07-02,43.450001,43.549999,42.730000,42.799999,38.397469,1873400
2013-07-03,42.720001,43.310001,42.610001,43.049999,38.621750,1421000
2013-07-05,43.419998,43.650002,43.130001,43.630001,39.142090,1156500
2013-07-08,44.000000,44.709999,43.950001,44.630001,40.039230,1547000
2013-07-09,44.810001,44.930000,44.279999,44.430000,39.859802,998800
2013-07-10,44.369999,44.919998,44.369999,44.860001,40.245567,1220300
2013-07-11,45.320000,45.430000,45.009998,45.349998,40.685162,1097900
2013-07-12,45.330002,45.430000,44.779999,45.060001,40.424995,943500
2013-07-15,44.990002,45.279999,44.790001,45.049999,40.416031,591500
2013-07-16,45.009998,45.189999,44.580002,44.700001,40.102028,754600
2013-07-17,44.790001,44.939999,44.529999,44.730000,40.128948,552300
2013-07-18,44.759998,45.070000,44.619999,44.709999,40.111004,626000
2013-07-19,44.869999,44.869999,44.320000,44.369999,39.805984,943200
2013-07-22,44.349998,44.480000,44.230000,44.290001,39.734200,1227100
2013-07-23,44.730000,44.759998,44.299999,44.540001,39.958477,1359500
2013-07-24,44.750000,44.830002,44.250000,44.320000,39.761131,873500
2013-07-25,44.349998,44.639999,44.099998,44.549999,39.967461,910700
2013-07-26,44.189999,44.349998,43.860001,44.349998,39.788029,800000
2013-07-29,44.200001,44.410000,44.130001,44.279999,39.725227,909800
2013-07-30,44.500000,44.549999,42.820000,43.060001,38.630707,2601200
2013-07-31,42.950001,43.349998,42.779999,43.160000,38.720436,2495200
2013-08-01,43.349998,44.900002,43.259998,44.849998,40.236595,2093100
2013-08-02,44.770000,45.419998,44.490002,45.330002,40.667221,1782500
2013-08-05,45.209999,45.630001,45.110001,45.520000,40.837673,1929200
2013-08-06,45.419998,46.259998,45.369999,45.939999,41.214478,1829100
2013-08-07,45.840000,46.560001,45.660000,46.419998,41.645100,1789400
2013-08-08,46.689999,46.980000,46.369999,46.529999,41.743790,1796200
2013-08-09,46.459999,47.169998,46.459999,46.950001,42.120594,1129800
2013-08-12,46.770000,47.730000,46.680000,47.410000,42.533272,2137200
2013-08-13,47.259998,47.360001,46.500000,46.980000,42.147511,2824800
2013-08-14,46.869999,47.200001,46.849998,46.959999,42.129562,988000
2013-08-15,46.560001,46.599998,45.930000,46.020000,41.286255,1565400
2013-08-16,46.000000,46.200001,45.910000,46.110001,41.367001,1612900
2013-08-19,46.000000,46.299999,45.790001,45.830002,41.115791,840700
2013-08-20,45.810001,46.049999,45.740002,45.820000,41.106823,1005600
2013-08-21,45.689999,45.950001,45.299999,45.570000,40.882542,1002100
2013-08-22,45.700001,45.900002,45.560001,45.799999,41.088875,649600
2013-08-23,45.939999,46.160000,45.599998,45.709999,41.008129,1224900
2013-08-26,45.669998,45.869999,45.380001,45.419998,40.747959,1338500
2013-08-27,45.029999,45.160000,44.500000,44.520000,39.940552,1008500
2013-08-28,44.549999,44.680000,44.310001,44.310001,39.752140,1085500
2013-08-29,44.200001,44.770000,44.060001,44.639999,40.048199,694200
2013-08-30,44.619999,44.830002,44.320000,44.459999,39.886715,1320900
2013-09-03,44.910000,45.180000,44.299999,44.509998,39.931576,1235500
2013-09-04,44.490002,44.730000,44.310001,44.520000,39.940552,1195800
2013-09-05,44.529999,44.779999,44.410000,44.610001,40.021290,1117100
2013-09-06,44.630001,45.360001,44.180000,45.110001,40.469849,1035800
2013-09-09,45.410000,45.680000,44.720001,44.939999,40.317341,1606100
2013-09-10,45.130001,45.919998,45.070000,45.910000,41.187553,1003000
2013-09-11,45.869999,46.090000,45.770000,45.840000,41.124763,929900
2013-09-12,45.680000,45.880001,45.360001,45.720001,41.214905,990300
2013-09-13,45.860001,46.040001,45.669998,45.959999,41.431255,972600
2013-09-16,46.410000,46.750000,46.330002,46.590000,41.999180,714200
2013-09-17,46.689999,46.950001,46.610001,46.849998,42.233562,750900
2013-09-18,46.990002,47.150002,46.520000,46.910000,42.287655,948600
2013-09-19,46.919998,47.299999,46.840000,47.130001,42.485966,756800
2013-09-20,47.160000,47.330002,46.810001,46.849998,42.233562,1323100
2013-09-23,46.650002,46.910000,46.349998,46.500000,41.918049,528200
2013-09-24,46.549999,47.130001,46.470001,46.830002,42.215538,914000
2013-09-25,46.820000,47.099998,46.410000,46.700001,42.098347,944500
2013-09-26,46.709999,47.000000,46.439999,46.630001,42.035240,1447900
2013-09-27,46.360001,46.630001,46.310001,46.540001,41.954121,802600
2013-09-30,46.259998,46.480000,46.000000,46.439999,41.863972,1070100
