Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,150.696136,151.204132,149.068680,150.329254,104.852180,1455000
2013-01-03,150.667923,151.006592,148.654755,149.125122,104.012344,1400300
2013-01-04,149.247406,149.774231,148.447784,149.190964,104.058243,1330200
2013-01-07,148.748825,150.413925,148.701782,150.253998,104.799721,953800
2013-01-08,150.329254,150.404510,148.974594,149.708374,104.419144,802300
2013-01-09,150.065857,150.602066,149.689560,150.442139,104.930916,735500
2013-01-10,150.630295,151.128876,149.567261,150.423325,104.917816,983500
2013-01-11,150.423325,150.771408,149.971771,150.498596,104.970314,806800
2013-01-14,150.489182,150.489182,149.576675,149.990585,104.615990,598600
2013-01-15,149.567261,150.940735,149.397934,150.696136,105.108070,1300700
2013-01-16,150.094070,150.799622,149.698959,150.253998,104.799721,1203700
2013-01-17,150.978363,150.978363,150.103485,150.423325,104.917816,742100
2013-01-18,150.244598,150.545624,149.416748,150.413925,104.911255,1555900
2013-01-22,150.395111,151.646286,150.169327,151.411102,105.606781,1003000
2013-01-23,151.072433,152.210724,150.630295,151.928497,105.967644,890000
2013-01-24,152.295395,152.841019,151.674500,152.549393,106.400734,903500
2013-01-25,152.841019,153.179688,151.947311,152.728134,106.525406,932100
2013-01-28,153.988708,153.988708,152.135468,153.066788,106.761581,888500
2013-01-29,152.812790,153.386642,152.417679,153.142044,106.814072,644000
2013-01-30,152.737534,153.170273,151.222961,151.815613,105.888931,922100
2013-01-31,151.665100,151.759171,150.667923,150.686737,105.101547,1369300
2013-02-01,151.740356,153.358414,150.959549,152.370651,106.276039,1225600
2013-02-04,151.646286,153.762939,151.646286,152.878647,106.630356,1296800
2013-02-05,153.847595,154.581375,151.937912,152.173096,106.138298,1734000
2013-02-06,151.326431,152.775162,151.241776,152.116653,106.098877,1212300
2013-02-07,152.304794,152.436493,151.260590,151.260590,105.501778,981200
2013-02-08,151.514587,153.160858,151.260590,153.113831,106.794365,1114700
2013-02-11,153.198502,153.819382,152.859833,153.809967,107.279938,920100
2013-02-12,152.803391,153.725311,151.655685,153.311386,107.737709,868400
2013-02-13,153.480713,153.650040,151.956726,152.445908,107.129501,754500
