Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,37.849998,38.070000,37.750000,38.060001,31.883923,1738900
2013-01-03,38.090000,38.200001,37.709999,37.840000,31.699615,1342600
2013-01-04,37.849998,37.919998,37.509998,37.639999,31.532070,1640100
2013-01-07,37.380001,37.520000,37.070000,37.189999,31.155087,1559000
2013-01-08,37.110001,37.240002,36.689999,36.880001,30.895401,1072400
2013-01-09,36.990002,37.209999,36.950001,37.110001,31.088085,1414700
2013-01-10,37.410000,37.410000,36.980000,37.200001,31.163464,1086500
2013-01-11,37.299999,38.040001,37.240002,37.900002,31.749876,1279900
2013-01-14,37.750000,37.919998,37.580002,37.820000,31.682858,1106000
2013-01-15,37.529999,38.029999,37.480000,38.009998,31.842031,1229900
2013-01-16,37.779999,38.040001,37.720001,38.000000,31.833668,1957200
2013-01-17,38.099998,38.680000,37.889999,38.540001,32.286015,1749600
2013-01-18,38.500000,38.740002,38.430000,38.720001,32.436825,1910400
2013-01-22,38.669998,39.070000,38.610001,39.060001,32.721645,2384900
2013-01-23,38.490002,39.869999,38.180000,39.389999,32.998093,4199900
2013-01-24,39.250000,39.849998,39.139999,39.299999,32.922703,2004000
2013-01-25,39.450001,39.759998,39.279999,39.470001,33.065121,1993600
2013-01-28,39.119999,39.660000,38.730000,39.139999,32.788662,2345100
2013-01-29,39.049999,39.169998,38.770000,38.950001,32.629494,1703800
2013-01-30,38.980000,39.169998,38.869999,38.930000,32.612736,1505500
2013-01-31,38.889999,39.080002,38.770000,38.880001,32.570858,1669000
2013-02-01,39.099998,39.580002,39.000000,39.369999,32.981346,1781100
2013-02-04,38.930000,39.520000,38.830002,39.150002,32.797047,1588300
2013-02-05,39.349998,39.950001,39.349998,39.689999,33.249413,2063200
2013-02-06,39.419998,40.119999,39.330002,40.070000,33.567768,1638200
2013-02-07,39.970001,40.119999,39.529999,39.990002,33.500744,1194900
2013-02-08,40.090000,40.610001,40.070000,40.520000,33.944729,1146300
2013-02-11,40.490002,40.560001,40.270000,40.439999,33.877716,1056800
2013-02-12,40.439999,40.689999,40.369999,40.490002,33.919601,876200
2013-02-13,40.580002,40.990002,40.540001,40.919998,34.279816,1426800
2013-02-14,40.619999,41.090000,40.459999,41.080002,34.413860,2091200
2013-02-15,41.080002,41.290001,40.750000,41.029999,34.371975,1533200
2013-02-19,41.000000,41.450001,40.939999,41.299999,34.598160,1282100
2013-02-20,41.209999,41.400002,40.939999,40.959999,34.313332,1529300
2013-02-21,40.759998,40.779999,40.290001,40.480000,33.911217,2257500
2013-02-22,40.680000,41.250000,40.360001,41.009998,34.355221,2214200
2013-02-25,41.150002,41.169998,39.689999,39.689999,33.249413,2206200
2013-02-26,40.000000,40.080002,39.340000,39.799999,33.341560,2438300
2013-02-27,39.619999,40.209999,39.450001,40.000000,33.686855,1688100
2013-02-28,39.980000,40.320000,39.799999,40.130001,33.796341,1769400
2013-03-01,39.959999,40.439999,39.560001,40.230000,33.880547,1330200
