Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,61.689999,61.840000,60.919998,61.160000,52.277889,2056900
2014-01-03,61.299999,61.680000,60.799999,61.029999,52.166767,1735600
2014-01-06,60.500000,60.650002,60.070000,60.250000,51.500038,2565900
2014-01-07,60.919998,61.990002,60.779999,61.480000,52.551414,3499200
2014-01-08,61.480000,61.790001,60.939999,61.310001,52.406101,3503800
2014-01-09,61.279999,61.520000,59.990002,60.779999,51.953068,2826200
2014-01-10,60.959999,61.060001,60.259998,60.529999,51.739384,2283400
2014-01-13,60.490002,60.790001,59.020000,59.180000,50.585445,3198800
2014-01-14,59.150002,60.099998,59.119999,59.779999,51.098297,2414400
2014-01-15,59.910000,60.299999,59.119999,59.209999,50.611084,3030900
2014-01-16,59.110001,59.580002,58.950001,59.369999,50.747845,3042200
2014-01-17,59.450001,59.580002,58.700001,59.009998,50.440098,3312000
2014-01-21,59.619999,60.139999,59.000000,59.680000,51.012806,2750700
2014-01-22,60.090000,60.720001,59.590000,60.410000,51.636791,3092700
2014-01-23,60.320000,60.590000,59.840000,60.119999,51.388920,2484400
2014-01-24,59.610001,59.889999,59.150002,59.520000,50.876045,3788100
2014-01-27,59.470001,59.500000,58.459999,58.669998,50.149494,3576200
2014-01-28,58.910000,59.520000,58.750000,59.290001,50.679451,2483400
2014-01-29,58.709999,59.570000,58.209999,59.009998,50.440098,3097500
2014-01-30,59.110001,60.500000,58.730000,59.669998,51.004269,4712000
2014-01-31,58.910000,59.750000,58.799999,59.220001,50.619637,3442100
2014-02-03,59.189999,59.630001,57.669998,57.849998,49.448570,4388100
2014-02-04,58.730000,59.790001,58.630001,59.320000,50.705101,4608800
2014-02-05,59.419998,59.639999,58.610001,59.080002,50.499958,3927600
2014-02-06,59.480000,60.669998,59.040001,60.450001,51.670998,3738300
2014-02-07,60.490002,61.110001,60.200001,61.020000,52.158222,2993200
2014-02-10,60.860001,60.939999,60.299999,60.799999,51.970165,2284600
2014-02-11,60.779999,61.799999,60.560001,61.540001,52.602695,2033000
2014-02-12,61.869999,61.869999,60.990002,61.180000,52.294971,2341900
2014-02-13,60.889999,62.459999,60.720001,62.270000,53.226685,3315400
