Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,22.555000,22.584999,22.315001,22.315001,19.039602,1372000
2014-01-03,22.495001,22.559999,22.320000,22.455000,19.159050,1358200
2014-01-06,22.545000,22.545000,22.305000,22.395000,19.107862,2499000
2014-01-07,22.430000,22.745001,22.430000,22.645000,19.321165,1192600
2014-01-08,22.575001,22.580000,22.305000,22.400000,19.112127,1320400
2014-01-09,22.410000,22.570000,22.295000,22.555000,19.244377,840400
2014-01-10,22.635000,22.825001,22.565001,22.790001,19.444878,1234200
2014-01-13,22.750000,22.840000,22.495001,22.555000,19.244377,1142400
2014-01-14,22.559999,23.260000,22.559999,23.215000,19.807493,2164200
2014-01-15,23.305000,23.375000,23.139999,23.184999,19.781902,1715600
2014-01-16,23.150000,23.325001,23.049999,23.320000,19.897087,1479200
2014-01-17,22.965000,23.344999,22.844999,22.924999,19.644306,2118400
2014-01-21,23.100000,23.110001,22.830000,22.965000,19.678579,1748400
2014-01-22,22.985001,23.135000,22.915001,22.969999,19.682863,1465600
2014-01-23,22.889999,22.934999,22.620001,22.795000,19.532909,1352800
2014-01-24,22.684999,22.860001,22.555000,22.570000,19.340103,1601600
2014-01-27,22.565001,22.885000,22.525000,22.760000,19.502914,1799000
2014-01-28,22.760000,22.945000,22.680000,22.870001,19.597178,1561600
2014-01-29,22.795000,22.809999,22.135000,22.180000,19.005915,2075600
2014-01-30,22.309999,22.575001,22.200001,22.535000,19.310112,1732400
2014-01-31,22.344999,22.885000,22.219999,22.719999,19.468636,2226000
2014-02-03,22.725000,22.725000,21.715000,21.730000,18.620312,2641400
2014-02-04,21.785000,21.865000,21.510000,21.570000,18.483210,2470200
2014-02-05,21.504999,21.684999,21.405001,21.549999,18.466078,2678800
2014-02-06,21.655001,21.780001,21.570000,21.700001,18.594608,1641400
2014-02-07,21.834999,21.980000,21.740000,21.885000,18.753132,1149000
2014-02-10,21.820000,21.889999,21.740000,21.834999,18.710287,1316600
2014-02-11,21.719999,22.209999,21.695000,22.195000,19.018768,1570200
2014-02-12,22.165001,22.290001,22.125000,22.155001,18.984493,1327800
2014-02-13,22.040001,22.430000,21.975000,22.389999,19.185865,1133200
2014-02-14,22.389999,22.584999,22.219999,22.580000,19.348667,1763800
2014-02-18,22.555000,22.670000,22.500000,22.575001,19.344391,2375200
2014-02-19,22.469999,22.785000,22.445000,22.655001,19.412943,2940200
2014-02-20,22.700001,23.215000,22.700001,23.094999,19.789972,2246400
2014-02-21,23.195000,23.415001,23.090000,23.355000,20.012762,4408800
2014-02-24,23.400000,23.600000,23.290001,23.475000,20.115595,1735800
2014-02-25,23.500000,23.570000,23.389999,23.445000,20.089888,1220200
2014-02-26,23.469999,23.754999,23.469999,23.490000,20.128454,1838200
2014-02-27,23.500000,23.600000,23.379999,23.584999,20.209856,1100400
2014-02-28,23.590000,23.895000,23.565001,23.725000,20.329823,1218200
2014-03-03,23.500000,23.590000,23.334999,23.525000,20.158438,1485600
2014-03-04,23.770000,23.915001,23.760000,23.825001,20.415512,1993800
2014-03-05,23.775000,23.959999,23.610001,23.930000,20.505482,1431400
2014-03-06,23.995001,23.995001,23.625000,23.655001,20.269836,1790600
2014-03-07,23.730000,23.730000,23.465000,23.639999,20.256977,1679400
2014-03-10,23.665001,23.844999,23.615000,23.700001,20.308395,1294000
2014-03-11,23.705000,23.730000,23.440001,23.490000,20.128454,1148600
2014-03-12,23.365000,23.610001,23.365000,23.605000,20.226990,1251400
2014-03-13,23.680000,23.809999,23.295000,23.379999,20.034191,2073800
2014-03-14,23.344999,23.665001,23.295000,23.565001,20.192719,1811600
2014-03-17,23.705000,23.790001,23.535000,23.584999,20.209856,1332600
2014-03-18,23.610001,23.820000,23.549999,23.764999,20.364096,938000
2014-03-19,23.790001,23.885000,23.434999,23.600000,20.222708,1272000
2014-03-20,23.504999,23.695000,23.475000,23.680000,20.291258,753800
2014-03-21,23.820000,23.879999,23.610001,23.650000,20.265549,2431000
2014-03-24,23.750000,23.879999,23.635000,23.719999,20.325531,1671200
2014-03-25,23.790001,23.969999,23.719999,23.965000,20.535475,1248200
2014-03-26,24.065001,24.290001,23.990000,24.115000,20.664017,1637400
2014-03-27,24.100000,24.165001,24.014999,24.100000,20.651155,1283800
2014-03-28,24.190001,24.305000,24.094999,24.200001,20.736847,1201600
2014-03-31,24.340000,24.730000,24.320000,24.635000,21.109596,1984400
2014-04-01,24.660000,24.735001,24.334999,24.450001,20.951071,1755600
2014-04-02,24.420000,24.459999,24.180000,24.230000,20.762547,1674600
2014-04-03,24.230000,24.290001,24.045000,24.170000,20.711138,1259800
2014-04-04,24.230000,24.309999,23.875000,23.915001,20.492630,1018000
2014-04-07,23.910000,24.125000,23.910000,24.025000,20.586887,1115200
2014-04-08,24.025000,24.120001,23.870001,23.985001,20.552608,1419400
2014-04-09,24.020000,24.055000,23.790001,23.980000,20.548325,1538800
2014-04-10,23.975000,24.094999,23.620001,23.625000,20.244129,1156600
2014-04-11,23.575001,23.719999,23.424999,23.485001,20.124165,1131000
2014-04-14,23.650000,23.770000,23.500000,23.760000,20.359810,1142600
2014-04-15,23.799999,23.850000,23.490000,23.670000,20.282684,1153600
2014-04-16,23.690001,23.865000,23.590000,23.850000,20.523636,936200
2014-04-17,23.805000,23.920000,23.745001,23.889999,20.558056,2121000
2014-04-21,23.959999,23.990000,23.825001,23.879999,20.549450,847000
2014-04-22,23.875000,23.980000,23.805000,23.950001,20.609697,734400
2014-04-23,23.945000,24.045000,23.924999,23.965000,20.622601,924000
