Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,127.879997,127.879997,126.089996,126.669998,126.669998,1382700
2014-01-03,126.783333,127.556664,124.246666,124.486664,124.486664,1035000
2014-01-06,124.320000,125.753334,123.343330,123.646667,123.646667,1183800
2014-01-07,123.796669,125.629997,123.583336,124.586670,124.586670,1164300
2014-01-08,124.803337,126.876663,124.690002,126.820000,126.820000,1495200
2014-01-09,126.956665,129.949997,126.570000,128.926666,128.926666,1676400
2014-01-10,128.823334,141.526672,128.423340,140.050003,140.050003,4488600
2014-01-13,137.356674,138.250000,130.673340,131.023331,131.023331,3272400
2014-01-14,146.843338,147.996674,138.646667,139.960007,139.960007,5937000
2014-01-15,140.186661,140.360001,134.059998,137.600006,137.600006,2918400
2014-01-16,138.160004,139.436661,136.163330,138.130005,138.130005,852000
2014-01-17,138.593338,143.746674,137.996674,143.380005,143.380005,2811000
2014-01-21,148.313339,149.166672,144.333328,146.460007,146.460007,2350200
2014-01-22,146.053329,146.500000,144.333328,146.373337,146.373337,1180800
2014-01-23,146.333328,147.796661,144.850006,146.333328,146.333328,2382000
2014-01-24,137.449997,142.173340,135.416672,136.919998,136.919998,4486200
2014-01-27,137.066666,138.800003,136.080002,136.210007,136.210007,1626600
2014-01-28,135.623337,138.289993,135.476669,136.513336,136.513336,1214400
2014-01-29,135.006668,139.853333,135.006668,138.399994,138.399994,1836600
2014-01-30,138.830002,140.676666,138.463333,138.783340,138.783340,1267800
2014-01-31,136.639999,137.806671,135.346664,135.860001,135.860001,1646100
2014-02-03,135.123337,136.330002,132.220001,133.723328,133.723328,1998300
2014-02-04,134.436661,137.986664,134.156662,136.366669,136.366669,1443600
2014-02-05,136.233337,139.193329,135.580002,138.366669,138.366669,1197900
2014-02-06,137.843338,140.000000,137.843338,138.263336,138.263336,1389000
2014-02-07,138.000000,139.333328,136.330002,139.226669,139.226669,1209900
2014-02-10,138.690002,144.279999,138.356674,143.220001,143.220001,1329600
2014-02-11,141.373337,143.823334,140.410004,142.149994,142.149994,1154700
2014-02-12,142.910004,146.226669,142.399994,146.123337,146.123337,1181400
2014-02-13,145.943329,147.643326,144.496674,147.513336,147.513336,1335300
2014-02-14,144.026672,147.320007,143.753326,146.276672,146.276672,1723800
2014-02-18,146.770004,148.330002,144.750000,148.029999,148.029999,951300
2014-02-19,146.726669,149.250000,146.283340,146.653336,146.653336,739200
2014-02-20,146.993332,147.343338,144.440002,146.013336,146.013336,758400
2014-02-21,146.383331,147.166672,144.916672,145.063339,145.063339,824700
2014-02-24,145.063339,147.229996,144.726669,146.179993,146.179993,1091400
2014-02-25,145.713333,146.330002,144.333328,144.956665,144.956665,875700
2014-02-26,146.139999,147.416672,144.923340,146.116669,146.116669,824700
2014-02-27,146.056671,148.570007,145.333328,148.050003,148.050003,1033200
2014-02-28,148.066666,151.656662,146.603333,148.276672,148.276672,1847700
2014-03-03,147.433334,154.156662,146.683334,151.279999,151.279999,2061900
2014-03-04,151.966660,151.966660,147.826660,149.836670,149.836670,2227500
2014-03-05,149.513336,150.666672,147.846664,148.973328,148.973328,780300
2014-03-06,149.000000,149.916672,147.373337,148.116669,148.116669,777300
2014-03-07,148.866669,150.156662,147.259995,147.993332,147.993332,681600
2014-03-10,147.690002,148.163330,145.346664,146.196671,146.196671,1098900
2014-03-11,146.550003,147.350006,144.636673,145.063339,145.063339,836400
2014-03-12,144.276672,147.303329,143.023331,144.380005,144.380005,1074300
2014-03-13,144.666672,146.330002,142.856674,143.223328,143.223328,797100
2014-03-14,142.270004,143.913330,140.729996,141.023331,141.023331,915000
2014-03-17,141.339996,143.440002,141.023331,142.203339,142.203339,750600
2014-03-18,141.919998,143.253326,141.720001,143.006668,143.006668,510900
2014-03-19,142.843338,145.033340,142.843338,144.846664,144.846664,942300
2014-03-20,143.773331,145.789993,141.716660,145.669998,145.669998,765000
2014-03-21,147.846664,147.846664,142.813339,142.963333,142.963333,1927800
2014-03-24,143.723328,145.050003,139.753326,140.690002,140.690002,1034700
2014-03-25,140.953339,142.513336,139.993332,140.970001,140.970001,516000
2014-03-26,141.889999,143.333328,141.110001,141.553329,141.553329,688200
2014-03-27,140.826660,143.843338,139.433334,142.869995,142.869995,2185500
2014-03-28,143.203339,146.296661,142.880005,144.996674,144.996674,1831500
2014-03-31,144.993332,147.333328,144.333328,145.996674,145.996674,1557000
2014-04-01,162.016663,167.770004,156.740005,164.533340,164.533340,8596200
2014-04-02,168.123337,174.166672,166.199997,172.833328,172.833328,4019400
2014-04-03,173.153336,180.410004,173.153336,180.210007,180.210007,3708600
2014-04-04,178.333328,178.889999,168.386673,168.506668,168.506668,4227900
2014-04-07,168.330002,171.270004,165.453339,165.676666,165.676666,2057700
2014-04-08,166.666672,166.779999,161.460007,163.279999,163.279999,2334300
2014-04-09,147.306671,153.973328,146.339996,152.213333,152.213333,7851300
2014-04-10,153.259995,155.000000,150.826660,151.203339,151.203339,2117700
2014-04-11,150.186661,150.543335,144.573334,146.543335,146.543335,2433300
2014-04-14,147.376663,147.583328,140.803329,141.666672,141.666672,2108700
2014-04-15,141.706665,142.419998,136.869995,139.029999,139.029999,2303400
2014-04-16,141.953339,142.039993,137.753326,138.376663,138.376663,2172000
2014-04-17,138.333328,139.176666,136.673340,137.330002,137.330002,1619400
2014-04-21,136.669998,138.910004,136.136673,137.036667,137.036667,1169400
2014-04-22,143.333328,143.876663,138.546661,140.776672,140.776672,3029700
2014-04-23,129.066666,132.466660,124.110001,124.643333,124.643333,6609600
2014-04-24,125.449997,125.513336,122.673332,123.773331,123.773331,1534200
2014-04-25,122.839996,123.330002,120.809998,122.123337,122.123337,1718700
2014-04-28,122.966667,123.963333,121.459999,122.599998,122.599998,1570500
2014-04-29,124.129997,125.666664,117.793335,120.529999,120.529999,1825200
