Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,3.980000,3.995000,3.930000,3.965000,3.747001,26009200
2014-01-03,3.972500,3.980000,3.905000,3.917500,3.702113,25933200
2014-01-06,3.957500,4.000000,3.920000,3.970000,3.751726,40949200
2014-01-07,4.010000,4.050000,3.982500,4.035000,3.813152,33328800
2014-01-08,4.050000,4.110000,4.035000,4.090000,3.865128,30819200
2014-01-09,4.027500,4.035000,3.925000,3.937500,3.721013,29217200
2014-01-10,3.950000,3.977500,3.897500,3.932500,3.716288,21849200
2014-01-13,3.932500,3.957500,3.832500,3.840000,3.628874,24333200
2014-01-14,3.860000,3.967500,3.842500,3.960000,3.742276,24182800
2014-01-15,3.977500,4.017500,3.960000,4.002500,3.782440,17504400
2014-01-16,4.002500,4.022500,3.985000,4.015000,3.794252,22065200
2014-01-17,4.015000,4.062500,3.972500,3.997500,3.777714,34040000
2014-01-21,4.002500,4.037500,3.970000,4.012500,3.791889,24607600
2014-01-22,4.020000,4.025000,3.960000,4.007500,3.787164,33794000
2014-01-23,3.995000,4.037500,3.962500,3.992500,3.772989,18502800
2014-01-24,3.960000,3.975000,3.890000,3.890000,3.676125,24669600
2014-01-27,3.890000,3.945000,3.842500,3.865000,3.652499,23381200
2014-01-28,3.857500,3.905000,3.842500,3.902500,3.687937,16799600
2014-01-29,3.887500,3.910000,3.862500,3.865000,3.652499,16294400
2014-01-30,3.887500,3.937500,3.875000,3.930000,3.713926,20289600
2014-01-31,3.875000,3.947500,3.872500,3.925000,3.709200,33534800
2014-02-03,3.952500,3.957500,3.857500,3.872500,3.659587,43172800
2014-02-04,3.870000,3.902500,3.850000,3.895000,3.680849,28069200
2014-02-05,3.867500,3.880000,3.830000,3.860000,3.647775,21467600
2014-02-06,3.865000,3.920000,3.860000,3.910000,3.695024,16838000
2014-02-07,3.920000,3.972500,3.885000,3.967500,3.749364,15724800
2014-02-10,3.962500,4.032500,3.960000,3.980000,3.761176,32437200
2014-02-11,4.002500,4.072500,3.982500,4.062500,3.839140,23538400
2014-02-12,4.075000,4.237500,4.075000,4.207500,3.976168,74452800
2014-02-13,4.312500,4.365000,4.237500,4.340000,4.101385,90283600
2014-02-14,4.300000,4.487500,4.297500,4.477500,4.231323,81753600
2014-02-18,4.480000,4.495000,4.437500,4.475000,4.228961,42898800
2014-02-19,4.475000,4.575000,4.455000,4.535000,4.285662,45034000
2014-02-20,4.545000,4.705000,4.537500,4.695000,4.436865,39808800
2014-02-21,4.687500,4.747500,4.630000,4.660000,4.403790,45105200
2014-02-24,4.650000,4.762500,4.607500,4.727500,4.467578,40311200
2014-02-25,4.700000,4.720000,4.635000,4.685000,4.447406,24218400
2014-02-26,4.675000,4.745000,4.662500,4.677500,4.440285,36088400
2014-02-27,4.677500,4.725000,4.612500,4.625000,4.390448,38884800
2014-02-28,4.600000,4.645000,4.527500,4.595000,4.361970,32169200
2014-03-03,4.492500,4.572500,4.452500,4.572500,4.340613,37594800
2014-03-04,4.595000,4.650000,4.587500,4.620000,4.385702,26034400
2014-03-05,4.615000,4.662500,4.595000,4.660000,4.423674,24147200
2014-03-06,4.667500,4.692500,4.587500,4.595000,4.361970,29014400
2014-03-07,4.615000,4.622500,4.555000,4.590000,4.357225,26845200
2014-03-10,4.575000,4.595000,4.502500,4.522500,4.293147,30088800
2014-03-11,4.545000,4.607500,4.530000,4.567500,4.335866,29722000
2014-03-12,4.545000,4.607500,4.527500,4.580000,4.347731,23942800
2014-03-13,4.590000,4.607500,4.412500,4.435000,4.210084,38517200
2014-03-14,4.390000,4.495000,4.390000,4.455000,4.229070,46004800
2014-03-17,4.467500,4.500000,4.450000,4.455000,4.229070,29965600
2014-03-18,4.472500,4.590000,4.452500,4.560000,4.328745,29390400
2014-03-19,4.595000,4.727500,4.582500,4.640000,4.404688,36616800
2014-03-20,4.615000,4.682500,4.595000,4.642500,4.407062,19180000
2014-03-21,4.682500,4.720000,4.610000,4.635000,4.399942,56611600
2014-03-24,4.637500,4.675000,4.545000,4.612500,4.378582,30609600
2014-03-25,4.662500,4.667500,4.577500,4.612500,4.378582,30442400
2014-03-26,4.655000,4.742500,4.467500,4.507500,4.278908,55775600
2014-03-27,4.497500,4.535000,4.397500,4.447500,4.221953,54072800
