Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,54.279999,54.599998,53.070000,53.910000,51.079918,10748600
2015-01-05,54.369999,54.540001,53.340000,53.880001,51.051483,11565000
2015-01-06,54.270000,54.430000,52.130001,53.040001,50.255585,13772200
2015-01-07,53.380001,53.650002,52.119999,53.009998,50.227158,10069800
2015-01-08,53.480000,54.279999,53.250000,53.660000,50.843037,9672100
2015-01-09,53.669998,53.910000,51.820000,52.020000,49.289127,12351600
2015-01-12,51.060001,51.450001,49.200001,49.580002,46.977222,18261300
2015-01-13,50.119999,51.430000,49.459999,50.400002,47.754173,12259300
2015-01-14,49.410000,50.230000,48.099998,49.410000,46.816154,15684700
2015-01-15,49.139999,50.400002,48.580002,49.410000,46.816154,10396900
2015-01-16,49.380001,49.970001,48.270000,49.810001,47.195148,12978000
2015-01-20,51.000000,52.830002,49.930000,52.750000,49.980816,15157300
2015-01-21,52.650002,54.000000,51.950001,53.669998,50.852512,12882200
2015-01-22,54.520000,55.820000,53.910000,55.590000,52.671711,16201100
2015-01-23,55.400002,55.980000,54.799999,55.689999,52.766476,9488800
2015-01-26,55.889999,56.200001,54.730000,55.450001,52.539074,13353900
2015-01-27,53.990002,54.520000,52.540001,52.700001,49.933437,19810700
2015-01-28,52.790001,53.700001,50.299999,50.619999,47.962620,17064800
2015-01-29,51.049999,52.419998,50.570000,52.240002,49.497581,16618900
2015-01-30,52.020000,52.130001,48.630001,49.080002,46.503460,18473100
2015-02-02,48.580002,48.930000,46.209999,48.720001,46.162369,22413100
2015-02-03,47.299999,48.160000,46.549999,47.500000,45.006409,16678900
2015-02-04,48.619999,49.790001,48.230000,49.459999,46.863522,11836800
2015-02-05,49.459999,49.459999,47.599998,48.810001,46.341347,9220900
2015-02-06,48.840000,49.470001,47.889999,48.150002,45.714722,8650100
2015-02-09,46.410000,47.240002,45.950001,46.529999,44.176655,12961900
2015-02-10,47.400002,48.380001,46.900002,48.049999,45.619774,9085300
2015-02-11,48.790001,48.950001,47.349998,47.590000,45.183048,10060200
2015-02-12,46.750000,48.500000,46.400002,47.880001,45.458370,9542800
2015-02-13,47.529999,48.400002,46.650002,48.389999,45.942585,9895700
2015-02-17,48.770000,49.450001,47.860001,48.009998,45.581806,7260500
2015-02-18,48.599998,49.450001,48.180000,49.310001,46.816048,8752700
2015-02-19,50.779999,50.799999,49.590000,49.779999,47.262287,11462600
2015-02-20,49.810001,51.119999,49.130001,51.020000,48.439564,10537900
2015-02-23,51.750000,52.200001,50.950001,51.310001,48.714893,9508700
2015-02-24,50.290001,51.560001,49.360001,51.520000,48.914284,13916700
2015-02-25,51.299999,51.490002,49.459999,49.730000,47.214809,9577000
2015-02-26,50.380001,50.380001,49.020000,49.349998,46.854023,7577300
2015-02-27,49.000000,49.400002,47.849998,47.900002,45.477367,9396400
2015-03-02,48.200001,48.570000,47.849998,48.310001,45.866631,11482900
2015-03-03,47.900002,49.029999,47.750000,48.770000,46.303371,9051200
2015-03-04,48.849998,48.959999,47.980000,48.950001,46.474262,6711000
2015-03-05,49.189999,49.200001,47.779999,48.400002,45.952080,7041000
2015-03-06,48.330002,48.939999,47.900002,48.000000,45.572308,7002300
2015-03-09,48.049999,48.580002,47.580002,47.919998,45.496346,7460200
2015-03-10,47.500000,47.580002,46.470001,46.740002,44.376038,9337100
2015-03-11,46.900002,47.889999,46.580002,47.389999,44.993168,6630300
2015-03-12,47.570000,48.720001,47.560001,48.680000,46.217918,7133500
2015-03-13,48.750000,49.490002,48.279999,49.220001,46.730606,9188000
2015-03-16,49.770000,50.450001,49.450001,50.220001,47.680027,10897800
2015-03-17,52.630001,54.180000,52.500000,53.689999,50.974522,41837900
2015-03-18,53.689999,54.599998,53.340000,54.130001,51.392273,21325000
2015-03-19,54.570000,55.240002,54.450001,55.189999,52.398663,18897700
2015-03-20,55.189999,56.049999,54.860001,55.759998,52.939831,137767200
2015-03-23,55.470001,55.930000,54.369999,54.400002,51.648609,19042000
2015-03-24,54.040001,54.410000,53.660000,53.930000,51.202389,11940800
2015-03-25,53.619999,53.779999,51.930000,52.009998,49.379490,14237900
2015-03-26,50.840000,51.689999,50.250000,51.270000,48.676926,14242700
2015-03-27,51.380001,52.849998,51.380001,52.660000,49.996624,9004000
2015-03-30,53.240002,53.840000,53.049999,53.639999,50.927052,8167300
2015-03-31,53.660000,53.730000,52.680000,52.779999,50.110558,8386400
2015-04-01,51.099998,51.380001,50.110001,50.439999,47.888901,15191500
2015-04-02,50.480000,50.849998,49.150002,49.180000,46.692623,14109800
2015-04-06,48.349998,48.689999,47.669998,48.080002,45.648262,13323400
2015-04-07,48.299999,48.799999,47.490002,47.500000,45.097588,9393200
2015-04-08,47.799999,49.090000,47.730000,48.740002,46.274883,11180000
2015-04-09,48.860001,49.480000,47.720001,47.840000,45.420395,11576200
2015-04-10,48.160000,48.790001,47.720001,47.730000,45.315964,11713400
2015-04-13,47.470001,48.590000,47.470001,47.790001,45.372921,9350300
2015-04-14,47.490002,47.779999,46.880001,47.419998,45.021641,9878400
2015-04-15,48.000000,48.720001,47.669998,47.750000,45.334946,9846700
