Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.014999,27.110001,26.590000,26.820000,25.201101,1568000
2015-01-05,26.629999,26.705000,26.264999,26.330000,24.740683,2394600
2015-01-06,26.350000,26.545000,25.745001,25.995001,24.425903,4149200
2015-01-07,26.250000,26.455000,26.075001,26.440001,24.844038,1622600
2015-01-08,26.730000,27.010000,26.709999,26.955000,25.327951,1955600
2015-01-09,26.990000,27.040001,26.790001,26.799999,25.182308,1231800
2015-01-12,26.780001,26.815001,26.344999,26.475000,24.876928,1302600
2015-01-13,26.760000,26.975000,26.209999,26.415001,24.820553,1496200
2015-01-14,26.045000,26.340000,25.900000,26.225000,24.642017,1775800
2015-01-15,26.365000,26.415001,25.955000,25.965000,24.397717,1353600
2015-01-16,25.870001,26.235001,25.830000,26.209999,24.627922,2166400
2015-01-20,26.250000,26.315001,25.855000,26.174999,24.595037,3102800
2015-01-21,25.995001,27.410000,25.594999,26.965000,25.337351,5416400
2015-01-22,27.075001,27.434999,26.635000,27.379999,25.727295,2776200
2015-01-23,27.440001,27.655001,27.340000,27.455000,25.797771,2798800
2015-01-26,27.360001,27.555000,27.299999,27.395000,25.741394,1491200
2015-01-27,27.045000,27.355000,26.924999,27.160000,25.520575,2030200
2015-01-28,27.445000,27.639999,26.975000,26.985001,25.356144,2981800
2015-01-29,27.049999,27.535000,26.840000,27.480000,25.821262,2635200
2015-01-30,27.340000,27.400000,26.809999,26.855000,25.233990,2298200
2015-02-02,26.980000,27.160000,26.525000,27.120001,25.482994,1893200
2015-02-03,27.165001,27.330000,26.959999,27.290001,25.642729,2794600
2015-02-04,27.230000,27.475000,27.055000,27.285000,25.638035,1622600
2015-02-05,27.330000,27.700001,27.290001,27.620001,25.952820,1592000
2015-02-06,27.580000,27.809999,27.430000,27.525000,25.863546,1464800
2015-02-09,27.415001,27.605000,27.275000,27.400000,25.746090,1352600
2015-02-10,27.615000,27.950001,27.495001,27.870001,26.187727,1731600
2015-02-11,27.855000,27.959999,27.625000,27.775000,26.098455,1581400
2015-02-12,27.840000,28.000000,27.790001,28.000000,26.309874,1118400
2015-02-13,27.934999,28.230000,27.905001,28.195000,26.493103,1382000
2015-02-17,28.184999,28.195000,27.885000,28.000000,26.309874,1389600
2015-02-18,27.995001,28.174999,27.844999,28.125000,26.427328,876600
2015-02-19,28.070000,28.250000,28.000000,28.110001,26.413239,812600
2015-02-20,28.094999,28.495001,27.834999,28.459999,26.742105,1705800
2015-02-23,28.375000,28.465000,28.105000,28.360001,26.648146,1312800
2015-02-24,28.379999,28.495001,28.205000,28.410000,26.695122,2496200
2015-02-25,28.385000,28.514999,28.295000,28.424999,26.709217,1671800
2015-02-26,28.490000,28.695000,28.365000,28.400000,26.685730,1697800
2015-02-27,28.325001,28.485001,28.215000,28.230000,26.525991,1849600
2015-03-02,28.230000,28.620001,28.160000,28.610001,26.883059,2655600
2015-03-03,28.520000,28.680000,28.370001,28.660000,26.930031,1922000
2015-03-04,28.570000,29.190001,28.434999,29.120001,27.362270,3742800
2015-03-05,29.245001,29.455000,29.049999,29.360001,27.587788,2148800
2015-03-06,29.190001,29.350000,28.820000,28.885000,27.141457,2534200
2015-03-09,28.805000,28.915001,28.705000,28.855000,27.172060,2207400
2015-03-10,28.590000,28.875000,28.575001,28.629999,26.960182,2409800
2015-03-11,28.684999,28.750000,28.555000,28.645000,26.974310,1603000
2015-03-12,28.680000,29.165001,28.650000,29.145000,27.445145,1388800
2015-03-13,29.150000,29.250000,28.825001,28.975000,27.285063,1482600
2015-03-16,29.110001,29.665001,29.055000,29.655001,27.925400,2278600
2015-03-17,29.504999,29.549999,29.245001,29.500000,27.779438,1872400
2015-03-18,29.420000,30.250000,29.315001,30.100000,28.344446,2125400
2015-03-19,30.045000,30.129999,29.924999,29.985001,28.236149,2296000
2015-03-20,30.110001,30.270000,29.969999,30.025000,28.273825,4095400
2015-03-23,30.075001,30.115000,29.860001,29.870001,28.127865,2734200
2015-03-24,29.870001,29.965000,29.475000,29.545000,27.821815,2098200
2015-03-25,29.530001,29.635000,28.805000,28.805000,27.124979,2109200
2015-03-26,28.730000,28.855000,28.370001,28.750000,27.073185,4114000
2015-03-27,28.764999,28.885000,28.639999,28.820000,27.139105,2558000
2015-03-30,29.090000,29.434999,29.035000,29.385000,27.671150,1683800
2015-03-31,29.165001,29.594999,29.080000,29.465000,27.746485,2635200
2015-04-01,29.330000,29.389999,28.915001,29.139999,27.440437,2669600
2015-04-02,29.020000,29.450001,29.020000,29.400000,27.685278,1679200
2015-04-06,29.230000,29.594999,29.129999,29.485001,27.765322,2033000
2015-04-07,29.405001,29.510000,29.340000,29.420000,27.704113,1677800
2015-04-08,29.389999,29.610001,29.264999,29.605000,27.878317,1451200
2015-04-09,29.565001,29.730000,29.440001,29.650000,27.920691,1156600
2015-04-10,29.650000,29.775000,29.570000,29.770000,28.033695,1078200
2015-04-13,29.690001,29.805000,29.445000,29.504999,27.784153,1470000
2015-04-14,29.405001,29.520000,29.225000,29.465000,27.746485,1671400
2015-04-15,29.525000,29.754999,29.445000,29.610001,27.883026,1903200
2015-04-16,29.485001,29.625000,29.370001,29.379999,27.666441,1618000
2015-04-17,29.155001,29.184999,28.885000,28.980000,27.289768,1798200
2015-04-20,29.184999,29.355000,29.174999,29.219999,27.515772,1764400
2015-04-21,29.350000,29.485001,29.080000,29.080000,27.383936,3187600
2015-04-22,28.320000,28.844999,27.764999,28.405001,26.748306,4294600
