Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,28.219999,28.230000,27.330000,27.780001,27.780001,1125000
2015-01-05,27.559999,27.799999,27.200001,27.440001,27.440001,1029100
2015-01-06,27.459999,27.650000,26.719999,26.950001,26.950001,1092600
2015-01-07,27.260000,27.350000,26.910000,27.330000,27.330000,958300
2015-01-08,27.510000,27.850000,27.450001,27.620001,27.620001,1546600
2015-01-09,27.680000,27.790001,27.170000,27.389999,27.389999,1033200
2015-01-12,27.420000,27.620001,26.780001,26.900000,26.900000,1135300
2015-01-13,27.059999,27.320000,26.320000,26.629999,26.629999,835100
2015-01-14,26.250000,26.480000,25.959999,26.209999,26.209999,1060500
2015-01-15,26.219999,26.469999,25.240000,25.280001,25.280001,1595900
2015-01-16,25.309999,25.650000,25.120001,25.629999,25.629999,1446900
2015-01-20,25.700001,25.990000,25.480000,25.650000,25.650000,1832500
2015-01-21,25.690001,26.370001,25.490000,26.290001,26.290001,1626600
2015-01-22,26.450001,27.000000,26.270000,26.889999,26.889999,1453900
2015-01-23,26.790001,27.040001,26.670000,26.980000,26.980000,1045100
2015-01-26,27.040001,27.290001,26.870001,27.280001,27.280001,1090600
2015-01-27,26.820000,27.180000,26.700001,26.840000,26.840000,818500
2015-01-28,26.969999,26.990000,25.840000,25.930000,25.930000,1367300
2015-01-29,26.090000,26.250000,25.740000,26.209999,26.209999,1277500
2015-01-30,26.150000,26.270000,25.740000,25.809999,25.809999,1674100
2015-02-02,25.860001,26.320000,25.680000,26.290001,26.290001,1755400
2015-02-03,26.400000,26.889999,26.389999,26.850000,26.850000,1139800
2015-02-04,26.000000,26.860001,25.510000,26.580000,26.580000,1520700
2015-02-05,26.770000,27.020000,26.420000,26.670000,26.670000,2333800
2015-02-06,26.900000,27.340000,26.700001,27.020000,27.020000,1635300
2015-02-09,27.020000,27.250000,26.799999,27.049999,27.049999,2617800
2015-02-10,27.320000,27.370001,26.990000,27.350000,27.350000,851200
2015-02-11,27.370001,27.500000,26.980000,27.150000,27.150000,1358300
2015-02-12,27.190001,27.330000,27.020000,27.120001,27.120001,1204600
2015-02-13,27.080000,27.230000,26.950001,27.219999,27.219999,1087500
2015-02-17,27.290001,27.520000,27.180000,27.430000,27.430000,1223700
2015-02-18,27.340000,27.459999,27.070000,27.250000,27.250000,1672800
2015-02-19,27.260000,27.389999,27.059999,27.309999,27.309999,1652200
2015-02-20,27.350000,27.430000,27.000000,27.379999,27.379999,1715100
2015-02-23,27.290001,27.490000,27.170000,27.240000,27.240000,1857000
2015-02-24,27.280001,27.400000,26.969999,27.360001,27.360001,1764200
2015-02-25,27.410000,27.910000,27.280001,27.850000,27.850000,1482000
2015-02-26,24.100000,24.969999,22.900000,24.780001,24.780001,15292600
2015-02-27,24.700001,24.820000,24.330000,24.580000,24.580000,5420500
2015-03-02,24.600000,24.830000,24.510000,24.820000,24.820000,2940700
2015-03-03,24.830000,24.990000,24.620001,24.930000,24.930000,2912800
2015-03-04,24.420000,24.580000,24.030001,24.030001,24.030001,3140700
2015-03-05,24.190001,24.219999,23.780001,24.150000,24.150000,2469500
2015-03-06,24.020000,24.219999,23.700001,23.830000,23.830000,3167700
2015-03-09,23.809999,24.000000,23.459999,23.980000,23.980000,2899400
2015-03-10,23.750000,24.080000,23.639999,23.820000,23.820000,3758900
2015-03-11,23.940001,24.230000,23.760000,24.150000,24.150000,4721100
2015-03-12,24.290001,24.639999,24.160000,24.469999,24.469999,2852700
2015-03-13,24.400000,24.559999,24.170000,24.420000,24.420000,1759800
2015-03-16,24.520000,25.059999,24.480000,24.700001,24.700001,3479900
2015-03-17,24.650000,24.700001,24.420000,24.620001,24.620001,1919200
2015-03-18,24.520000,24.600000,24.260000,24.309999,24.309999,3697200
2015-03-19,24.190001,24.590000,24.030001,24.230000,24.230000,3031700
2015-03-20,24.340000,24.490000,24.219999,24.430000,24.430000,4397000
2015-03-23,24.400000,24.600000,24.309999,24.320000,24.320000,2942100
2015-03-24,24.290001,24.420000,24.170000,24.190001,24.190001,4393100
2015-03-25,24.260000,24.299999,23.629999,23.639999,23.639999,2623600
2015-03-26,23.590000,24.209999,23.389999,24.129999,24.129999,6108300
2015-03-27,24.010000,24.910000,24.010000,24.770000,24.770000,2932000
2015-03-30,24.809999,25.139999,24.809999,24.990000,24.990000,2818900
2015-03-31,25.000000,25.760000,25.000000,25.559999,25.559999,4175400
2015-04-01,25.549999,25.600000,25.260000,25.400000,25.400000,2915200
2015-04-02,25.440001,25.620001,25.260000,25.580000,25.580000,1809500
2015-04-06,25.490000,26.100000,25.360001,25.850000,25.850000,1993700
2015-04-07,25.959999,25.959999,25.639999,25.670000,25.670000,1634700
2015-04-08,25.639999,26.000000,25.520000,25.950001,25.950001,1156800
2015-04-09,25.900000,26.200001,25.719999,25.830000,25.830000,1113300
2015-04-10,25.840000,25.959999,25.670000,25.850000,25.850000,1138600
2015-04-13,25.780001,25.780001,25.530001,25.570000,25.570000,1097600
2015-04-14,25.510000,25.639999,25.379999,25.500000,25.500000,1084600
2015-04-15,25.639999,25.790001,25.510000,25.590000,25.590000,1149300
2015-04-16,25.620001,25.719999,25.469999,25.620001,25.620001,829100
2015-04-17,25.450001,25.740000,25.059999,25.219999,25.219999,2938400
2015-04-20,25.410000,25.740000,25.320000,25.490000,25.490000,1571100
2015-04-21,25.549999,25.590000,25.379999,25.459999,25.459999,1955800
2015-04-22,25.469999,25.629999,25.270000,25.520000,25.520000,2992600
2015-04-23,25.520000,25.660000,25.469999,25.580000,25.580000,1204200
2015-04-24,25.730000,25.750000,25.480000,25.580000,25.580000,1661100
2015-04-27,25.650000,25.750000,25.200001,25.250000,25.250000,2032200
2015-04-28,25.180000,25.350000,24.969999,25.010000,25.010000,1963500
2015-04-29,24.969999,25.299999,24.920000,25.260000,25.260000,2699000
2015-04-30,26.990000,27.879999,26.290001,27.070000,27.070000,6481900
2015-05-01,27.309999,27.930000,27.309999,27.809999,27.809999,2535400
2015-05-04,27.830000,28.100000,27.740000,27.840000,27.840000,2131600
2015-05-05,27.690001,27.940001,27.590000,27.660000,27.660000,2305200
2015-05-06,27.780001,27.840000,27.389999,27.540001,27.540001,1199500
2015-05-07,26.969999,27.770000,26.530001,27.629999,27.629999,1364400
2015-05-08,27.920000,27.930000,27.370001,27.510000,27.510000,1372100
2015-05-11,27.500000,27.790001,27.389999,27.570000,27.570000,1469500
2015-05-12,27.510000,27.879999,27.330000,27.760000,27.760000,1363400
2015-05-13,27.799999,28.120001,27.700001,27.850000,27.850000,1682100
2015-05-14,28.000000,28.040001,27.730000,27.820000,27.820000,1378900
2015-05-15,27.820000,28.059999,27.600000,28.059999,28.059999,1367700
2015-05-18,28.059999,28.490000,27.980000,28.420000,28.420000,1133200
2015-05-19,28.520000,28.650000,28.420000,28.520000,28.520000,994700
2015-05-20,28.629999,28.719999,28.299999,28.690001,28.690001,1140600
2015-05-21,28.549999,28.770000,28.440001,28.719999,28.719999,942400
2015-05-22,28.770000,28.889999,28.680000,28.750000,28.750000,946600
2015-05-26,28.740000,28.740000,28.190001,28.340000,28.340000,1467100
2015-05-27,28.500000,28.910000,28.260000,28.860001,28.860001,1311500
2015-05-28,28.860001,29.000000,28.639999,28.809999,28.809999,1427900
2015-05-29,28.709999,28.889999,28.500000,28.570000,28.570000,1567100
2015-06-01,28.620001,28.850000,28.430000,28.809999,28.809999,1008000
2015-06-02,28.629999,28.959999,28.570000,28.850000,28.850000,725000
2015-06-03,28.990000,29.320000,28.730000,29.240000,29.240000,1291300
2015-06-04,28.980000,29.160000,28.850000,29.020000,29.020000,1376900
2015-06-05,29.020000,29.580000,29.000000,29.510000,29.510000,1251700
2015-06-08,29.490000,29.510000,29.030001,29.040001,29.040001,907600
2015-06-09,29.139999,29.350000,28.930000,29.120001,29.120001,687700
2015-06-10,29.180000,29.469999,29.100000,29.290001,29.290001,1446300
2015-06-11,29.350000,29.469999,29.200001,29.420000,29.420000,1391100
2015-06-12,29.389999,29.510000,29.250000,29.400000,29.400000,632700
2015-06-15,29.190001,29.309999,28.830000,29.290001,29.290001,1089700
2015-06-16,29.350000,29.500000,29.150000,29.290001,29.290001,1150500
2015-06-17,29.389999,29.559999,29.260000,29.350000,29.350000,1145000
2015-06-18,29.370001,29.840000,29.370001,29.580000,29.580000,1077000
2015-06-19,29.660000,29.900000,29.540001,29.690001,29.690001,1547800
2015-06-22,29.870001,29.870001,29.469999,29.780001,29.780001,1129900
2015-06-23,29.799999,30.110001,29.709999,30.030001,30.030001,911000
2015-06-24,30.040001,30.240000,29.860001,30.030001,30.030001,1329900
2015-06-25,30.250000,30.500000,30.080000,30.330000,30.330000,1747200
2015-06-26,30.400000,30.820000,30.250000,30.790001,30.790001,2662800
2015-06-29,30.540001,30.709999,30.190001,30.209999,30.209999,1427900
2015-06-30,30.420000,30.490000,30.030001,30.250000,30.250000,1658600
2015-07-01,30.469999,30.799999,30.350000,30.600000,30.600000,2176000
2015-07-02,30.809999,30.950001,30.209999,30.410000,30.410000,1567800
2015-07-06,30.150000,30.660000,30.120001,30.250000,30.250000,2975700
2015-07-07,30.379999,30.650000,29.930000,30.600000,30.600000,1986000
2015-07-08,30.309999,30.500000,30.110001,30.360001,30.360001,3210400
2015-07-09,30.740000,30.740000,30.010000,30.080000,30.080000,2488900
2015-07-10,30.270000,30.430000,30.000000,30.330000,30.330000,1388400
2015-07-13,30.580000,30.780001,30.389999,30.760000,30.760000,1936600
2015-07-14,30.690001,31.049999,30.510000,30.920000,30.920000,1729800
2015-07-15,30.980000,31.180000,30.770000,31.049999,31.049999,1274700
2015-07-16,31.260000,31.330000,31.070000,31.170000,31.170000,849600
2015-07-17,31.250000,31.360001,30.990000,31.120001,31.120001,947500
2015-07-20,31.250000,31.360001,31.100000,31.260000,31.260000,792200
2015-07-21,31.299999,31.420000,31.139999,31.209999,31.209999,1101700
2015-07-22,31.180000,31.389999,31.080000,31.190001,31.190001,2534400
2015-07-23,31.299999,31.520000,31.250000,31.400000,31.400000,1312500
2015-07-24,31.459999,31.459999,30.780001,30.900000,30.900000,1351500
2015-07-27,30.700001,30.920000,30.469999,30.730000,30.730000,1691000
2015-07-28,30.860001,30.969999,30.610001,30.870001,30.870001,2243100
2015-07-29,30.920000,31.430000,30.920000,31.370001,31.370001,2062600
2015-07-30,31.129999,32.250000,30.900000,31.340000,31.340000,3114300
2015-07-31,31.500000,31.940001,31.010000,31.459999,31.459999,1893000
2015-08-03,31.520000,31.690001,31.080000,31.360001,31.360001,1789900
2015-08-04,31.480000,31.959999,31.410000,31.719999,31.719999,1626600
2015-08-05,31.770000,31.950001,31.610001,31.750000,31.750000,1495900
2015-08-06,31.639999,31.990000,31.230000,31.490000,31.490000,1012600
2015-08-07,31.440001,31.629999,31.240000,31.410000,31.410000,990800
2015-08-10,31.660000,31.840000,31.350000,31.639999,31.639999,1177300
2015-08-11,31.459999,31.480000,31.059999,31.450001,31.450001,1027400
2015-08-12,31.180000,31.450001,30.900000,31.110001,31.110001,1850100
2015-08-13,31.049999,31.570000,30.959999,31.360001,31.360001,916100
2015-08-14,31.440001,31.719999,31.240000,31.530001,31.530001,1103100
2015-08-17,31.370001,31.540001,31.160000,31.440001,31.440001,1182400
2015-08-18,31.410000,31.549999,31.200001,31.200001,31.200001,782200
2015-08-19,31.139999,31.139999,30.719999,30.840000,30.840000,905600
2015-08-20,30.510000,30.770000,30.170000,30.420000,30.420000,1242600
2015-08-21,30.059999,30.190001,29.459999,29.469999,29.469999,1857700
2015-08-24,27.900000,29.469999,26.670000,28.690001,28.690001,2552400
2015-08-25,29.510000,29.950001,28.459999,28.480000,28.480000,2228400
2015-08-26,29.070000,29.250000,28.650000,29.070000,29.070000,2168400
2015-08-27,29.330000,29.910000,29.299999,29.850000,29.850000,1805500
2015-08-28,29.719999,30.160000,29.719999,29.930000,29.930000,1060500
2015-08-31,29.900000,30.270000,29.750000,29.990000,29.990000,1034600
2015-09-01,29.450001,29.750000,29.309999,29.450001,29.450001,1429700
2015-09-02,29.820000,30.120001,29.469999,30.120001,30.120001,1363200
2015-09-03,30.230000,30.760000,30.219999,30.370001,30.370001,1868700
2015-09-04,30.040001,30.730000,29.670000,29.809999,29.809999,1644200
2015-09-08,30.420000,30.580000,29.959999,30.490000,30.490000,1261400
2015-09-09,30.620001,30.820000,30.129999,30.250000,30.250000,1398300
2015-09-10,30.260000,30.580000,30.139999,30.350000,30.350000,1032800
2015-09-11,30.219999,30.360001,29.860001,30.309999,30.309999,1158200
2015-09-14,30.350000,30.510000,30.129999,30.360001,30.360001,978400
2015-09-15,30.600000,30.600000,30.250000,30.500000,30.500000,1134000
2015-09-16,30.549999,30.760000,30.150000,30.670000,30.670000,1304100
2015-09-17,30.600000,31.040001,30.559999,30.660000,30.660000,1107600
2015-09-18,30.170000,30.350000,29.889999,29.940001,29.940001,1858000
2015-09-21,30.230000,30.719999,30.139999,30.590000,30.590000,1957500
2015-09-22,30.180000,30.350000,29.459999,29.840000,29.840000,1577200
2015-09-23,29.740000,29.860001,29.420000,29.490000,29.490000,1132100
2015-09-24,29.209999,29.290001,28.740000,29.170000,29.170000,1704100
2015-09-25,29.379999,29.440001,29.070000,29.129999,29.129999,1328800
2015-09-28,28.900000,28.940001,28.180000,28.260000,28.260000,1262500
2015-09-29,28.350000,28.379999,27.809999,27.940001,27.940001,1856300
2015-09-30,28.240000,28.410000,27.889999,28.360001,28.360001,2766400
2015-10-01,28.370001,28.700001,28.129999,28.440001,28.440001,1498600
2015-10-02,28.100000,28.629999,28.030001,28.620001,28.620001,1692600
2015-10-05,28.830000,29.969999,28.780001,29.080000,29.080000,1440600
2015-10-06,29.100000,29.250000,28.750000,28.950001,28.950001,6120500
2015-10-07,29.070000,29.209999,28.709999,28.830000,28.830000,1860900
2015-10-08,28.820000,29.059999,28.650000,28.889999,28.889999,1580200
2015-10-09,28.879999,29.280001,28.450001,28.559999,28.559999,1247500
2015-10-12,28.570000,28.700001,28.400000,28.459999,28.459999,714200
2015-10-13,28.430000,28.629999,28.190001,28.219999,28.219999,1060000
2015-10-14,28.190001,28.280001,27.740000,27.790001,27.790001,1533900
2015-10-15,27.870001,28.110001,27.680000,28.070000,28.070000,1161300
2015-10-16,28.150000,28.150000,27.740000,27.799999,27.799999,1468000
2015-10-19,27.719999,28.020000,27.600000,27.959999,27.959999,1512700
2015-10-20,28.000000,28.059999,27.730000,27.850000,27.850000,1047300
2015-10-21,28.030001,28.090000,27.559999,27.629999,27.629999,860400
2015-10-22,27.820000,28.180000,27.709999,28.100000,28.100000,1249400
2015-10-23,27.930000,28.340000,27.820000,28.280001,28.280001,1471100
2015-10-26,28.230000,28.570000,28.219999,28.549999,28.549999,1733000
2015-10-27,28.530001,28.590000,28.090000,28.190001,28.190001,1604400
