Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,52.040001,52.259998,50.779999,52.220001,26.079859,3840100
2016-01-05,52.220001,52.340000,51.259998,51.849998,25.895069,2102300
2016-01-06,50.820000,51.290001,50.360001,50.919998,25.430614,2873000
2016-01-07,49.950001,50.259998,49.380001,49.730000,24.836300,4586600
2016-01-08,50.049999,50.410000,49.060001,49.169998,24.556620,3448200
2016-01-11,49.639999,49.810001,48.580002,49.150002,24.546633,3176000
2016-01-12,49.730000,50.090000,48.849998,49.950001,24.946167,3416100
2016-01-13,50.110001,50.590000,48.349998,48.430000,24.187050,3562300
2016-01-14,48.709999,48.709999,47.150002,48.320000,24.132116,4650700
2016-01-15,47.009998,48.119999,46.980000,47.860001,23.902380,4605500
2016-01-19,48.599998,48.740002,47.450001,48.090000,24.017246,3473400
2016-01-20,47.230000,47.950001,46.189999,47.509998,23.727575,4127000
2016-01-21,47.570000,48.689999,46.779999,47.779999,23.862425,3767200
2016-01-22,48.869999,49.470001,47.689999,48.509998,24.227001,3436800
2016-01-25,48.230000,48.560001,47.150002,47.270000,23.607719,2506000
2016-01-26,48.270000,49.139999,47.459999,49.020000,24.481705,3406900
2016-01-27,48.990002,50.709999,48.320000,49.439999,24.691462,4581500
2016-01-28,50.299999,50.700001,49.500000,50.189999,25.066034,3825800
2016-01-29,48.599998,50.509998,47.750000,50.509998,25.225842,8031300
2016-02-01,50.040001,50.450001,49.270000,50.220001,25.081011,3902600
2016-02-02,49.610001,50.080002,48.610001,49.000000,24.471716,5797600
2016-02-03,51.950001,52.619999,50.310001,52.480000,26.209711,7387400
2016-02-04,52.470001,55.259998,52.470001,54.360001,27.148626,6098100
2016-02-05,53.970001,55.250000,53.750000,54.660000,27.298454,4270900
2016-02-08,54.000000,55.299999,53.139999,55.110001,27.523191,6236700
2016-02-09,53.759998,55.250000,53.759998,54.480000,27.208559,5233800
2016-02-10,54.599998,54.959999,53.639999,53.700001,26.819006,3496500
2016-02-11,52.590000,53.720001,52.349998,53.099998,26.519350,4928200
2016-02-12,53.910000,54.509998,53.049999,54.200001,27.068722,4027000
2016-02-16,54.180000,54.910000,53.509998,54.820000,27.378361,3512400
2016-02-17,55.410000,56.770000,55.099998,56.009998,27.972673,3586700
2016-02-18,56.160000,56.490002,55.869999,56.200001,28.067562,2727800
