Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,24.139999,24.270000,23.680000,23.969999,23.969999,1355700
2016-01-05,23.969999,24.150000,23.650000,23.910000,23.910000,1290800
2016-01-06,23.549999,23.850000,23.459999,23.770000,23.770000,1312700
2016-01-07,23.360001,23.670000,23.100000,23.110001,23.110001,1034300
2016-01-08,23.250000,23.330000,22.740000,22.809999,22.809999,960300
2016-01-11,22.889999,22.900000,22.270000,22.780001,22.780001,1023200
2016-01-12,22.940001,23.200001,22.809999,23.129999,23.129999,1084700
2016-01-13,23.160000,23.170000,21.799999,22.080000,22.080000,1676900
2016-01-14,22.129999,22.670000,21.639999,22.510000,22.510000,1367900
2016-01-15,21.990000,22.520000,21.940001,22.500000,22.500000,1507200
2016-01-19,22.680000,22.820000,22.270000,22.379999,22.379999,1206600
2016-01-20,22.040001,22.100000,21.309999,21.549999,21.549999,2009200
2016-01-21,21.650000,21.700001,21.250000,21.430000,21.430000,1443500
2016-01-22,21.750000,22.209999,21.670000,22.120001,22.120001,795100
2016-01-25,22.049999,22.200001,21.750000,21.809999,21.809999,798600
2016-01-26,21.860001,22.360001,21.850000,22.350000,22.350000,842400
2016-01-27,22.240000,22.490000,21.850000,22.000000,22.000000,767100
2016-01-28,22.180000,22.200001,21.549999,21.740000,21.740000,944800
2016-01-29,21.809999,22.700001,21.809999,22.700001,22.700001,1221300
2016-02-01,22.570000,22.620001,22.200001,22.459999,22.459999,1269100
2016-02-02,22.230000,22.290001,21.290001,21.650000,21.650000,1561800
2016-02-03,21.750000,21.850000,20.990000,21.580000,21.580000,1435500
2016-02-04,21.549999,21.950001,21.219999,21.360001,21.360001,711600
2016-02-05,21.209999,21.260000,19.850000,20.059999,20.059999,3490000
2016-02-08,19.549999,19.930000,18.910000,19.389999,19.389999,3070200
2016-02-09,19.110001,19.760000,18.770000,19.360001,19.360001,2100700
2016-02-10,19.480000,20.190001,19.350000,19.490000,19.490000,1228200
2016-02-11,19.150000,19.670000,18.780001,19.450001,19.450001,1706600
2016-02-12,19.629999,19.740000,19.330000,19.410000,19.410000,1227200
2016-02-16,19.690001,20.219999,19.590000,20.150000,20.150000,891200
2016-02-17,20.230000,20.549999,20.150000,20.320000,20.320000,1752000
2016-02-18,20.290001,20.410000,19.480000,19.580000,19.580000,2295300
2016-02-19,19.530001,20.139999,19.410000,20.040001,20.040001,1798000
2016-02-22,20.180000,20.780001,20.120001,20.590000,20.590000,1254200
2016-02-23,20.559999,20.730000,20.320000,20.340000,20.340000,1088900
2016-02-24,20.150000,21.059999,20.059999,20.920000,20.920000,1565100
2016-02-25,21.000000,21.280001,20.490000,20.700001,20.700001,1345600
2016-02-26,20.650000,22.480000,20.650000,21.840000,21.840000,1927000
2016-02-29,21.799999,22.129999,21.680000,21.990000,21.990000,1354700
2016-03-01,22.180000,22.520000,21.950001,22.379999,22.379999,1266200
2016-03-02,22.280001,22.400000,22.059999,22.299999,22.299999,1056400
2016-03-03,22.309999,22.570000,22.240000,22.500000,22.500000,949900
2016-03-04,22.570000,22.570000,22.190001,22.350000,22.350000,1015700
2016-03-07,22.240000,22.740000,22.150000,22.520000,22.520000,948200
2016-03-08,22.400000,22.410000,22.070000,22.180000,22.180000,756000
2016-03-09,22.290001,22.410000,22.110001,22.250000,22.250000,630900
2016-03-10,22.350000,22.450001,21.740000,22.100000,22.100000,943400
2016-03-11,22.290001,22.590000,22.219999,22.510000,22.510000,778300
2016-03-14,22.450001,22.549999,22.200001,22.350000,22.350000,822700
2016-03-15,22.250000,22.379999,21.950001,22.120001,22.120001,561700
2016-03-16,22.030001,22.520000,22.030001,22.340000,22.340000,543400
2016-03-17,22.260000,22.700001,22.150000,22.600000,22.600000,816800
2016-03-18,22.540001,23.010000,22.530001,22.650000,22.650000,1936400
2016-03-21,22.540001,22.990000,22.410000,22.910000,22.910000,1940700
2016-03-22,22.910000,23.100000,22.709999,22.730000,22.730000,1137700
2016-03-23,22.620001,22.690001,22.240000,22.350000,22.350000,944300
2016-03-24,22.260000,22.590000,22.129999,22.549999,22.549999,663600
2016-03-28,22.660000,22.660000,22.389999,22.570000,22.570000,774100
2016-03-29,22.410000,22.850000,22.250000,22.770000,22.770000,1097000
