Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,98.440002,98.699997,96.160004,97.220001,90.966194,1688300
2016-01-05,97.510002,99.089996,97.199997,98.570000,92.229362,1525200
2016-01-06,96.900002,97.589996,96.000000,96.809998,90.582588,1294200
2016-01-07,94.070000,94.610001,92.099998,92.720001,86.755669,2793000
2016-01-08,93.199997,93.610001,89.980003,90.080002,84.285515,2660000
2016-01-11,90.919998,91.320000,89.690002,90.860001,85.015312,2065900
2016-01-12,91.809998,91.860001,90.059998,91.169998,85.305382,1938000
2016-01-13,91.720001,91.889999,86.650002,87.110001,81.506538,2799800
2016-01-14,87.610001,88.800003,86.370003,88.120003,82.451599,3387300
2016-01-15,86.019997,86.709999,84.550003,85.989998,80.458588,2836100
2016-01-19,87.139999,87.980003,85.580002,86.430000,80.870285,1906500
2016-01-20,84.860001,87.050003,82.089996,86.129997,80.589600,2578600
2016-01-21,86.570000,87.610001,85.589996,85.800003,80.280815,1295200
2016-01-22,87.290001,88.459999,86.919998,88.419998,82.732277,1111900
2016-01-25,88.419998,88.930000,86.610001,86.750000,81.169708,1241600
2016-01-26,86.849998,88.529999,86.639999,88.330002,82.648071,915800
2016-01-27,88.150002,89.519997,87.589996,88.010002,82.348648,2063700
2016-01-28,88.769997,89.099998,86.790001,87.129997,81.525253,1357900
2016-01-29,88.089996,89.250000,87.110001,89.139999,83.405960,2451700
2016-02-01,88.870003,89.199997,87.559998,88.010002,82.348648,1302500
2016-02-02,87.059998,87.059998,85.110001,85.629997,80.121758,1428500
2016-02-03,86.180000,86.519997,83.209999,85.589996,80.084312,1323500
2016-02-04,85.440002,87.500000,85.440002,87.110001,81.506538,2635100
2016-02-05,88.500000,88.500000,82.269997,83.699997,78.315910,2488800
2016-02-08,81.680000,81.750000,78.510002,79.379997,74.273788,2781100
2016-02-09,78.449997,80.580002,78.010002,80.029999,74.881989,1702600
2016-02-10,80.919998,82.839996,79.989998,80.070000,74.919395,1199200
2016-02-11,78.230003,79.870003,77.760002,78.449997,73.403603,2259200
2016-02-12,79.800003,82.349998,79.260002,82.309998,77.015305,1816200
2016-02-16,83.839996,84.900002,82.320000,83.720001,78.334602,1548700
2016-02-17,84.169998,85.930000,83.680000,85.720001,80.561996,1361000
2016-02-18,85.650002,86.199997,84.639999,85.730003,80.571396,1155300
2016-02-19,85.449997,85.970001,84.680000,85.660004,80.505615,1011100
2016-02-22,86.470001,88.220001,86.239998,88.120003,82.817604,1104700
2016-02-23,87.529999,88.629997,86.669998,86.949997,81.717979,1309600
2016-02-24,85.900002,87.099998,83.709999,86.650002,81.436020,1300700
2016-02-25,86.720001,88.669998,86.720001,88.639999,83.306290,1238900
2016-02-26,88.349998,89.379997,88.139999,88.599998,83.268707,915000
2016-02-29,88.180000,89.839996,87.949997,88.800003,83.456657,1460000
2016-03-01,89.570000,93.230003,89.570000,91.540001,86.031784,3205900
2016-03-02,90.879997,92.540001,90.820000,92.300003,86.746040,1449900
2016-03-03,91.989998,95.019997,90.910004,94.860001,89.152016,2190000
2016-03-04,94.980003,95.750000,94.080002,95.400002,89.659538,1462300
2016-03-07,94.480003,94.809998,93.599998,94.459999,88.776085,1284300
2016-03-08,93.269997,93.620003,92.620003,92.779999,87.197182,1084300
2016-03-09,93.580002,93.620003,92.250000,93.059998,87.460350,812000
2016-03-10,93.139999,94.790001,92.239998,93.129997,87.526123,1555300
2016-03-11,93.809998,94.900002,93.610001,94.500000,88.813705,1700200
2016-03-14,93.930000,94.489998,93.080002,93.680000,88.043037,1019300
2016-03-15,93.089996,93.830002,92.559998,93.599998,87.967834,761600
2016-03-16,93.000000,94.940002,92.980003,94.720001,89.020447,634200
2016-03-17,94.739998,98.339996,94.739998,97.500000,91.633171,1984800
2016-03-18,97.639999,98.559998,96.809998,97.059998,91.219620,2122600
2016-03-21,96.900002,97.000000,95.410004,95.940002,90.167046,1109100
2016-03-22,94.750000,96.459999,94.660004,95.910004,90.138847,1482900
2016-03-23,95.510002,96.239998,94.150002,94.260002,88.588158,1514400
2016-03-24,93.519997,93.519997,91.930000,92.949997,87.356949,1804700
2016-03-28,93.150002,93.699997,92.389999,92.980003,87.385162,1077900
2016-03-29,92.889999,95.529999,92.889999,95.519997,89.772285,1010200
2016-03-30,95.860001,96.330002,95.500000,95.860001,90.091843,938600
2016-03-31,95.720001,96.779999,95.389999,96.559998,90.749733,1015300
2016-04-01,95.639999,97.790001,95.580002,97.559998,91.689552,1297300
2016-04-04,97.690002,98.110001,96.199997,96.250000,90.458382,788200
2016-04-05,94.949997,95.370003,93.589996,93.769997,88.127617,1227100
2016-04-06,93.779999,94.699997,93.250000,94.440002,88.757309,1394200
2016-04-07,93.089996,94.419998,92.610001,92.860001,87.272377,1166100
2016-04-08,93.709999,94.580002,92.879997,93.309998,87.695282,733100
2016-04-11,93.800003,95.190002,93.389999,93.970001,88.315575,1139800
2016-04-12,94.300003,95.540001,94.019997,95.320000,89.584343,841300
2016-04-13,96.040001,98.430000,96.040001,97.959999,92.065483,1162000
2016-04-14,97.860001,98.309998,97.410004,97.989998,92.093689,957300
2016-04-15,97.989998,98.250000,97.040001,97.790001,91.905724,825100
2016-04-18,97.540001,98.980003,97.059998,98.639999,92.704582,637500
2016-04-19,99.209999,100.080002,98.940002,99.589996,93.597420,867900
2016-04-20,99.550003,100.970001,99.150002,100.769997,94.706413,1016200
2016-04-21,100.449997,100.989998,99.620003,99.629997,93.635010,837800
2016-04-22,98.879997,99.849998,98.500000,98.779999,92.836136,1374200
2016-04-25,98.699997,99.349998,98.419998,98.879997,92.930145,913700
2016-04-26,98.339996,99.910004,98.000000,99.690002,93.691399,787100
2016-04-27,99.099998,100.129997,98.879997,99.800003,93.794769,667600
2016-04-28,99.540001,100.820000,98.820000,99.099998,93.136894,1010900
2016-04-29,95.800003,95.889999,92.120003,95.720001,89.960274,4467300
2016-05-02,95.790001,96.400002,94.599998,96.010002,90.232834,1202600
2016-05-03,95.250000,95.760002,93.820000,94.570000,88.879471,1172500
2016-05-04,93.750000,94.150002,92.900002,93.669998,88.033607,1368800
2016-05-05,93.800003,94.419998,93.139999,93.290001,87.676483,851200
2016-05-06,93.000000,94.839996,93.000000,94.459999,88.776085,992200
2016-05-09,94.510002,94.900002,94.040001,94.660004,88.964058,902900
