Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,63.009998,63.029999,62.349998,62.759998,53.430805,1943800
2017-01-04,62.910000,63.410000,62.669998,62.849998,53.507427,2127200
2017-01-05,63.029999,63.430000,62.389999,63.189999,53.796883,3884800
2017-01-06,62.900002,63.310001,62.720001,63.139999,53.754322,1769900
2017-01-09,62.959999,63.330002,62.200001,62.310001,53.047703,2381300
2017-01-10,62.580002,62.700001,61.820000,62.119999,52.885941,2046000
2017-01-11,62.209999,63.189999,62.119999,63.180000,53.788364,2918400
2017-01-12,62.959999,63.400002,62.799999,63.290001,53.882030,2139900
2017-01-13,63.099998,63.299999,62.750000,63.230000,53.830948,2506500
2017-01-17,63.450001,64.029999,63.299999,63.810001,54.324730,1705800
2017-01-18,63.529999,63.919998,63.389999,63.459999,54.026756,1883900
2017-01-19,63.189999,63.410000,62.540001,62.700001,53.379734,2628100
2017-01-20,62.900002,63.150002,62.490002,62.910000,53.558510,2015000
2017-01-23,62.910000,63.139999,62.639999,62.709999,53.388241,1317800
2017-01-24,62.639999,62.900002,62.509998,62.779999,53.447830,2061100
2017-01-25,62.639999,62.830002,62.410000,62.529999,53.234982,2316900
2017-01-26,62.500000,62.820000,62.139999,62.639999,53.328651,2525600
2017-01-27,62.779999,63.040001,62.480000,62.970001,53.609585,2537400
2017-01-30,63.110001,63.400002,62.779999,63.209999,53.813923,2265000
2017-01-31,63.150002,64.110001,62.950001,64.059998,54.537563,2712300
2017-02-01,63.580002,63.810001,63.020000,63.090000,53.711746,2779500
2017-02-02,63.110001,63.810001,62.970001,63.779999,54.299187,1802600
2017-02-03,63.779999,64.339996,63.639999,64.029999,54.512016,2288300
2017-02-06,64.250000,64.410004,63.720001,63.820000,54.333248,1741400
2017-02-07,63.820000,64.010002,63.560001,63.930000,54.426884,1552800
2017-02-08,63.320000,64.019997,63.320000,63.799999,54.822159,1817000
2017-02-09,63.799999,64.019997,63.360001,63.419998,54.495625,2517000
2017-02-10,63.349998,64.080002,63.310001,63.950001,54.951046,2429800
2017-02-13,63.970001,64.099998,63.459999,63.790001,54.813568,2188300
2017-02-14,63.639999,63.740002,62.959999,63.270000,54.366749,2218600
2017-02-15,62.930000,63.330002,62.689999,63.290001,54.383923,2068300
2017-02-16,63.389999,63.720001,63.310001,63.700001,54.736229,1890300
2017-02-17,63.799999,64.129997,63.529999,64.110001,55.088531,1955900
2017-02-21,63.980000,64.870003,63.750000,64.760002,55.647076,2067300
2017-02-22,64.669998,65.410004,64.519997,65.309998,56.119671,2455900
2017-02-23,65.550003,66.089996,65.309998,66.010002,56.721176,2286600
2017-02-24,66.190002,67.220001,66.150002,67.150002,57.700748,4094100
2017-02-27,67.059998,67.120003,66.510002,66.699997,57.314075,3101200
2017-02-28,66.699997,67.150002,66.480003,66.970001,57.546082,3912000
2017-03-01,66.199997,66.739998,65.889999,66.120003,56.815689,3147100
2017-03-02,65.900002,66.959999,65.860001,66.500000,57.142220,2442900
2017-03-03,66.570000,66.620003,65.959999,66.519997,57.159409,2127400
2017-03-06,66.370003,66.599998,66.059998,66.349998,57.013317,1832300
2017-03-07,66.250000,66.519997,66.129997,66.239998,56.918808,2770000
2017-03-08,65.769997,65.900002,65.019997,65.150002,55.982189,3126100
2017-03-09,65.120003,65.650002,64.809998,64.839996,55.715809,2532300
2017-03-10,65.300003,65.589996,64.940002,65.400002,56.197010,2358600
2017-03-13,65.410004,65.849998,65.330002,65.809998,56.549313,1922000
2017-03-14,65.779999,65.930000,65.519997,65.790001,56.532131,1641900
2017-03-15,65.860001,67.000000,65.820000,66.680000,57.296890,1776000
2017-03-16,66.470001,66.500000,65.860001,66.010002,56.721176,1615300
2017-03-17,66.160004,66.860001,66.080002,66.470001,57.116436,3823600
2017-03-20,66.620003,66.860001,65.989998,66.129997,56.824287,1861500
2017-03-21,66.099998,67.220001,66.089996,66.980003,57.554676,3159300
