Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,105.250000,105.650002,104.190002,105.529999,104.102318,1269300
2017-01-04,105.779999,106.099998,104.690002,105.680000,104.250305,704600
2017-01-05,105.000000,105.320000,103.150002,104.279999,102.869240,691400
2017-01-06,104.400002,105.169998,103.449997,103.519997,102.119522,623600
2017-01-09,103.540001,103.680000,102.230003,102.989998,101.596695,823200
2017-01-10,102.720001,102.860001,102.059998,102.599998,101.211975,910600
2017-01-11,102.300003,104.940002,102.300003,104.709999,103.293411,1244300
2017-01-12,104.209999,105.279999,103.080002,105.120003,103.697876,526200
2017-01-13,104.989998,107.169998,104.809998,105.570000,104.141777,759100
2017-01-17,105.570000,105.570000,105.570000,105.570000,104.141777,0
2017-01-18,105.580002,107.989998,105.580002,107.059998,105.611626,782500
2017-01-19,107.019997,107.019997,105.040001,105.760002,104.329216,507700
2017-01-20,106.349998,107.169998,104.220001,105.529999,104.102318,846600
2017-01-23,105.190002,105.570000,104.570000,104.839996,103.421654,585800
2017-01-24,104.660004,104.800003,102.940002,104.099998,102.691666,1025800
2017-01-25,103.470001,103.709999,102.290001,103.500000,102.099792,1100000
2017-01-26,103.419998,105.610001,103.419998,104.910004,103.490723,1641200
2017-01-27,105.239998,105.730003,102.870003,104.029999,102.622612,450400
2017-01-30,104.059998,104.589996,103.449997,104.300003,102.888969,458000
2017-01-31,104.459999,106.070000,104.459999,105.260002,103.835983,1092700
2017-02-01,105.779999,106.599998,103.300003,103.860001,102.454918,1082800
2017-02-02,103.910004,104.809998,103.580002,104.389999,102.977753,746000
2017-02-03,105.360001,107.059998,104.730003,105.690002,104.260162,1028200
2017-02-06,105.459999,105.459999,103.830002,104.400002,102.987625,1306100
2017-02-07,104.410004,105.010002,104.120003,104.790001,103.372330,666300
2017-02-08,104.779999,107.180000,103.510002,106.860001,105.414330,1117200
2017-02-09,106.830002,107.889999,106.370003,107.629997,106.173920,1171700
2017-02-10,107.680000,107.680000,105.889999,106.959999,105.512978,768500
2017-02-13,107.139999,109.680000,105.739998,109.620003,108.136993,1067100
2017-02-14,109.449997,109.779999,108.139999,108.730003,107.259041,608700
2017-02-15,108.320000,108.519997,107.820000,108.300003,106.834846,502500
2017-02-16,108.760002,109.180000,107.300003,108.930000,107.456322,689300
2017-02-17,109.180000,109.519997,108.070000,108.470001,107.002541,1008900
2017-02-21,108.790001,110.870003,108.419998,110.709999,109.212234,900600
2017-02-22,111.000000,112.080002,110.800003,111.660004,110.149399,772100
2017-02-23,112.029999,112.790001,110.160004,111.190002,109.685753,578500
2017-02-24,111.239998,111.589996,110.500000,111.160004,109.656158,724000
2017-02-27,110.970001,112.949997,110.930000,112.790001,111.264107,958000
2017-02-28,112.500000,116.699997,111.769997,115.769997,114.203781,2793700
