Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,27.309999,27.770000,27.299999,27.760000,27.705332,2996300
2018-01-03,27.610001,28.000000,27.000000,27.980000,27.924898,5596300
2018-01-04,28.200001,29.450001,28.010000,29.320000,29.262259,6599200
2018-01-05,29.250000,29.629999,29.100000,29.610001,29.551687,3700700
2018-01-08,29.680000,29.840000,29.420000,29.760000,29.701393,4185900
2018-01-09,29.799999,29.990000,29.450001,29.809999,29.751293,2393500
2018-01-10,29.570000,29.930000,29.430000,29.790001,29.731335,2073400
2018-01-11,29.910000,30.440001,29.860001,30.400000,30.340132,3113200
2018-01-12,30.500000,30.900000,30.360001,30.840000,30.779264,3440200
2018-01-16,30.920000,31.170000,30.090000,30.410000,30.350111,4977500
2018-01-17,30.410000,30.690001,30.320000,30.540001,30.479856,3226000
2018-01-18,30.230000,30.580000,29.959999,30.350000,30.290232,3307400
2018-01-19,30.299999,30.450001,29.820000,30.219999,30.160486,4542200
2018-01-22,30.219999,30.430000,30.040001,30.430000,30.370071,3581300
2018-01-23,30.430000,30.430000,30.110001,30.299999,30.240330,2262500
2018-01-24,30.340000,30.670000,30.250000,30.480000,30.419971,2536200
2018-01-25,30.650000,30.799999,30.150000,30.469999,30.409994,1980600
2018-01-26,30.559999,30.860001,30.330000,30.840000,30.779264,2288000
2018-01-29,30.830000,30.910000,30.170000,30.260000,30.200407,2462700
2018-01-30,30.020000,30.180000,29.379999,29.920000,29.861076,4431300
2018-01-31,30.000000,30.510000,29.770000,30.059999,30.000801,3403200
2018-02-01,29.750000,30.389999,29.719999,30.110001,30.050703,2808400
2018-02-02,29.760000,29.760000,28.830000,29.110001,29.052671,7621800
2018-02-05,27.400000,27.709999,25.840000,26.520000,26.467773,10926000
2018-02-06,26.190001,26.400000,25.000000,25.280001,25.230215,10017500
2018-02-07,25.100000,25.459999,24.870001,25.100000,25.050571,5549200
2018-02-08,25.129999,25.190001,24.190001,24.450001,24.401848,7449100
2018-02-09,24.650000,24.900000,23.320000,24.660000,24.611435,8213500
2018-02-12,24.809999,25.180000,24.530001,24.840000,24.791080,4938400
2018-02-13,24.610001,24.870001,24.469999,24.780001,24.731201,5422700
2018-02-14,24.549999,25.700001,24.549999,25.480000,25.429819,4541000
