Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,114.279999,114.279999,110.660004,111.370003,104.245491,544700
2019-01-03,111.349998,114.089996,111.110001,112.290001,105.106651,809700
2019-01-04,113.089996,114.839996,112.849998,113.440002,106.183075,685900
2019-01-07,113.489998,115.360001,113.489998,114.139999,106.838303,636700
2019-01-08,114.669998,117.169998,114.669998,116.790001,109.318756,974000
2019-01-09,117.099998,117.570000,115.800003,117.300003,109.796135,788400
2019-01-10,117.199997,119.739998,116.540001,119.570000,111.920929,620700
2019-01-11,119.449997,120.489998,118.500000,120.339996,112.641647,702000
2019-01-14,119.949997,120.190002,118.900002,119.190002,111.565224,685100
2019-01-15,119.370003,121.019997,119.370003,120.930000,113.193932,357600
2019-01-16,120.570000,122.250000,120.360001,121.900002,114.101860,726900
2019-01-17,121.540001,122.820000,121.480003,122.750000,114.897499,1019800
2019-01-18,123.349998,124.550003,123.190002,124.260002,116.310913,772400
2019-01-22,123.949997,124.489998,123.260002,124.379997,116.423225,764600
2019-01-23,124.320000,124.750000,123.250000,123.800003,115.880333,737700
2019-01-24,123.669998,123.910004,122.779999,123.250000,115.365517,429000
2019-01-25,123.790001,125.470001,123.389999,125.410004,117.387344,508900
2019-01-28,124.849998,126.300003,124.849998,126.269997,118.192299,653700
2019-01-29,126.209999,128.149994,125.879997,128.080002,119.886528,693800
2019-01-30,128.309998,129.589996,127.949997,129.360001,121.084648,697700
2019-01-31,129.080002,131.880005,127.940002,131.710007,123.284325,869700
2019-02-01,131.759995,132.199997,127.970001,130.639999,122.282753,811200
2019-02-04,130.380005,130.940002,129.360001,130.940002,122.563576,841300
2019-02-05,131.740005,131.800003,129.000000,129.750000,121.449699,885300
2019-02-06,129.529999,129.639999,128.250000,129.009995,120.757034,762600
2019-02-07,128.899994,132.990005,128.710007,132.720001,124.229721,974300
2019-02-08,132.210007,133.000000,131.460007,132.369995,123.902092,561200
2019-02-11,132.259995,133.759995,131.649994,133.699997,125.147003,730200
2019-02-12,133.710007,134.089996,132.270004,132.559998,124.079933,785200
2019-02-13,131.949997,134.699997,131.699997,134.509995,125.905174,573900
2019-02-14,134.419998,134.889999,132.919998,133.889999,125.324852,527100
2019-02-15,134.490005,135.000000,133.970001,134.860001,126.232803,628700
2019-02-19,135.149994,136.190002,134.240005,135.690002,127.009705,486400
2019-02-20,135.419998,135.490005,133.710007,134.970001,126.335762,540600
2019-02-21,134.399994,135.649994,133.380005,135.490005,126.822510,561900
2019-02-22,135.800003,137.410004,135.279999,136.720001,127.973808,583200
2019-02-25,136.970001,137.029999,135.899994,136.020004,127.318604,458600
2019-02-26,136.320007,136.500000,135.479996,136.119995,127.412178,607000
2019-02-27,135.199997,136.160004,133.869995,134.949997,126.317032,659700
2019-02-28,135.080002,137.779999,134.169998,135.889999,127.196877,1150300
2019-03-01,136.100006,136.559998,134.259995,135.910004,127.215630,742400
2019-03-04,136.339996,137.070007,135.240005,136.960007,128.198456,670900
2019-03-05,136.949997,138.199997,136.630005,137.399994,128.610321,697700
2019-03-06,137.559998,138.240005,137.020004,137.550003,128.750717,671500
2019-03-07,137.710007,138.300003,136.320007,136.699997,127.955109,705400
2019-03-08,136.460007,137.759995,136.250000,137.600006,128.797516,731000
2019-03-11,138.169998,139.600006,138.169998,139.389999,130.473007,783900
2019-03-12,139.660004,141.029999,139.309998,140.149994,131.184372,832500
2019-03-13,140.509995,142.059998,140.509995,141.339996,132.298264,793200
2019-03-14,141.139999,141.889999,141.089996,141.860001,132.784988,765200
2019-03-15,141.860001,142.139999,140.130005,140.520004,131.530746,2373900
2019-03-18,140.820007,141.860001,139.389999,140.220001,131.249908,734300
2019-03-19,140.259995,140.550003,139.130005,139.690002,130.753830,627900
2019-03-20,139.699997,141.020004,138.520004,140.289993,131.315430,748800
2019-03-21,139.860001,143.009995,139.630005,142.449997,133.337265,594600
2019-03-22,142.160004,143.550003,141.660004,141.720001,132.653946,436400
2019-03-25,141.759995,142.360001,140.470001,141.669998,132.607147,363000
2019-03-26,141.860001,143.880005,141.860001,143.830002,134.628998,416800
2019-03-27,143.809998,144.100006,142.130005,142.910004,133.767822,412100
2019-03-28,142.279999,143.270004,141.699997,143.229996,134.983551,432100
2019-03-29,143.279999,143.279999,141.979996,142.559998,134.352142,755400
2019-04-01,142.630005,143.009995,140.520004,141.539993,133.390839,845200
2019-04-02,141.860001,143.410004,140.399994,143.229996,134.983551,651900
2019-04-03,143.080002,143.600006,142.039993,143.529999,135.266266,714500
2019-04-04,143.429993,143.429993,142.089996,143.130005,134.889328,373900
2019-04-05,142.899994,144.070007,142.259995,143.970001,135.680939,378800
2019-04-08,144.169998,144.460007,142.690002,143.630005,135.360519,417100
2019-04-09,143.460007,143.690002,142.889999,143.119995,134.879868,347400
2019-04-10,143.479996,143.919998,142.800003,143.839996,135.558426,616500
2019-04-11,143.979996,144.309998,143.000000,143.500000,135.238007,508000
2019-04-12,143.570007,144.350006,142.470001,144.350006,136.039063,515400
2019-04-15,144.250000,144.250000,143.039993,143.660004,135.388809,351100
2019-04-16,143.679993,143.910004,138.210007,139.220001,131.204422,874800
2019-04-17,139.449997,139.449997,136.320007,136.399994,128.546783,1122700
2019-04-18,136.500000,139.960007,136.300003,138.660004,130.676666,747400
2019-04-22,138.339996,138.470001,136.149994,137.509995,129.592880,670200
2019-04-23,138.279999,140.800003,137.520004,140.539993,132.448425,681700
2019-04-24,140.949997,142.529999,140.649994,142.220001,134.031708,406700
2019-04-25,141.720001,142.990005,141.050003,142.369995,134.173050,399300
2019-04-26,143.100006,143.570007,142.470001,143.320007,135.068390,290700
2019-04-29,143.149994,143.369995,140.729996,140.889999,132.778290,554300
2019-04-30,141.470001,143.070007,140.610001,142.389999,134.191910,891400
2019-05-01,142.559998,143.830002,141.559998,141.990005,133.814972,555900
2019-05-02,142.179993,143.729996,140.779999,140.919998,132.806549,624000
2019-05-03,141.029999,143.039993,140.630005,142.300003,134.107101,532500
2019-05-06,141.190002,142.470001,140.880005,141.869995,133.701859,325600
2019-05-07,141.550003,141.570007,138.759995,139.509995,131.477753,432500
2019-05-08,139.729996,141.589996,139.610001,139.779999,131.732193,557800
2019-05-09,139.380005,141.110001,138.470001,140.800003,132.693481,543600
2019-05-10,140.660004,142.899994,140.630005,142.729996,134.512329,538400
2019-05-13,141.360001,143.380005,141.240005,142.690002,134.474640,657800
2019-05-14,142.669998,144.429993,142.669998,143.850006,135.567886,611800
2019-05-15,143.889999,146.199997,143.550003,145.539993,137.160568,3376600
2019-05-16,145.600006,147.589996,145.600006,146.479996,138.046432,1376400
2019-05-17,145.820007,146.740005,145.089996,146.300003,137.876816,516600
2019-05-20,146.339996,146.699997,144.119995,144.820007,136.482025,597100
2019-05-21,144.899994,146.839996,144.850006,146.050003,137.641205,864300
2019-05-22,146.050003,146.300003,145.279999,145.559998,137.179413,467300
2019-05-23,145.160004,145.160004,143.350006,144.050003,135.756348,1115300
2019-05-24,144.750000,145.639999,143.800003,145.339996,136.972061,978200
2019-05-28,145.979996,146.600006,144.669998,144.830002,136.491440,1279300
2019-05-29,144.800003,144.869995,143.210007,144.160004,135.860001,740100
2019-05-30,144.490005,145.809998,144.250000,145.539993,137.160568,534800
2019-05-31,144.949997,147.160004,144.580002,146.410004,137.980469,555000
2019-06-03,146.759995,147.529999,145.910004,147.270004,138.790955,813100
2019-06-04,147.800003,147.800003,144.970001,147.130005,138.659012,810000
2019-06-05,147.759995,150.679993,147.559998,150.639999,141.966904,673200
2019-06-06,150.960007,151.240005,149.679993,150.660004,141.985779,456900
2019-06-07,151.289993,152.259995,150.639999,150.699997,142.023468,402700
2019-06-10,150.880005,150.940002,149.419998,150.320007,141.665359,341500
2019-06-11,150.960007,151.029999,149.279999,151.029999,142.334488,545100
2019-06-12,151.110001,152.669998,150.869995,152.000000,143.248642,364500
2019-06-13,152.020004,152.809998,151.880005,152.759995,143.964859,353100
2019-06-14,152.669998,153.509995,150.990005,151.300003,142.588943,644600
2019-06-17,151.360001,151.820007,148.869995,149.160004,140.572144,1490500
2019-06-18,150.059998,150.919998,147.539993,148.740005,140.176315,1126700
2019-06-19,149.089996,150.059998,147.740005,149.550003,140.939697,978800
2019-06-20,150.220001,150.610001,149.369995,149.929993,141.297791,1056400
2019-06-21,145.940002,146.369995,144.940002,145.279999,136.915527,6812200
2019-06-24,145.990005,146.250000,144.679993,145.619995,137.235947,1250200
2019-06-25,145.919998,146.380005,141.889999,142.169998,133.984604,1279300
2019-06-26,142.429993,142.669998,137.440002,138.910004,130.912277,1687800
2019-06-27,138.580002,140.389999,138.580002,140.059998,132.953186,1234400
2019-06-28,140.220001,142.050003,139.970001,141.089996,133.930923,1297500
2019-07-01,142.179993,143.580002,141.130005,143.190002,135.924377,1038100
2019-07-02,143.429993,144.610001,143.089996,144.270004,136.949554,954400
2019-07-03,144.270004,145.899994,144.210007,145.800003,138.401917,380600
2019-07-05,144.679993,145.389999,142.759995,145.000000,137.642532,433900
2019-07-08,144.750000,146.949997,144.750000,145.740005,138.344986,623500
2019-07-09,145.570007,148.050003,145.570007,147.979996,140.471298,1061000
2019-07-10,148.589996,149.869995,147.820007,148.919998,141.363617,1051000
2019-07-11,148.919998,148.919998,145.149994,145.240005,137.870331,650600
2019-07-12,145.509995,146.039993,144.649994,145.699997,138.307007,640700
2019-07-15,145.889999,146.240005,144.949997,145.330002,137.955795,579800
2019-07-16,145.089996,145.089996,142.949997,143.039993,135.781967,498000
2019-07-17,143.470001,143.710007,141.880005,142.990005,135.734528,349400
2019-07-18,142.910004,144.250000,142.100006,143.850006,136.550903,1282900
2019-07-19,144.220001,144.220001,141.440002,141.580002,134.396072,627600
2019-07-22,141.520004,142.000000,140.690002,140.889999,133.741074,482700
2019-07-23,141.320007,142.619995,140.100006,142.389999,135.164948,480200
2019-07-24,142.559998,143.300003,141.910004,142.860001,135.611099,440100
2019-07-25,142.910004,143.490005,142.059998,143.059998,135.800949,634000
2019-07-26,143.520004,144.139999,142.660004,143.460007,136.180679,814500
2019-07-29,143.899994,145.479996,143.500000,144.149994,136.835678,535700
2019-07-30,146.270004,150.470001,146.270004,148.020004,140.509293,1319400
2019-07-31,147.550003,149.440002,145.589996,146.360001,138.933487,709200
2019-08-01,146.039993,146.809998,145.029999,145.539993,138.155136,631500
2019-08-02,145.539993,145.600006,144.320007,144.869995,137.519119,500100
2019-08-05,144.080002,144.080002,140.970001,142.669998,135.430740,774300
2019-08-06,143.080002,145.220001,142.570007,144.279999,136.959061,716800
2019-08-07,143.509995,145.570007,141.820007,144.360001,137.035004,529900
2019-08-08,144.470001,147.100006,143.860001,146.449997,139.018951,402900
2019-08-09,145.970001,146.979996,143.639999,145.320007,137.946289,566800
2019-08-12,145.029999,145.559998,142.679993,142.850006,135.601624,746500
2019-08-13,143.119995,144.600006,142.029999,144.259995,136.940063,743300
2019-08-14,143.720001,144.479996,142.600006,143.160004,135.895874,710500
2019-08-15,143.830002,145.279999,143.440002,145.160004,137.794418,900500
2019-08-16,145.490005,148.360001,145.399994,148.100006,140.585236,684600
2019-08-19,149.190002,150.039993,148.460007,148.949997,141.392090,970700
2019-08-20,149.830002,149.830002,147.740005,147.839996,140.338409,530600
2019-08-21,148.330002,149.539993,147.940002,148.550003,141.012405,493900
2019-08-22,148.949997,149.669998,148.149994,149.410004,141.828766,315400
2019-08-23,148.960007,150.600006,146.429993,146.830002,139.379669,505700
2019-08-26,147.830002,147.929993,145.539993,147.240005,139.768875,770800
2019-08-27,147.940002,148.369995,146.179993,146.240005,138.819611,558700
2019-08-28,146.610001,148.029999,146.039993,147.410004,139.930252,299500
2019-08-29,148.190002,149.690002,147.929993,149.380005,141.800308,440100
2019-08-30,149.979996,150.300003,149.039993,149.839996,142.236923,728600
2019-09-03,149.529999,150.520004,148.899994,149.990005,142.379349,552700
2019-09-04,150.910004,152.649994,150.690002,152.589996,144.847382,713700
2019-09-05,152.570007,152.669998,151.470001,152.190002,144.467697,615900
2019-09-06,152.250000,153.720001,152.130005,153.110001,145.341019,583500
2019-09-09,153.389999,153.389999,151.619995,152.550003,144.809418,473300
2019-09-10,151.850006,151.960007,149.660004,151.610001,143.917130,521100
2019-09-11,151.179993,152.800003,150.649994,152.330002,144.600586,418100
2019-09-12,153.550003,154.419998,152.300003,153.380005,145.597305,870400
2019-09-13,153.050003,154.179993,150.949997,151.520004,143.831680,513700
2019-09-16,151.380005,153.270004,150.929993,153.160004,145.388474,458000
2019-09-17,153.389999,154.199997,152.820007,153.919998,146.109909,453700
2019-09-18,154.339996,154.399994,151.649994,153.020004,145.255569,783100
2019-09-19,153.759995,154.869995,153.330002,154.039993,146.223816,371400
2019-09-20,154.570007,155.220001,153.410004,153.440002,145.654266,961300
2019-09-23,152.839996,154.750000,152.830002,153.539993,145.749176,529500
2019-09-24,153.960007,154.600006,152.350006,153.149994,145.378983,484700
2019-09-25,153.059998,154.059998,152.389999,153.520004,145.730194,434700
2019-09-26,154.000000,155.990005,153.440002,155.229996,147.353455,491900
2019-09-27,154.440002,154.869995,151.220001,153.110001,146.283386,901400
2019-09-30,153.020004,154.520004,152.929993,154.039993,147.171906,528200
2019-10-01,154.029999,154.380005,151.410004,153.139999,146.312042,441800
2019-10-02,152.210007,152.509995,150.679993,151.899994,145.127319,615800
2019-10-03,151.979996,154.270004,151.570007,154.139999,147.267456,541700
2019-10-04,154.429993,155.710007,154.240005,154.800003,147.898026,869200
2019-10-07,154.029999,155.610001,153.669998,154.350006,147.468109,596600
2019-10-08,153.910004,154.699997,152.550003,153.100006,146.273834,521600
2019-10-09,154.050003,154.710007,153.119995,153.850006,146.990402,346400
2019-10-10,154.059998,154.619995,153.199997,154.130005,147.257935,734600
2019-10-11,154.809998,155.029999,153.800003,153.970001,147.105042,554400
2019-10-14,154.009995,154.149994,152.789993,153.869995,147.009491,432500
2019-10-15,153.380005,153.619995,151.559998,153.279999,146.445801,646900
2019-10-16,152.979996,155.529999,152.320007,155.270004,148.347107,475300
2019-10-17,155.080002,155.869995,154.729996,155.309998,148.385300,643900
2019-10-18,155.889999,156.220001,154.309998,156.009995,149.054062,432000
2019-10-21,156.029999,157.580002,155.610001,157.550003,150.525421,540000
2019-10-22,157.699997,158.050003,155.940002,157.139999,150.133713,547400
2019-10-23,157.300003,158.029999,156.600006,157.729996,150.697403,621800
2019-10-24,157.949997,159.259995,156.960007,159.160004,152.063660,497200
2019-10-25,159.029999,159.029999,157.839996,158.250000,151.194214,488300
2019-10-28,158.119995,158.880005,157.470001,158.880005,151.796127,748700
2019-10-29,158.389999,159.229996,155.970001,156.309998,149.340698,697500
2019-10-30,156.500000,159.160004,155.910004,159.059998,151.968094,1086200
2019-10-31,159.740005,160.250000,157.460007,158.750000,151.671906,686400
2019-11-01,159.289993,159.809998,157.139999,158.419998,151.356613,618800
2019-11-04,158.130005,158.490005,156.619995,157.199997,150.191010,501300
2019-11-05,156.729996,157.309998,154.429993,155.080002,148.165527,784000
2019-11-06,155.509995,156.649994,154.559998,155.009995,148.098648,517000
2019-11-07,154.350006,154.860001,153.479996,153.880005,147.019058,1152900
2019-11-08,153.309998,153.929993,152.690002,153.910004,147.047714,641700
2019-11-11,153.740005,155.460007,153.740005,155.130005,148.213333,477300
2019-11-12,154.899994,156.199997,154.419998,154.729996,147.831146,967100
2019-11-13,155.039993,157.210007,154.860001,156.600006,149.617783,671500
2019-11-14,156.770004,157.770004,156.740005,157.460007,150.439438,396300
2019-11-15,157.550003,158.789993,157.309998,158.759995,151.681458,548800
2019-11-18,158.869995,159.619995,158.830002,159.490005,152.378952,387200
2019-11-19,159.789993,159.789993,158.750000,159.339996,152.235611,743000
2019-11-20,159.380005,160.369995,158.839996,160.029999,152.894852,422000
2019-11-21,159.699997,159.720001,157.970001,159.009995,151.920319,650700
2019-11-22,159.399994,160.460007,158.729996,159.669998,152.550903,768500
2019-11-25,160.289993,162.020004,160.139999,160.809998,153.640045,1020600
2019-11-26,160.649994,161.500000,160.279999,161.240005,154.050888,1478700
2019-11-27,161.179993,162.529999,160.539993,162.309998,155.073166,448000
2019-11-29,162.720001,163.509995,162.039993,162.520004,155.273834,322600
2019-12-02,162.399994,162.860001,159.570007,159.610001,152.493576,817100
2019-12-03,159.529999,161.529999,159.529999,161.279999,154.089127,527400
2019-12-04,160.960007,162.789993,160.029999,160.070007,152.933090,621000
2019-12-05,160.050003,161.550003,159.240005,161.070007,153.888489,532300
2019-12-06,161.240005,163.160004,161.210007,161.940002,154.719696,543500
2019-12-09,161.899994,162.649994,160.960007,162.399994,155.159180,561400
2019-12-10,162.399994,163.279999,161.660004,162.039993,154.815231,638500
2019-12-11,162.380005,162.380005,158.449997,159.080002,151.987213,623600
2019-12-12,159.490005,160.389999,156.750000,156.850006,149.856644,822400
2019-12-13,157.039993,158.259995,155.419998,156.470001,149.493591,696600
2019-12-16,157.240005,157.419998,155.149994,156.369995,149.398041,880400
2019-12-17,156.929993,157.089996,154.589996,154.899994,147.993576,561400
2019-12-18,155.289993,158.289993,155.179993,158.139999,151.089096,690300
2019-12-19,158.089996,159.929993,157.759995,159.820007,152.694199,524700
2019-12-20,160.320007,160.630005,159.220001,159.240005,152.140076,1753000
2019-12-23,159.600006,159.839996,159.119995,159.210007,152.111420,1390000
2019-12-24,159.460007,160.770004,158.789993,160.100006,152.961716,440400
2019-12-26,160.240005,160.669998,159.509995,160.029999,152.894852,388100
