Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,89.529999,90.139999,87.089996,87.919998,83.282059,7099100
2019-01-03,87.620003,87.730003,85.180000,85.449997,80.942345,6099800
2019-01-04,86.839996,88.709999,86.739998,88.129997,83.480980,6275400
2019-01-07,88.370003,89.080002,82.239998,82.449997,78.100609,17462700
2019-01-08,83.279999,83.959999,81.660004,83.029999,78.650009,14472200
2019-01-09,83.790001,85.500000,83.449997,84.300003,79.853043,7894300
2019-01-10,83.860001,84.910004,83.339996,84.839996,80.364517,5279200
2019-01-11,84.169998,84.879997,83.449997,84.839996,80.364517,5054300
2019-01-14,84.349998,84.980003,84.110001,84.750000,80.279289,5294700
2019-01-15,85.269997,86.570000,85.029999,86.029999,81.491760,6323400
2019-01-16,86.580002,87.320000,86.199997,86.989998,82.401131,5066800
2019-01-17,86.970001,88.190002,86.790001,87.599998,82.978943,7521700
2019-01-18,88.519997,88.620003,86.309998,87.300003,82.694786,8549300
2019-01-22,86.820000,87.019997,86.000000,87.000000,82.410591,6567000
2019-01-23,87.080002,87.290001,85.910004,87.160004,82.562149,4642900
2019-01-24,87.260002,87.320000,86.430000,87.230003,82.628456,4515400
2019-01-25,87.680000,87.910004,86.699997,87.019997,82.429527,5283500
2019-01-28,86.519997,87.000000,85.660004,86.419998,81.861191,5143400
2019-01-29,85.959999,87.080002,85.959999,86.470001,81.908554,3670600
2019-01-30,86.489998,87.970001,86.260002,87.830002,83.196800,5385700
2019-01-31,87.739998,89.320000,87.510002,88.389999,83.727257,9536200
2019-02-01,88.870003,89.449997,87.730003,88.309998,83.651474,5727400
2019-02-04,88.309998,88.459999,86.839996,87.809998,83.177849,4970900
2019-02-05,88.260002,88.620003,87.750000,88.029999,83.386253,5640800
2019-02-06,88.279999,89.099998,87.809998,88.860001,84.172470,3417400
2019-02-07,88.410004,89.360001,88.129997,88.900002,84.210373,4304900
2019-02-08,88.430000,89.510002,88.169998,89.010002,84.314552,3982200
2019-02-11,89.480003,89.900002,89.139999,89.599998,84.873428,4020000
2019-02-12,90.000000,90.519997,89.269997,90.250000,85.489136,3713900
2019-02-13,90.760002,90.949997,90.199997,90.669998,85.886986,3483500
2019-02-14,90.839996,91.629997,90.540001,91.230003,86.417458,4644100
2019-02-15,91.959999,92.339996,91.529999,92.269997,87.402588,5622500
